year,hhtyp,hlc0052,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2006,Single-person household,Yes,0.07417,253,3193,0.06508,0.08326
2006,Single-person household,No,0.89327,2940,3193,0.88256,0.90398
2006,Couple without children,Yes,0.04026,165,4046,0.03420,0.04631
2006,Couple without children,No,0.92082,3881,4046,0.91250,0.92914
2006,Single parent,Yes,0.29055,207,734,0.25769,0.32342
2006,Single parent,No,0.64094,527,734,0.60621,0.67567
2006,Couple with children,Yes,0.09764,342,3557,0.08788,0.10739
2006,Couple with children,No,0.80783,3215,3557,0.79488,0.82078
2006,Multi-generational household,No,0.72994,83,83,0.63385,0.82604
2006,Other Combinations,No,0.97484,99,99,0.94384,1.00585
2007,Single-person household,Yes,0.08575,278,2993,0.07572,0.09578
2007,Single-person household,No,0.86686,2715,2993,0.85469,0.87903
2007,Couple without children,Yes,0.04899,189,3759,0.04208,0.05589
2007,Couple without children,No,0.90427,3570,3759,0.89486,0.91367
2007,Single parent,Yes,0.34477,223,678,0.30897,0.38057
2007,Single parent,No,0.58876,455,678,0.55169,0.62583
2007,Couple with children,Yes,0.10624,364,3365,0.09582,0.11665
2007,Couple with children,No,0.81210,3001,3365,0.79889,0.82530
2007,Multi-generational household,No,0.65921,66,66,0.54398,0.77444
2007,Other Combinations,No,0.93638,85,85,0.88418,0.98857
2008,Single-person household,Yes,0.08458,254,2873,0.07440,0.09476
2008,Single-person household,No,0.86602,2619,2873,0.85356,0.87848
2008,Couple without children,Yes,0.04363,153,3617,0.03697,0.05029
2008,Couple without children,No,0.91112,3464,3617,0.90185,0.92040
2008,Single parent,Yes,0.31126,199,651,0.27566,0.34685
2008,Single parent,No,0.63465,452,651,0.59763,0.67167
2008,Couple with children,Yes,0.09621,294,3023,0.08570,0.10673
2008,Couple with children,No,0.80867,2729,3023,0.79465,0.82269
2008,Multi-generational household,No,0.68871,58,58,0.56851,0.80892
2008,Other Combinations,No,0.91973,69,69,0.85515,0.98431
2009,Single-person household,Yes,0.08142,237,2846,0.07137,0.09147
2009,Single-person household,No,0.91813,2609,2846,0.90805,0.92820
2009,Couple without children,Yes,0.04366,134,3549,0.03694,0.05039
2009,Couple without children,No,0.95607,3415,3549,0.94933,0.96281
2009,Single parent,Yes,0.30854,178,633,0.27253,0.34455
2009,Single parent,No,0.68994,455,633,0.65388,0.72600
2009,Couple with children,Yes,0.08197,246,3007,0.07217,0.09178
2009,Couple with children,No,0.91726,2761,3007,0.90742,0.92711
2009,Multi-generational household,No,0.76985,54,54,0.65652,0.88317
2009,Other Combinations,No,0.98116,68,68,0.94860,1.01372
2010,Single-person household,Yes,0.07866,211,2698,0.06850,0.08882
2010,Single-person household,No,0.92134,2487,2698,0.91118,0.93150
2010,Couple without children,Yes,0.03389,108,3371,0.02778,0.04000
2010,Couple without children,No,0.96512,3263,3371,0.95893,0.97132
2010,Single parent,Yes,0.31730,676,1848,0.29607,0.33853
2010,Single parent,No,0.68270,1172,1848,0.66147,0.70393
2010,Couple with children,Yes,0.08618,679,5712,0.07890,0.09346
2010,Couple with children,No,0.91377,5033,5712,0.90649,0.92105
2010,Multi-generational household,No,0.78229,77,77,0.68951,0.87507
2010,Other Combinations,No,0.89170,59,59,0.81173,0.97168
2011,Single-person household,Yes,0.08272,303,3503,0.07359,0.09184
2011,Single-person household,No,0.90367,3200,3503,0.89390,0.91344
2011,Couple without children,Yes,0.03668,155,4336,0.03108,0.04227
2011,Couple without children,No,0.95293,4181,4336,0.94663,0.95923
2011,Single parent,Yes,0.31560,832,2287,0.29655,0.33465
2011,Single parent,No,0.66875,1455,2287,0.64946,0.68805
2011,Couple with children,Yes,0.07775,667,5994,0.07097,0.08453
2011,Couple with children,No,0.87198,5327,5994,0.86353,0.88044
2011,Multi-generational household,No,0.80510,90,90,0.72281,0.88740
2011,Other Combinations,No,0.78571,80,80,0.69522,0.87619
2012,Single-person household,Yes,0.08779,338,3660,0.07862,0.09695
2012,Single-person household,No,0.90173,3322,3660,0.89209,0.91138
2012,Couple without children,Yes,0.03156,163,4405,0.02640,0.03672
2012,Couple without children,No,0.95261,4242,4405,0.94634,0.95889
2012,Single parent,Yes,0.30531,749,2149,0.28584,0.32479
2012,Single parent,No,0.67471,1400,2149,0.65490,0.69453
2012,Couple with children,Yes,0.07171,571,5592,0.06495,0.07847
2012,Couple with children,No,0.88080,5021,5592,0.87231,0.88929
2012,Multi-generational household,No,0.79242,87,87,0.70670,0.87814
2012,Other Combinations,No,0.84468,81,81,0.76531,0.92405
2013,Single-person household,Yes,0.09057,392,3802,0.08144,0.09969
2013,Single-person household,No,0.89464,3410,3802,0.88488,0.90440
2013,Couple without children,Yes,0.03538,215,4579,0.03002,0.04073
2013,Couple without children,No,0.94779,4364,4579,0.94134,0.95423
2013,Single parent,Yes,0.30056,758,2218,0.28147,0.31964
2013,Single parent,No,0.68248,1460,2218,0.66310,0.70186
2013,Couple with children,Yes,0.07450,726,6456,0.06810,0.08091
2013,Couple with children,No,0.87608,5730,6456,0.86804,0.88412
2013,Multi-generational household,Yes,0.19389,36,142,0.12864,0.25915
2013,Multi-generational household,No,0.76149,106,142,0.69114,0.83183
2013,Other Combinations,Yes,0.15535,66,354,0.11756,0.19313
2013,Other Combinations,No,0.81976,288,354,0.77966,0.85986
2014,Single-person household,Yes,0.09434,365,3532,0.08470,0.10398
2014,Single-person household,No,0.89225,3167,3532,0.88202,0.90248
2014,Couple without children,Yes,0.03513,184,4322,0.02964,0.04062
2014,Couple without children,No,0.95170,4138,4322,0.94530,0.95809
2014,Single parent,Yes,0.29893,621,1807,0.27782,0.32004
2014,Single parent,No,0.69647,1186,1807,0.67527,0.71768
2014,Couple with children,Yes,0.06816,597,5639,0.06158,0.07474
2014,Couple with children,No,0.91267,5042,5639,0.90530,0.92004
2014,Multi-generational household,Yes,0.20264,31,120,0.13042,0.27486
2014,Multi-generational household,No,0.77536,89,120,0.70038,0.85035
2014,Other Combinations,Yes,0.19942,64,259,0.15066,0.24817
2014,Other Combinations,No,0.75966,195,259,0.70752,0.81180
2015,Single-person household,Yes,0.09091,366,3568,0.08148,0.10035
2015,Single-person household,No,0.88722,3202,3568,0.87684,0.89760
2015,Couple without children,Yes,0.03646,191,4292,0.03085,0.04207
2015,Couple without children,No,0.93853,4101,4292,0.93134,0.94572
2015,Single parent,Yes,0.30475,564,1679,0.28272,0.32677
2015,Single parent,No,0.66979,1115,1679,0.64728,0.69229
2015,Couple with children,Yes,0.07003,637,5502,0.06329,0.07677
2015,Couple with children,No,0.88617,4865,5502,0.87778,0.89457
