year,regtyp,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,Urban regions,No,0.6061490896599107,21983,0.5996900456032108,0.6126081337166105
2009,Urban regions,Yes,0.39385091034008934,21983,0.3873918662833895,0.4003099543967892
2009,Rural regions,No,0.7461172741679873,21983,0.7403637662498305,0.7518707820861442
2009,Rural regions,Yes,0.25388272583201266,21983,0.24812921791385578,0.25963623375016953
2014,Urban regions,No,0.5422571282226396,38694,0.5372929463136522,0.547221310131627
2014,Urban regions,Yes,0.45774287177736045,38694,0.45277868986837305,0.46270705368634785
2014,Rural regions,No,0.6713420465412815,38694,0.6666616973612219,0.676022395721341
2014,Rural regions,Yes,0.3286579534587185,38694,0.323977604278659,0.333338302638778
2019,Urban regions,No,0.5391027212552096,42417,0.5343589479073416,0.5438464946030777
2019,Urban regions,Yes,0.4608972787447904,42417,0.45615350539692234,0.4656410520926585
2019,Rural regions,No,0.6792345369632077,42417,0.6747924221675774,0.683676651758838
2019,Rural regions,Yes,0.3207654630367923,42417,0.31632334824116204,0.3252075778324226
