year,sampreg,sex,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,West,male,No,0.6186825222969802,21983,0.6122617115258121,0.6251033330681482
2009,West,male,Yes,0.3813174777030199,21983,0.3748966669318518,0.38773828847418795
2009,West,female,No,0.5996588001137333,21983,0.5931817114755883,0.6061358887518783
2009,West,female,Yes,0.4003411998862667,21983,0.39386411124812165,0.40681828852441176
2009,East,male,No,0.8017439192290041,21983,0.7964735178993464,0.8070143205586618
2009,East,male,Yes,0.19825608077099588,21983,0.19298567944133818,0.20352648210065358
2009,East,female,No,0.7859574468085107,21983,0.7805354136475694,0.7913794799694519
2009,East,female,Yes,0.21404255319148935,21983,0.2086205200305481,0.2194645863524306
2014,West,male,No,0.5603448275862069,38694,0.5553992384372703,0.5652904167351434
2014,West,male,Yes,0.4396551724137931,38694,0.43470958326485665,0.44460076156272954
2014,West,female,No,0.5341754628828517,38694,0.5292051079161934,0.53914581784951
2014,West,female,Yes,0.4658245371171483,38694,0.46085418215048995,0.4707948920838066
2014,East,male,No,0.7507898894154819,38694,0.7464798990990047,0.755099879731959
2014,East,male,Yes,0.24921011058451817,38694,0.24490012026804098,0.25352010090099536
2014,East,female,No,0.7407651715039578,38694,0.7363987947146526,0.745131548293263
2014,East,female,Yes,0.25923482849604224,38694,0.25486845170673705,0.2636012052853474
2019,West,male,No,0.549812030075188,42417,0.5450773552359983,0.5545467049143776
2019,West,male,Yes,0.450187969924812,42417,0.44545329508562237,0.4549226447640017
2019,West,female,No,0.5389393215480172,42417,0.5341954264715574,0.5436832166244769
2019,West,female,Yes,0.4610606784519828,42417,0.456316783375523,0.46580457352844257
2019,East,male,No,0.723404255319149,42417,0.7191472972394207,0.7276612133988772
2019,East,male,Yes,0.2765957446808511,42417,0.2723387866011228,0.28085270276057933
2019,East,female,No,0.7482734806629834,42417,0.7441431886352747,0.752403772690692
2019,East,female,Yes,0.25172651933701656,42417,0.24759622730930786,0.25585681136472527
