year,migback,regtyp,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,No migration background,Urban regions,No,0.6738996297819827,21983,0.667702567709933,0.6800966918540324
2009,No migration background,Urban regions,Yes,0.3261003702180173,21983,0.31990330814596757,0.33229743229006703
2009,No migration background,Rural regions,No,0.7754511406196799,21983,0.7699348741432233,0.7809674070961365
2009,No migration background,Rural regions,Yes,0.22454885938032004,21983,0.21903259290386345,0.23006512585677663
2009,Direct migration background,Urban regions,Yes,0.7841079460269865,21983,0.7786689486675741,0.789546943386399
2009,Direct migration background,Urban regions,No,0.2158920539730135,21983,0.21045305661360103,0.22133105133242598
2009,Direct migration background,Rural regions,Yes,0.677115987460815,21983,0.6709348643121911,0.683297110609439
2009,Direct migration background,Rural regions,No,0.322884012539185,21983,0.316702889390561,0.32906513568780893
2009,Indirect migration background,Urban regions,Yes,0.6296928327645052,21983,0.6233093450720107,0.6360763204569996
2009,Indirect migration background,Urban regions,No,0.3703071672354949,21983,0.36392367954300053,0.37669065492798925
2009,Indirect migration background,Rural regions,Yes,0.5726495726495726,21983,0.5661100035482125,0.5791891417509327
2009,Indirect migration background,Rural regions,No,0.42735042735042733,21983,0.4208108582490672,0.43388999645178744
2014,No migration background,Urban regions,No,0.6638950028531834,38694,0.6591882494822148,0.668601756224152
2014,No migration background,Urban regions,Yes,0.3361049971468167,38694,0.33139824377584814,0.34081175051778523
2014,No migration background,Rural regions,No,0.7491651682507064,38694,0.7448458324579853,0.7534845040434276
2014,No migration background,Rural regions,Yes,0.2508348317492936,38694,0.24651549595657243,0.2551541675420148
2014,Direct migration background,Urban regions,Yes,0.7775499743721168,38694,0.7734060230669407,0.7816939256772929
2014,Direct migration background,Urban regions,No,0.22245002562788313,38694,0.21830607432270702,0.22659397693305924
2014,Direct migration background,Rural regions,Yes,0.7315589353612167,38694,0.7271433997307862,0.7359744709916473
2014,Direct migration background,Rural regions,No,0.26844106463878326,38694,0.26402552900835274,0.27285660026921377
2014,Indirect migration background,Urban regions,Yes,0.6319543509272468,38694,0.6271489685006655,0.6367597333538282
2014,Indirect migration background,Urban regions,No,0.3680456490727532,38694,0.3632402666461718,0.37285103149933463
2014,Indirect migration background,Rural regions,Yes,0.5741935483870968,38694,0.5692666962268866,0.579120400547307
2014,Indirect migration background,Rural regions,No,0.4258064516129032,38694,0.4208795994526931,0.4307333037731133
2019,No migration background,Urban regions,No,0.6356684755796744,42417,0.6310886408160019,0.640248310343347
2019,No migration background,Urban regions,Yes,0.3643315244203256,42417,0.3597516896566531,0.36891135918399814
2019,No migration background,Rural regions,No,0.7451530953336007,42417,0.741005956893936,0.7493002337732655
2019,No migration background,Rural regions,Yes,0.25484690466639925,42417,0.25069976622673446,0.25899404310606405
2019,Direct migration background,Urban regions,Yes,0.8074811256005491,42417,0.8037288999885557,0.8112333512125425
2019,Direct migration background,Urban regions,No,0.19251887439945092,42417,0.18876664878745758,0.19627110001144427
2019,Direct migration background,Rural regions,Yes,0.7598814229249012,42417,0.7558163167714447,0.7639465290783578
2019,Direct migration background,Rural regions,No,0.24011857707509882,42417,0.23605347092164222,0.2441836832285554
2019,Indirect migration background,Urban regions,Yes,0.5935483870967742,42417,0.5888740655202194,0.5982227086733289
2019,Indirect migration background,Urban regions,No,0.4064516129032258,42417,0.401777291326671,0.4111259344797806
2019,Indirect migration background,Rural regions,No,0.5104166666666666,42417,0.5056593524988421,0.5151739808344912
2019,Indirect migration background,Rural regions,Yes,0.4895833333333333,42417,0.4848260191655088,0.4943406475011578
