year,quintil_oecd,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,1st Quintile,No,0.6730769230769231,21983,0.6668758374165351,0.6792780087373111
2009,1st Quintile,Yes,0.3269230769230769,21983,0.32072199126268885,0.333124162583465
2009,2nd Quintile,No,0.7037322046941131,21983,0.6976960754914459,0.7097683338967804
2009,2nd Quintile,Yes,0.29626779530588687,21983,0.2902316661032196,0.30230392450855414
2009,3rd Quintile,No,0.7270005443658138,21983,0.7211112827126561,0.7328898060189716
2009,3rd Quintile,Yes,0.27299945563418615,21983,0.2671101939810285,0.2788887172873438
2009,4th Quintile,No,0.678669097538742,21983,0.6724957905321033,0.6848424045453808
2009,4th Quintile,Yes,0.32133090246125795,21983,0.31515759545461924,0.32750420946789666
2009,5th Quintile,No,0.5596564955234788,21983,0.5530939978423931,0.5662189932045646
2009,5th Quintile,Yes,0.4403435044765211,21983,0.4337810067954353,0.4469060021576069
2014,1st Quintile,No,0.573191063687896,38694,0.5682627230809865,0.5781194042948055
2014,1st Quintile,Yes,0.42680893631210404,38694,0.4218805957051946,0.4317372769190135
2014,2nd Quintile,No,0.5759888965995836,38694,0.5710647618585626,0.5809130313406047
2014,2nd Quintile,Yes,0.42401110340041637,38694,0.4190869686593953,0.4289352381414374
2014,3rd Quintile,No,0.6284812476791682,38694,0.6236665304103213,0.6332959649480152
2014,3rd Quintile,Yes,0.3715187523208318,38694,0.36670403505198484,0.3763334695896788
2014,4th Quintile,No,0.6093066833229231,38694,0.6044451841113314,0.6141681825345149
2014,4th Quintile,Yes,0.39069331667707685,38694,0.3858318174654851,0.3955548158886686
2014,5th Quintile,No,0.5527318932655655,38694,0.5477776710144098,0.5576861155167212
2014,5th Quintile,Yes,0.44726810673443457,38694,0.4423138844832788,0.45222232898559034
2019,1st Quintile,No,0.5924702774108322,42417,0.5877940133708426,0.5971465414508219
2019,1st Quintile,Yes,0.40752972258916775,42417,0.40285345854917803,0.4122059866291575
2019,2nd Quintile,No,0.5741444866920152,42417,0.5694387477187525,0.578850225665278
2019,2nd Quintile,Yes,0.42585551330798477,42417,0.421149774334722,0.43056125228124753
2019,3rd Quintile,No,0.6421081677704195,42417,0.6375460542533137,0.6466702812875252
2019,3rd Quintile,Yes,0.3578918322295806,42417,0.3533297187124748,0.3624539457466864
2019,4th Quintile,No,0.6441009239516702,42417,0.6395444752193721,0.6486573726839683
2019,4th Quintile,Yes,0.35589907604832977,42417,0.35134262731603166,0.36045552478062787
2019,5th Quintile,No,0.5776612480335606,42417,0.5729606492920644,0.5823618467750568
2019,5th Quintile,Yes,0.42233875196643944,42417,0.41763815322494324,0.42703935070793564
