year,sampreg,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,West,No,0.6087150837988827,21983,0.6022635024694488,0.6151666651283166
2009,West,Yes,0.3912849162011173,21983,0.38483333487168336,0.3977364975305513
2009,East,No,0.793552660631486,21983,0.7882020282621198,0.7989032930008522
2009,East,Yes,0.20644733936851403,21983,0.20109670699914786,0.2117979717378802
2014,West,No,0.5462228032496032,38694,0.5412621313339873,0.551183475165219
2014,West,Yes,0.45377719675039685,38694,0.448816524834781,0.4587378686660127
2014,East,No,0.7453271028037384,38694,0.740986009910931,0.7496681956965457
2014,East,Yes,0.2546728971962617,38694,0.25033180430345425,0.2590139900890691
2019,West,No,0.5441301202414808,42417,0.5393903430208131,0.5488698974621484
2019,West,Yes,0.45586987975851917,42417,0.4511301025378515,0.4606096569791868
2019,East,No,0.7365280289330922,42417,0.7323357714714888,0.7407202863946957
2019,East,Yes,0.2634719710669078,42417,0.2592797136053043,0.2676642285285113
