year,pgisced97,sex,plj0104,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2009,in school,male,No,0.6407185628742516,21983,0.6343760167483893,0.6470611090001138
2009,in school,male,Yes,0.3592814371257485,21983,0.3529388909998862,0.36562398325161083
2009,in school,female,No,0.6111111111111112,21983,0.6046666671895368,0.6175555550326856
2009,in school,female,Yes,0.3888888888888889,21983,0.38244444496731456,0.39533333281046323
2009,inadequately,male,No,0.5373134328358209,21983,0.5307221509389606,0.5439047147326812
2009,inadequately,male,Yes,0.4626865671641791,21983,0.45609528526731874,0.4692778490610395
2009,inadequately,female,Yes,0.5979381443298969,21983,0.5914564707282349,0.6044198179315589
2009,inadequately,female,No,0.4020618556701031,21983,0.3955801820684412,0.408543529271765
2009,general elementary,male,No,0.6454545454545455,21983,0.6391306980161043,0.6517783928929867
2009,general elementary,male,Yes,0.35454545454545455,21983,0.3482216071070134,0.3608693019838957
2009,general elementary,female,No,0.6837815810920945,21983,0.6776345576138662,0.6899286045703229
2009,general elementary,female,Yes,0.3162184189079055,21983,0.31007139542967715,0.3223654423861338
2009,middle vocational,male,No,0.7377433732113535,21983,0.7319286575129333,0.7435580889097737
2009,middle vocational,male,Yes,0.2622566267886465,21983,0.2564419110902263,0.26807134248706666
2009,middle vocational,female,No,0.7068820814099874,21983,0.700864703852576,0.7128994589673988
2009,middle vocational,female,Yes,0.29311791859001257,21983,0.2871005410326012,0.29913529614742396
2009,vocational + Abi,male,No,0.5912596401028277,21983,0.5847609553481177,0.5977583248575378
2009,vocational + Abi,male,Yes,0.4087403598971722,21983,0.4022416751424622,0.41523904465188227
2009,vocational + Abi,female,No,0.5403624382207578,21983,0.5337742966380281,0.5469505798034875
2009,vocational + Abi,female,Yes,0.4596375617792422,21983,0.4530494201965125,0.4662257033619719
2009,higher vocational,male,No,0.7186700767263428,21983,0.7127259872731847,0.7246141661795008
2009,higher vocational,male,Yes,0.2813299232736573,21983,0.2753858338204992,0.2872740127268154
2009,higher vocational,female,No,0.6495412844036698,21983,0.6432341163369728,0.6558484524703667
2009,higher vocational,female,Yes,0.3504587155963303,21983,0.34415154752963334,0.35676588366302725
2009,higher education,male,No,0.523175768701239,21983,0.5165731599891608,0.5297783774133173
2009,higher education,male,Yes,0.4768242312987609,21983,0.47022162258668254,0.48342684001083924
2009,higher education,female,No,0.5154304277206281,21983,0.5088238630921845,0.5220369923490716
2009,higher education,female,Yes,0.484569572279372,21983,0.47796300765092836,0.4911761369078156
2014,in school,male,No,0.6103286384976526,38694,0.6054694317617634,0.6151878452335419
2014,in school,male,Yes,0.38967136150234744,38694,0.3848121547664582,0.3945305682382367
2014,in school,female,No,0.5652173913043478,38694,0.5602779469430484,0.5701568356656471
2014,in school,female,Yes,0.43478260869565216,38694,0.4298431643343529,0.43972205305695145
2014,inadequately,male,No,0.5502392344497608,38694,0.545282441041226,0.5551960278582955
2014,inadequately,male,Yes,0.44976076555023925,38694,0.4448039721417045,0.454717558958774
2014,inadequately,female,Yes,0.5273972602739726,38694,0.5224227388011229,0.5323717817468223
2014,inadequately,female,No,0.4726027397260274,38694,0.4676282182531777,0.4775772611988771
2014,general elementary,male,No,0.5697478991596638,38694,0.5648146037320052,0.5746811945873225
2014,general elementary,male,Yes,0.43025210084033616,38694,0.4253188054126776,0.43518539626799474
2014,general elementary,female,No,0.5932914046121593,38694,0.5883968862584795,0.5981859229658392
2014,general elementary,female,Yes,0.40670859538784065,38694,0.40181407703416083,0.4116031137415205
2014,middle vocational,male,No,0.662466725820763,38694,0.657755058823507,0.667178392818019
