year,age_gr,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Born in Germany or immigrated <1950,0.83904,445,808,0.81369,0.86440
1984,17-29 y.,1st Quintile,Not born in Germany,0.16096,363,808,0.13560,0.18631
1984,17-29 y.,2nd Quintile,Born in Germany or immigrated <1950,0.88166,443,673,0.85723,0.90608
1984,17-29 y.,2nd Quintile,Not born in Germany,0.11834,230,673,0.09392,0.14277
1984,17-29 y.,3rd Quintile,Born in Germany or immigrated <1950,0.91926,507,662,0.89849,0.94003
1984,17-29 y.,3rd Quintile,Not born in Germany,0.08074,155,662,0.05997,0.10151
1984,17-29 y.,4th Quintile,Born in Germany or immigrated <1950,0.93089,564,732,0.91250,0.94928
1984,17-29 y.,4th Quintile,Not born in Germany,0.06911,168,732,0.05072,0.08750
1984,17-29 y.,5th Quintile,Born in Germany or immigrated <1950,0.94090,471,554,0.92124,0.96055
1984,17-29 y.,5th Quintile,Not born in Germany,0.05910,83,554,0.03945,0.07876
1984,30-45 y.,1st Quintile,Born in Germany or immigrated <1950,0.77538,369,785,0.74617,0.80459
1984,30-45 y.,1st Quintile,Not born in Germany,0.22462,416,785,0.19541,0.25383
1984,30-45 y.,2nd Quintile,Born in Germany or immigrated <1950,0.83990,458,787,0.81426,0.86554
1984,30-45 y.,2nd Quintile,Not born in Germany,0.16010,329,787,0.13446,0.18574
1984,30-45 y.,3rd Quintile,Born in Germany or immigrated <1950,0.88259,515,751,0.85955,0.90563
1984,30-45 y.,3rd Quintile,Not born in Germany,0.11741,236,751,0.09437,0.14045
1984,30-45 y.,4th Quintile,Born in Germany or immigrated <1950,0.89968,549,795,0.87879,0.92058
1984,30-45 y.,4th Quintile,Not born in Germany,0.10032,246,795,0.07942,0.12121
1984,30-45 y.,5th Quintile,Born in Germany or immigrated <1950,0.90681,625,786,0.88647,0.92715
1984,30-45 y.,5th Quintile,Not born in Germany,0.09319,161,786,0.07285,0.11353
