year,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Born in Germany or immigrated <1950,0.93926,166,166,0.90281,0.97570
1984,Primary Level,Born in Germany or immigrated <1950,0.33849,81,999,0.30914,0.36785
1984,Primary Level,Not born in Germany,0.66109,918,999,0.63173,0.69046
1984,Lower Secondary Level,Born in Germany or immigrated <1950,0.90169,2391,3448,0.89175,0.91163
1984,Lower Secondary Level,Not born in Germany,0.09718,1057,3448,0.08729,0.10707
1984,Upper Secondary Level,Born in Germany or immigrated <1950,0.93095,4681,5705,0.92437,0.93753
1984,Upper Secondary Level,Not born in Germany,0.06905,1024,5705,0.06247,0.07563
1984,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.84677,186,309,0.80654,0.88700
1984,Post-secondary Non-tertiary Level,Not born in Germany,0.15323,123,309,0.11300,0.19346
1984,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93640,608,660,0.91777,0.95503
1984,First Stage of Tertiary Education,Not born in Germany,0.06360,52,660,0.04497,0.08223
1984,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91172,669,790,0.89192,0.93151
1984,Second Stage of Tertiary Education,Not born in Germany,0.08828,121,790,0.06849,0.10808
1985,Pre-primary Level,Born in Germany or immigrated <1950,0.95438,165,165,0.92244,0.98631
1985,Primary Level,Born in Germany or immigrated <1950,0.40044,89,834,0.36716,0.43371
1985,Primary Level,Not born in Germany,0.59956,745,834,0.56629,0.63284
1985,Lower Secondary Level,Born in Germany or immigrated <1950,0.90014,2150,3061,0.88952,0.91076
1985,Lower Secondary Level,Not born in Germany,0.09981,911,3061,0.08919,0.11043
1985,Upper Secondary Level,Born in Germany or immigrated <1950,0.92917,4276,5180,0.92218,0.93616
1985,Upper Secondary Level,Not born in Germany,0.07081,904,5180,0.06383,0.07780
1985,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.86356,174,275,0.82291,0.90420
1985,Post-secondary Non-tertiary Level,Not born in Germany,0.13644,101,275,0.09580,0.17709
