year,quintil_oecd,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Born in Germany or immigrated <1950,0.66962,1471,2491,0.65114,0.68809
1984,1st Quintile,Not born in Germany,0.09848,1020,2491,0.08678,0.11019
1984,2nd Quintile,Born in Germany or immigrated <1950,0.70408,1629,2388,0.68577,0.72240
1984,2nd Quintile,Not born in Germany,0.09022,759,2388,0.07873,0.10172
1984,3rd Quintile,Born in Germany or immigrated <1950,0.74479,1756,2363,0.72721,0.76237
1984,3rd Quintile,Not born in Germany,0.07633,607,2363,0.06562,0.08704
1984,4th Quintile,Born in Germany or immigrated <1950,0.78785,1902,2498,0.77181,0.80388
1984,4th Quintile,Not born in Germany,0.06403,596,2498,0.05443,0.07363
1984,5th Quintile,Born in Germany or immigrated <1950,0.83596,2021,2408,0.82116,0.85075
1984,5th Quintile,Not born in Germany,0.05960,387,2408,0.05014,0.06906
1985,1st Quintile,Born in Germany or immigrated <1950,0.67535,1355,2249,0.65599,0.69470
1985,1st Quintile,Not born in Germany,0.09964,894,2249,0.08726,0.11202
1985,2nd Quintile,Born in Germany or immigrated <1950,0.71232,1510,2158,0.69322,0.73143
1985,2nd Quintile,Not born in Germany,0.08557,648,2158,0.07376,0.09737
1985,3rd Quintile,Born in Germany or immigrated <1950,0.77113,1648,2206,0.75360,0.78867
1985,3rd Quintile,Not born in Germany,0.07331,558,2206,0.06243,0.08419
1985,4th Quintile,Born in Germany or immigrated <1950,0.79578,1738,2230,0.77905,0.81252
1985,4th Quintile,Not born in Germany,0.07652,492,2230,0.06548,0.08755
1985,5th Quintile,Born in Germany or immigrated <1950,0.84534,1864,2175,0.83014,0.86054
1985,5th Quintile,Not born in Germany,0.05773,311,2175,0.04793,0.06753
1986,1st Quintile,Born in Germany or immigrated <1950,0.67896,1269,2071,0.65885,0.69907
1986,1st Quintile,Not born in Germany,0.10346,802,2071,0.09034,0.11658
1986,2nd Quintile,Born in Germany or immigrated <1950,0.69914,1410,2082,0.67944,0.71885
1986,2nd Quintile,Not born in Germany,0.09297,672,2082,0.08050,0.10545
1986,3rd Quintile,Born in Germany or immigrated <1950,0.74751,1544,2110,0.72897,0.76605
1986,3rd Quintile,Not born in Germany,0.08340,566,2110,0.07160,0.09520
1986,4th Quintile,Born in Germany or immigrated <1950,0.80526,1717,2214,0.78876,0.82176
1986,4th Quintile,Not born in Germany,0.07250,497,2214,0.06170,0.08331
1986,5th Quintile,Born in Germany or immigrated <1950,0.84102,1814,2102,0.82538,0.85665
1986,5th Quintile,Not born in Germany,0.06302,288,2102,0.05263,0.07341
1987,1st Quintile,Born in Germany or immigrated <1950,0.67873,1239,2030,0.65841,0.69905
1987,1st Quintile,Not born in Germany,0.10701,791,2030,0.09356,0.12046
1987,2nd Quintile,Born in Germany or immigrated <1950,0.69656,1406,2050,0.67665,0.71647
1987,2nd Quintile,Not born in Germany,0.09074,644,2050,0.07830,0.10317
1987,3rd Quintile,Born in Germany or immigrated <1950,0.73140,1516,2100,0.71244,0.75036
1987,3rd Quintile,Not born in Germany,0.09154,584,2100,0.07920,0.10388
1987,4th Quintile,Born in Germany or immigrated <1950,0.80167,1681,2191,0.78496,0.81837
1987,4th Quintile,Not born in Germany,0.07926,510,2191,0.06795,0.09058
1987,5th Quintile,Born in Germany or immigrated <1950,0.83540,1797,2081,0.81946,0.85134
1987,5th Quintile,Not born in Germany,0.06381,284,2081,0.05330,0.07431
1988,1st Quintile,Born in Germany or immigrated <1950,0.66794,1196,1967,0.64712,0.68875
1988,1st Quintile,Not born in Germany,0.11015,771,1967,0.09631,0.12399
1988,2nd Quintile,Born in Germany or immigrated <1950,0.69786,1346,1985,0.67765,0.71807
1988,2nd Quintile,Not born in Germany,0.08819,639,1985,0.07571,0.10066
