year,migback,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Born in Germany or immigrated <1950,0.84188,8673,8673,0.83421,0.84956
1984,Direct migration background,Not born in Germany,0.88534,3373,3373,0.87458,0.89609
1984,Indirect migration background,Born in Germany or immigrated <1950,0.11846,125,125,0.06158,0.17534
1985,No migration background,Born in Germany or immigrated <1950,0.85412,7980,7980,0.84637,0.86186
1985,Direct migration background,Not born in Germany,0.91069,2906,2906,0.90031,0.92106
1985,Indirect migration background,Born in Germany or immigrated <1950,0.14425,140,140,0.08584,0.20266
1986,No migration background,Born in Germany or immigrated <1950,0.85377,7605,7605,0.84583,0.86171
1986,Direct migration background,Not born in Germany,0.91830,2827,2827,0.90821,0.92840
1986,Indirect migration background,Born in Germany or immigrated <1950,0.14666,153,153,0.09042,0.20291
1987,No migration background,Born in Germany or immigrated <1950,0.85204,7467,7467,0.84399,0.86010
1987,Direct migration background,Not born in Germany,0.93293,2815,2815,0.92368,0.94217
1987,Indirect migration background,Born in Germany or immigrated <1950,0.14513,173,173,0.09249,0.19777
1988,No migration background,Born in Germany or immigrated <1950,0.85219,7083,7083,0.84393,0.86046
1988,Direct migration background,Not born in Germany,0.93545,2669,2669,0.92613,0.94478
1988,Indirect migration background,Born in Germany or immigrated <1950,0.16920,220,220,0.11954,0.21886
1989,No migration background,Born in Germany or immigrated <1950,0.85368,6819,6819,0.84529,0.86207
1989,Direct migration background,Not born in Germany,0.94581,2588,2588,0.93708,0.95453
1989,Indirect migration background,Born in Germany or immigrated <1950,0.18978,257,257,0.14174,0.23781
1990,No migration background,Born in Germany or immigrated <1950,0.83513,10921,10921,0.82817,0.84209
1990,Direct migration background,Not born in Germany,0.95653,2675,2675,0.94880,0.96426
1990,Indirect migration background,Born in Germany or immigrated <1950,0.18957,295,295,0.14476,0.23437
1991,No migration background,Born in Germany or immigrated <1950,0.83675,10616,10616,0.82972,0.84378
1991,Direct migration background,Not born in Germany,0.96597,2624,2624,0.95903,0.97291
1991,Indirect migration background,Born in Germany or immigrated <1950,0.20794,348,348,0.16524,0.25064
1992,No migration background,Born in Germany or immigrated <1950,0.83437,10359,10359,0.82721,0.84153
1992,Direct migration background,Not born in Germany,0.97979,2552,2552,0.97433,0.98525
1992,Indirect migration background,Born in Germany or immigrated <1950,0.25514,406,406,0.21268,0.29760
1993,No migration background,Born in Germany or immigrated <1950,0.83250,10158,10158,0.82524,0.83976
1993,Direct migration background,Not born in Germany,0.98410,2477,2477,0.97917,0.98903
1993,Indirect migration background,Born in Germany or immigrated <1950,0.31053,468,468,0.26856,0.35249
1994,No migration background,Born in Germany or immigrated <1950,0.83102,10025,10025,0.82369,0.83836
1994,Direct migration background,Not born in Germany,0.98809,2358,2358,0.98371,0.99247
1994,Indirect migration background,Born in Germany or immigrated <1950,0.32653,491,491,0.28501,0.36805
1995,No migration background,Born in Germany or immigrated <1950,0.83157,10001,10001,0.82424,0.83891
1995,Direct migration background,Not born in Germany,0.94034,2781,2781,0.93154,0.94915
1995,Indirect migration background,Born in Germany or immigrated <1950,0.31980,504,504,0.27904,0.36056
1996,No migration background,Born in Germany or immigrated <1950,0.83428,9907,9907,0.82696,0.84161
1996,Direct migration background,Not born in Germany,0.94339,2598,2598,0.93450,0.95228
1996,Indirect migration background,Born in Germany or immigrated <1950,0.32999,543,543,0.29040,0.36957
1997,No migration background,Born in Germany or immigrated <1950,0.83489,9791,9791,0.82754,0.84225
1997,Direct migration background,Not born in Germany,0.94739,2472,2472,0.93858,0.95619
1997,Indirect migration background,Born in Germany or immigrated <1950,0.36438,567,567,0.32473,0.40402
1998,No migration background,Born in Germany or immigrated <1950,0.83875,11244,11244,0.83195,0.84555
1998,Direct migration background,Not born in Germany,0.94519,2399,2399,0.93608,0.95430
1998,Indirect migration background,Born in Germany or immigrated <1950,0.38918,597,597,0.35003,0.42832
1999,No migration background,Born in Germany or immigrated <1950,0.84199,10866,10866,0.83513,0.84885
1999,Direct migration background,Not born in Germany,0.94990,2204,2204,0.94079,0.95901
1999,Indirect migration background,Born in Germany or immigrated <1950,0.39637,604,604,0.35732,0.43541
2000,No migration background,Born in Germany or immigrated <1950,0.84546,19990,19990,0.84044,0.85047
2000,Direct migration background,Not born in Germany,0.91823,3305,3305,0.90888,0.92757
2000,Indirect migration background,Born in Germany or immigrated <1950,0.39014,817,817,0.35667,0.42361
2001,No migration background,Born in Germany or immigrated <1950,0.84827,18241,18241,0.84306,0.85347
2001,Direct migration background,Not born in Germany,0.93582,2916,2916,0.92693,0.94472
2001,Indirect migration background,Born in Germany or immigrated <1950,0.37344,764,764,0.33912,0.40776
2002,No migration background,Born in Germany or immigrated <1950,0.84953,19462,19462,0.84450,0.85455
2002,Direct migration background,Not born in Germany,0.94419,2797,2797,0.93568,0.95269
2002,Indirect migration background,Born in Germany or immigrated <1950,0.37540,768,768,0.34113,0.40967
2003,No migration background,Born in Germany or immigrated <1950,0.85147,18772,18772,0.84638,0.85656
2003,Direct migration background,Not born in Germany,0.94897,2619,2619,0.94054,0.95740
2003,Indirect migration background,Born in Germany or immigrated <1950,0.39225,775,775,0.35785,0.42665
2004,No migration background,Born in Germany or immigrated <1950,0.85421,18280,18280,0.84909,0.85933
2004,Direct migration background,Not born in Germany,0.96086,2538,2538,0.95331,0.96841
2004,Indirect migration background,Born in Germany or immigrated <1950,0.41914,796,796,0.38484,0.45344
