year,age_gr,pgisced97,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Born in Germany or immigrated <1950,0.97398,166,166,0.94970,0.99827
1984,17-29 y.,Primary Level,Born in Germany or immigrated <1950,0.64535,53,206,0.57986,0.71084
1984,17-29 y.,Primary Level,Not born in Germany,0.35465,153,206,0.28916,0.42014
1984,17-29 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.88186,652,1046,0.86229,0.90143
1984,17-29 y.,Lower Secondary Level,Not born in Germany,0.11814,394,1046,0.09857,0.13771
1984,17-29 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.92454,1264,1603,0.91160,0.93747
1984,17-29 y.,Upper Secondary Level,Not born in Germany,0.07546,339,1603,0.06253,0.08840
1984,17-29 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.85092,86,125,0.78823,0.91361
1984,17-29 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.14908,39,125,0.08639,0.21177
1984,17-29 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.93495,114,114,0.88948,0.98042
1984,17-29 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.89302,100,100,0.83214,0.95391
1984,30-45 y.,Primary Level,Not born in Germany,0.85894,386,386,0.82417,0.89371
1984,30-45 y.,Lower Secondary Level,Born in Germany or immigrated <1950,0.80314,395,804,0.77563,0.83064
1984,30-45 y.,Lower Secondary Level,Not born in Germany,0.19686,409,804,0.16936,0.22437
1984,30-45 y.,Upper Secondary Level,Born in Germany or immigrated <1950,0.91491,1528,1949,0.90251,0.92730
1984,30-45 y.,Upper Secondary Level,Not born in Germany,0.08509,421,1949,0.07270,0.09749
1984,30-45 y.,Post-secondary Non-tertiary Level,Born in Germany or immigrated <1950,0.66774,34,99,0.57448,0.76099
1984,30-45 y.,Post-secondary Non-tertiary Level,Not born in Germany,0.33226,65,99,0.23901,0.42552
1984,30-45 y.,First Stage of Tertiary Education,Born in Germany or immigrated <1950,0.91477,223,223,0.87804,0.95150
1984,30-45 y.,Second Stage of Tertiary Education,Born in Germany or immigrated <1950,0.90756,320,378,0.87832,0.93680
1984,30-45 y.,Second Stage of Tertiary Education,Not born in Germany,0.09244,58,378,0.06320,0.12168
1984,46-65 y.,Primary Level,Not born in Germany,0.85836,371,371,0.82283,0.89389
