year,age_gr,regtyp,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89863,1758,2488,0.88677,0.91050
1985,17-29 y.,Urban regions,Not born in Germany,0.10137,730,2488,0.08950,0.11323
1985,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.95225,557,652,0.93587,0.96863
1985,17-29 y.,Rural regions,Not born in Germany,0.04775,95,652,0.03137,0.06413
1985,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84928,1730,2750,0.83590,0.86265
1985,30-45 y.,Urban regions,Not born in Germany,0.15072,1020,2750,0.13735,0.16410
1985,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91507,564,725,0.89477,0.93538
1985,30-45 y.,Rural regions,Not born in Germany,0.08493,161,725,0.06462,0.10523
1985,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.88514,1833,2605,0.87289,0.89739
1985,46-65 y.,Urban regions,Not born in Germany,0.11486,772,2605,0.10261,0.12711
1985,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.94232,608,699,0.92502,0.95962
1985,46-65 y.,Rural regions,Not born in Germany,0.05768,91,699,0.04038,0.07498
1985,66 and older,Urban regions,Born in Germany or immigrated <1950,0.96935,784,816,0.95751,0.98118
1985,66 and older,Urban regions,Not born in Germany,0.03065,32,816,0.01882,0.04249
1985,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97921,286,286,0.96265,0.99578
1986,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.90020,1715,2415,0.88824,0.91216
1986,17-29 y.,Urban regions,Not born in Germany,0.09980,700,2415,0.08784,0.11176
1986,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94492,540,641,0.92725,0.96260
1986,17-29 y.,Rural regions,Not born in Germany,0.05508,101,641,0.03740,0.07275
1986,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84625,1650,2598,0.83238,0.86013
1986,30-45 y.,Urban regions,Not born in Germany,0.15375,948,2598,0.13987,0.16762
1986,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.90440,518,672,0.88215,0.92665
1986,30-45 y.,Rural regions,Not born in Germany,0.09560,154,672,0.07335,0.11785
1986,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.88124,1781,2553,0.86869,0.89380
1986,46-65 y.,Urban regions,Not born in Germany,0.11876,772,2553,0.10620,0.13131
1986,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93309,573,675,0.91422,0.95195
1986,46-65 y.,Rural regions,Not born in Germany,0.06691,102,675,0.04805,0.08578
1986,66 and older,Urban regions,Born in Germany or immigrated <1950,0.95333,720,764,0.93837,0.96830
1986,66 and older,Urban regions,Not born in Germany,0.04667,44,764,0.03170,0.06163
1986,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97554,261,261,0.95677,0.99432
1987,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89759,1681,2368,0.88538,0.90981
1987,17-29 y.,Urban regions,Not born in Germany,0.10241,687,2368,0.09019,0.11462
1987,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93913,533,643,0.92063,0.95762
1987,17-29 y.,Rural regions,Not born in Germany,0.06087,110,643,0.04238,0.07937
1987,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.84247,1614,2519,0.82824,0.85670
1987,30-45 y.,Urban regions,Not born in Germany,0.15753,905,2519,0.14330,0.17176
1987,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.90665,502,649,0.88425,0.92905
1987,30-45 y.,Rural regions,Not born in Germany,0.09335,147,649,0.07095,0.11575
1987,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.86993,1746,2548,0.85686,0.88299
1987,46-65 y.,Urban regions,Not born in Germany,0.13007,802,2548,0.11701,0.14314
1987,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.92977,552,660,0.91026,0.94928
1987,46-65 y.,Rural regions,Not born in Germany,0.07023,108,660,0.05072,0.08974
1987,66 and older,Urban regions,Born in Germany or immigrated <1950,0.95105,746,796,0.93606,0.96605
1987,66 and older,Urban regions,Not born in Germany,0.04895,50,796,0.03395,0.06394
1987,66 and older,Rural regions,Born in Germany or immigrated <1950,0.97751,266,266,0.95966,0.99536
1988,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89761,1616,2296,0.88521,0.91001
1988,17-29 y.,Urban regions,Not born in Germany,0.10239,680,2296,0.08999,0.11479
1988,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.94586,488,577,0.92738,0.96434
1988,17-29 y.,Rural regions,Not born in Germany,0.05414,89,577,0.03566,0.07262
1988,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.85675,1541,2333,0.84253,0.87097
1988,30-45 y.,Urban regions,Not born in Germany,0.14325,792,2333,0.12903,0.15747
1988,30-45 y.,Rural regions,Born in Germany or immigrated <1950,0.91268,478,619,0.89042,0.93494
1988,30-45 y.,Rural regions,Not born in Germany,0.08732,141,619,0.06506,0.10958
1988,46-65 y.,Urban regions,Born in Germany or immigrated <1950,0.86849,1679,2481,0.85519,0.88179
1988,46-65 y.,Urban regions,Not born in Germany,0.13151,802,2481,0.11821,0.14481
1988,46-65 y.,Rural regions,Born in Germany or immigrated <1950,0.93373,528,630,0.91428,0.95317
1988,46-65 y.,Rural regions,Not born in Germany,0.06627,102,630,0.04683,0.08572
1988,66 and older,Urban regions,Born in Germany or immigrated <1950,0.94905,725,780,0.93361,0.96449
1988,66 and older,Urban regions,Not born in Germany,0.05095,55,780,0.03551,0.06639
1988,66 and older,Rural regions,Born in Germany or immigrated <1950,0.96761,248,248,0.94554,0.98969
1989,17-29 y.,Urban regions,Born in Germany or immigrated <1950,0.89214,1610,2265,0.87936,0.90492
1989,17-29 y.,Urban regions,Not born in Germany,0.10786,655,2265,0.09508,0.12064
1989,17-29 y.,Rural regions,Born in Germany or immigrated <1950,0.93837,480,564,0.91851,0.95824
1989,17-29 y.,Rural regions,Not born in Germany,0.06163,84,564,0.04176,0.08149
1989,30-45 y.,Urban regions,Born in Germany or immigrated <1950,0.85608,1523,2270,0.84163,0.87052
1989,30-45 y.,Urban regions,Not born in Germany,0.14392,747,2270,0.12948,0.15837
