year,sampreg,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Born in Germany or immigrated <1950,0.74887,8798,12171,0.74116,0.75657
1984,West,Not born in Germany,0.07768,3373,12171,0.07292,0.08243
1985,West,Born in Germany or immigrated <1950,0.75993,8120,11026,0.75196,0.76790
1985,West,Not born in Germany,0.07870,2906,11026,0.07367,0.08372
1986,West,Born in Germany or immigrated <1950,0.75444,7758,10585,0.74624,0.76264
1986,West,Not born in Germany,0.08307,2827,10585,0.07781,0.08833
1987,West,Born in Germany or immigrated <1950,0.74866,7640,10455,0.74034,0.75698
1987,West,Not born in Germany,0.08658,2815,10455,0.08119,0.09197
1988,West,Born in Germany or immigrated <1950,0.75097,7303,9972,0.74248,0.75945
1988,West,Not born in Germany,0.08439,2669,9972,0.07893,0.08984
1989,West,Born in Germany or immigrated <1950,0.74655,7076,9664,0.73787,0.75522
1989,West,Not born in Germany,0.09025,2588,9664,0.08454,0.09597
1990,West,Born in Germany or immigrated <1950,0.73799,6931,9463,0.72913,0.74685
1990,West,Not born in Germany,0.09573,2532,9463,0.08981,0.10166
1990,East,Born in Germany or immigrated <1950,0.75431,4285,4428,0.74162,0.76699
1990,East,Not born in Germany,0.02787,143,4428,0.02302,0.03272
1991,West,Born in Germany or immigrated <1950,0.72790,6965,9448,0.71892,0.73687
1991,West,Not born in Germany,0.10028,2483,9448,0.09422,0.10634
1991,East,Born in Germany or immigrated <1950,0.77481,3999,4140,0.76208,0.78754
1991,East,Not born in Germany,0.03291,141,4140,0.02748,0.03835
1992,West,Born in Germany or immigrated <1950,0.72195,6934,9341,0.71287,0.73104
1992,West,Not born in Germany,0.10467,2407,9341,0.09847,0.11088
1992,East,Born in Germany or immigrated <1950,0.77807,3831,3976,0.76515,0.79099
1992,East,Not born in Germany,0.03570,145,3976,0.02993,0.04146
1993,West,Born in Germany or immigrated <1950,0.71574,6932,9274,0.70656,0.72492
1993,West,Not born in Germany,0.11033,2342,9274,0.10395,0.11670
1993,East,Born in Germany or immigrated <1950,0.77790,3694,3829,0.76474,0.79107
1993,East,Not born in Germany,0.03516,135,3829,0.02932,0.04099
1994,West,Born in Germany or immigrated <1950,0.71074,6883,9098,0.70142,0.72005
1994,West,Not born in Germany,0.11263,2215,9098,0.10613,0.11913
1994,East,Born in Germany or immigrated <1950,0.77787,3633,3776,0.76461,0.79113
1994,East,Not born in Germany,0.04046,143,3776,0.03417,0.04675
1995,West,Born in Germany or immigrated <1950,0.68726,6955,9593,0.67798,0.69654
1995,West,Not born in Germany,0.13354,2638,9593,0.12673,0.14034
1995,East,Born in Germany or immigrated <1950,0.78343,3550,3693,0.77014,0.79671
1995,East,Not born in Germany,0.04133,143,3693,0.03491,0.04775
1996,West,Born in Germany or immigrated <1950,0.68924,6906,9364,0.67986,0.69861
1996,West,Not born in Germany,0.13214,2458,9364,0.12528,0.13900
1996,East,Born in Germany or immigrated <1950,0.78730,3544,3684,0.77408,0.80051
1996,East,Not born in Germany,0.04167,140,3684,0.03521,0.04812
1997,West,Born in Germany or immigrated <1950,0.68963,6853,9195,0.68017,0.69909
1997,West,Not born in Germany,0.13163,2342,9195,0.12472,0.13854
1997,East,Born in Germany or immigrated <1950,0.79597,3505,3635,0.78287,0.80907
1997,East,Not born in Germany,0.04116,130,3635,0.03470,0.04761
1998,West,Born in Germany or immigrated <1950,0.69491,8094,10375,0.68605,0.70377
1998,West,Not born in Germany,0.12861,2281,10375,0.12217,0.13505
1998,East,Born in Germany or immigrated <1950,0.80266,3747,3865,0.79011,0.81521
1998,East,Not born in Germany,0.03521,118,3865,0.02940,0.04102
1999,West,Born in Germany or immigrated <1950,0.69722,7796,9891,0.68817,0.70628
1999,West,Not born in Germany,0.12668,2095,9891,0.12012,0.13323
1999,East,Born in Germany or immigrated <1950,0.81291,3674,3783,0.80048,0.82534
1999,East,Not born in Germany,0.03300,109,3783,0.02730,0.03869
2000,West,Born in Germany or immigrated <1950,0.69797,15104,18260,0.69131,0.70463
2000,West,Not born in Germany,0.12495,3156,18260,0.12016,0.12975
2000,East,Born in Germany or immigrated <1950,0.82283,5703,5852,0.81305,0.83261
2000,East,Not born in Germany,0.02638,149,5852,0.02227,0.03048
2001,West,Born in Germany or immigrated <1950,0.70005,13692,16486,0.69306,0.70705
2001,West,Not born in Germany,0.12258,2794,16486,0.11758,0.12759
2001,East,Born in Germany or immigrated <1950,0.83314,5313,5435,0.82322,0.84305
2001,East,Not born in Germany,0.02453,122,5435,0.02042,0.02865
2002,West,Born in Germany or immigrated <1950,0.69858,14916,17598,0.69180,0.70536
2002,West,Not born in Germany,0.12525,2682,17598,0.12036,0.13014
2002,East,Born in Germany or immigrated <1950,0.83972,5314,5429,0.82996,0.84948
2002,East,Not born in Germany,0.02458,115,5429,0.02046,0.02870
2003,West,Born in Germany or immigrated <1950,0.69889,14307,16822,0.69196,0.70582
2003,West,Not born in Germany,0.12629,2515,16822,0.12127,0.13131
2003,East,Born in Germany or immigrated <1950,0.84625,5240,5344,0.83658,0.85592
2003,East,Not born in Germany,0.02138,104,5344,0.01750,0.02526
2004,West,Born in Germany or immigrated <1950,0.70041,13954,16391,0.69340,0.70742
2004,West,Not born in Germany,0.12878,2437,16391,0.12366,0.13391
2004,East,Born in Germany or immigrated <1950,0.85231,5122,5223,0.84269,0.86193
2004,East,Not born in Germany,0.02093,101,5223,0.01705,0.02482
2005,West,Born in Germany or immigrated <1950,0.70558,13393,15662,0.69845,0.71272
2005,West,Not born in Germany,0.12921,2269,15662,0.12395,0.13446
2005,East,Born in Germany or immigrated <1950,0.85012,4938,5037,0.84026,0.85998
2005,East,Not born in Germany,0.02344,99,5037,0.01926,0.02762
2006,West,Born in Germany or immigrated <1950,0.70657,14630,16905,0.69971,0.71344
2006,West,Not born in Germany,0.12871,2275,16905,0.12367,0.13376
2006,East,Born in Germany or immigrated <1950,0.85687,5256,5366,0.84750,0.86624
2006,East,Not born in Germany,0.02420,110,5366,0.02009,0.02831
2007,West,Born in Germany or immigrated <1950,0.71142,13718,15760,0.70435,0.71849
2007,West,Not born in Germany,0.12734,2042,15760,0.12213,0.13254
2007,East,Born in Germany or immigrated <1950,0.86684,4999,5090,0.85750,0.87617
2007,East,Not born in Germany,0.02214,91,5090,0.01809,0.02618
2008,West,Born in Germany or immigrated <1950,0.71758,12932,14763,0.71032,0.72484
2008,West,Not born in Germany,0.12673,1831,14763,0.12137,0.13210
2008,East,Born in Germany or immigrated <1950,0.86504,4729,4808,0.85539,0.87470
2008,East,Not born in Germany,0.01814,79,4808,0.01436,0.02191
2009,West,Born in Germany or immigrated <1950,0.72633,12092,13684,0.71886,0.73380
2009,West,Not born in Germany,0.12271,1592,13684,0.11721,0.12820
2009,East,Born in Germany or immigrated <1950,0.85716,4495,4570,0.84701,0.86731
2009,East,Not born in Germany,0.01756,75,4570,0.01375,0.02137
2010,West,Born in Germany or immigrated <1950,0.71184,15980,18811,0.70537,0.71832
2010,West,Not born in Germany,0.13533,2831,18811,0.13044,0.14022
2010,East,Born in Germany or immigrated <1950,0.86308,5388,5518,0.85401,0.87215
2010,East,Not born in Germany,0.01913,130,5518,0.01551,0.02274
2011,West,Born in Germany or immigrated <1950,0.71404,19353,22516,0.70814,0.71995
2011,West,Not born in Germany,0.13002,3163,22516,0.12563,0.13441
2011,East,Born in Germany or immigrated <1950,0.85325,6222,6385,0.84457,0.86193
2011,East,Not born in Germany,0.01923,163,6385,0.01586,0.02260
2012,West,Born in Germany or immigrated <1950,0.71002,18935,21922,0.70401,0.71602
2012,West,Not born in Germany,0.13612,2987,21922,0.13158,0.14066
2012,East,Born in Germany or immigrated <1950,0.84840,6079,6245,0.83950,0.85729
2012,East,Not born in Germany,0.02158,166,6245,0.01798,0.02518
2013,West,Born in Germany or immigrated <1950,0.70855,18912,24981,0.70292,0.71419
2013,West,Not born in Germany,0.13827,6069,24981,0.13399,0.14255
2013,East,Born in Germany or immigrated <1950,0.84159,5754,6203,0.83250,0.85067
2013,East,Not born in Germany,0.03216,449,6203,0.02777,0.03655
2014,West,Born in Germany or immigrated <1950,0.71107,17076,21986,0.70508,0.71707
2014,West,Not born in Germany,0.13923,4910,21986,0.13465,0.14380
2014,East,Born in Germany or immigrated <1950,0.83167,5306,5669,0.82193,0.84141
2014,East,Not born in Germany,0.03292,363,5669,0.02828,0.03757
2015,West,Born in Germany or immigrated <1950,0.70679,16233,21846,0.70076,0.71283
2015,West,Not born in Germany,0.14476,5613,21846,0.14009,0.14942
2015,East,Born in Germany or immigrated <1950,0.82644,5058,5497,0.81643,0.83646
2015,East,Not born in Germany,0.03841,439,5497,0.03333,0.04349
2016,West,Born in Germany or immigrated <1950,0.70150,15047,22299,0.69549,0.70751
2016,West,Not born in Germany,0.14852,7252,22299,0.14385,0.15319
