year,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Born in Germany or immigrated <1950,0.74887,8798,12171,0.74116,0.75657
1984,Not born in Germany,0.07768,3373,12171,0.07292,0.08243
1985,Born in Germany or immigrated <1950,0.75993,8120,11026,0.75196,0.76790
1985,Not born in Germany,0.07870,2906,11026,0.07367,0.08372
1986,Born in Germany or immigrated <1950,0.75444,7758,10585,0.74624,0.76264
1986,Not born in Germany,0.08307,2827,10585,0.07781,0.08833
1987,Born in Germany or immigrated <1950,0.74866,7640,10455,0.74034,0.75698
1987,Not born in Germany,0.08658,2815,10455,0.08119,0.09197
1988,Born in Germany or immigrated <1950,0.75097,7303,9972,0.74248,0.75945
1988,Not born in Germany,0.08439,2669,9972,0.07893,0.08984
1989,Born in Germany or immigrated <1950,0.74655,7076,9664,0.73787,0.75522
1989,Not born in Germany,0.09025,2588,9664,0.08454,0.09597
1990,Born in Germany or immigrated <1950,0.74137,11216,13891,0.73409,0.74865
1990,Not born in Germany,0.08166,2675,13891,0.07711,0.08622
1991,Born in Germany or immigrated <1950,0.73764,10964,13588,0.73025,0.74504
1991,Not born in Germany,0.08629,2624,13588,0.08156,0.09101
1992,Born in Germany or immigrated <1950,0.73340,10765,13317,0.72589,0.74091
1992,Not born in Germany,0.09060,2552,13317,0.08573,0.09548
1993,Born in Germany or immigrated <1950,0.72832,10626,13103,0.72070,0.73594
1993,Not born in Germany,0.09511,2477,13103,0.09009,0.10014
1994,Born in Germany or immigrated <1950,0.72410,10516,12874,0.71638,0.73182
1994,Not born in Germany,0.09826,2358,12874,0.09312,0.10340
1995,Born in Germany or immigrated <1950,0.70582,10505,13286,0.69807,0.71357
1995,Not born in Germany,0.11574,2781,13286,0.11030,0.12118
1996,Born in Germany or immigrated <1950,0.70781,10450,13048,0.70000,0.71561
1996,Not born in Germany,0.11501,2598,13048,0.10953,0.12048
1997,Born in Germany or immigrated <1950,0.70960,10358,12830,0.70174,0.71746
1997,Not born in Germany,0.11464,2472,12830,0.10913,0.12016
1998,Born in Germany or immigrated <1950,0.71533,11841,14240,0.70791,0.72274
1998,Not born in Germany,0.11091,2399,14240,0.10575,0.11607
1999,Born in Germany or immigrated <1950,0.71864,11470,13674,0.71110,0.72618
1999,Not born in Germany,0.10933,2204,13674,0.10410,0.11456
2000,Born in Germany or immigrated <1950,0.72125,20807,24112,0.71559,0.72691
2000,Not born in Germany,0.10657,3305,24112,0.10268,0.11047
2001,Born in Germany or immigrated <1950,0.72442,19005,21921,0.71850,0.73033
2001,Not born in Germany,0.10463,2916,21921,0.10058,0.10868
2002,Born in Germany or immigrated <1950,0.72430,20230,23027,0.71853,0.73007
2002,Not born in Germany,0.10691,2797,23027,0.10291,0.11090
2003,Born in Germany or immigrated <1950,0.72557,19547,22166,0.71969,0.73144
2003,Not born in Germany,0.10730,2619,22166,0.10323,0.11137
2004,Born in Germany or immigrated <1950,0.72759,19076,21614,0.72165,0.73352
2004,Not born in Germany,0.10949,2538,21614,0.10532,0.11365
2005,Born in Germany or immigrated <1950,0.73160,18331,20699,0.72556,0.73764
2005,Not born in Germany,0.11017,2368,20699,0.10590,0.11444
2006,Born in Germany or immigrated <1950,0.73376,19886,22271,0.72795,0.73956
2006,Not born in Germany,0.10981,2385,22271,0.10570,0.11392
2007,Born in Germany or immigrated <1950,0.73955,18717,20850,0.73359,0.74550
2007,Not born in Germany,0.10830,2133,20850,0.10408,0.11252
2008,Born in Germany or immigrated <1950,0.74391,17661,19571,0.73779,0.75002
2008,Not born in Germany,0.10734,1910,19571,0.10301,0.11168
2009,Born in Germany or immigrated <1950,0.75018,16587,18254,0.74390,0.75646
2009,Not born in Germany,0.10354,1667,18254,0.09912,0.10796
2010,Born in Germany or immigrated <1950,0.73854,21368,24329,0.73302,0.74407
2010,Not born in Germany,0.11482,2961,24329,0.11081,0.11882
2011,Born in Germany or immigrated <1950,0.73863,25575,28901,0.73356,0.74369
2011,Not born in Germany,0.11045,3326,28901,0.10684,0.11407
2012,Born in Germany or immigrated <1950,0.73404,25014,28167,0.72888,0.73920
2012,Not born in Germany,0.11623,3153,28167,0.11249,0.11997
2013,Born in Germany or immigrated <1950,0.73183,24666,31184,0.72691,0.73675
2013,Not born in Germany,0.11970,6518,31184,0.11610,0.12330
2014,Born in Germany or immigrated <1950,0.73219,22382,27655,0.72697,0.73741
2014,Not born in Germany,0.12062,5273,27655,0.11678,0.12446
2015,Born in Germany or immigrated <1950,0.72769,21291,27343,0.72242,0.73297
2015,Not born in Germany,0.12618,6052,27343,0.12225,0.13012
2016,Born in Germany or immigrated <1950,0.72174,19808,27973,0.71649,0.72699
2016,Not born in Germany,0.13015,8165,27973,0.12621,0.13409
2017,Born in Germany or immigrated <1950,0.71839,22276,31260,0.71341,0.72338
2017,Not born in Germany,0.13120,8984,31260,0.12746,0.13494
2018,Born in Germany or immigrated <1950,0.71770,21525,29889,0.71259,0.72280
2018,Not born in Germany,0.13461,8364,29889,0.13074,0.13848
2019,Born in Germany or immigrated <1950,0.71374,22295,29829,0.70861,0.71887
2019,Not born in Germany,0.13465,7534,29829,0.13078,0.13853
2020,Born in Germany or immigrated <1950,0.72137,20531,30012,0.71630,0.72644
2020,Not born in Germany,0.12436,9481,30012,0.12063,0.12809
2021,Born in Germany or immigrated <1950,0.71193,14431,19931,0.70565,0.71822
2021,Not born in Germany,0.12943,5500,19931,0.12477,0.13409
