year,bula_h,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Born in Germany or immigrated <1950,0.78757,346,386,0.74671,0.82843
1984,Schleswig-Holstein,Not born in Germany,0.02800,40,386,0.01152,0.04448
1984,Hamburg,Born in Germany or immigrated <1950,0.81304,221,309,0.76950,0.85659
1984,Hamburg,Not born in Germany,0.08207,88,309,0.05141,0.11272
1984,Lower Saxony,Born in Germany or immigrated <1950,0.77946,1035,1235,0.75633,0.80259
1984,Lower Saxony,Not born in Germany,0.04745,200,1235,0.03559,0.05931
1984,Bremen,Born in Germany or immigrated <1950,0.81907,98,132,0.75314,0.88499
1984,Bremen,Not born in Germany,0.09054,34,132,0.04140,0.13968
1984,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.73254,2306,3256,0.71733,0.74775
1984,North Rhine-Westphalia,Not born in Germany,0.08417,950,3256,0.07463,0.09371
1984,Hesse,Born in Germany or immigrated <1950,0.73987,777,1247,0.71551,0.76423
1984,Hesse,Not born in Germany,0.10911,470,1247,0.09180,0.12643
1984,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.79488,701,851,0.76773,0.82203
1984,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05317,150,851,0.03808,0.06825
1984,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.69743,1376,2255,0.67847,0.71640
1984,Baden-Wuerttemberg,Not born in Germany,0.10599,879,2255,0.09328,0.11870
1984,Bavaria,Born in Germany or immigrated <1950,0.76046,1646,2092,0.74217,0.77875
1984,Bavaria,Not born in Germany,0.06653,446,2092,0.05585,0.07721
1984,Berlin,Born in Germany or immigrated <1950,0.75041,292,408,0.70837,0.79246
1984,Berlin,Not born in Germany,0.08493,116,408,0.05785,0.11202
1985,Schleswig-Holstein,Born in Germany or immigrated <1950,0.79553,314,353,0.75340,0.83767
1985,Schleswig-Holstein,Not born in Germany,0.02978,39,353,0.01202,0.04754
1985,Hamburg,Born in Germany or immigrated <1950,0.83682,211,280,0.79346,0.88018
1985,Hamburg,Not born in Germany,0.07153,69,280,0.04129,0.10177
1985,Lower Saxony,Born in Germany or immigrated <1950,0.79807,953,1107,0.77442,0.82173
1985,Lower Saxony,Not born in Germany,0.04719,154,1107,0.03469,0.05968
1985,Bremen,Born in Germany or immigrated <1950,0.84049,90,90,0.76441,0.91656
1985,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.74514,2161,2961,0.72944,0.76084
1985,North Rhine-Westphalia,Not born in Germany,0.08258,800,2961,0.07266,0.09249
1985,Hesse,Born in Germany or immigrated <1950,0.74601,714,1134,0.72067,0.77136
1985,Hesse,Not born in Germany,0.11332,420,1134,0.09487,0.13178
1985,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.80375,643,772,0.77571,0.83178
1985,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05291,129,772,0.03711,0.06871
1985,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.70388,1256,2041,0.68407,0.72369
1985,Baden-Wuerttemberg,Not born in Germany,0.11328,785,2041,0.09953,0.12704
1985,Bavaria,Born in Germany or immigrated <1950,0.76919,1515,1897,0.75023,0.78816
1985,Bavaria,Not born in Germany,0.06771,382,1897,0.05640,0.07902
1985,Berlin,Born in Germany or immigrated <1950,0.76234,263,365,0.71862,0.80607
1985,Berlin,Not born in Germany,0.08909,102,365,0.05982,0.11835
1986,Schleswig-Holstein,Born in Germany or immigrated <1950,0.79717,285,323,0.75324,0.84109
1986,Schleswig-Holstein,Not born in Germany,0.03135,38,323,0.01232,0.05039
1986,Hamburg,Born in Germany or immigrated <1950,0.83637,186,256,0.79096,0.88177
1986,Hamburg,Not born in Germany,0.07511,70,256,0.04276,0.10747
1986,Lower Saxony,Born in Germany or immigrated <1950,0.79329,936,1108,0.76944,0.81715
1986,Lower Saxony,Not born in Germany,0.05385,172,1108,0.04055,0.06714
1986,Bremen,Born in Germany or immigrated <1950,0.85238,85,85,0.77652,0.92824
1986,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.74004,2084,2858,0.72395,0.75612
1986,North Rhine-Westphalia,Not born in Germany,0.08542,774,2858,0.07517,0.09567
1986,Hesse,Born in Germany or immigrated <1950,0.73485,671,1049,0.70813,0.76158
1986,Hesse,Not born in Germany,0.11631,378,1049,0.09690,0.13572
1986,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.80268,643,769,0.77454,0.83083
1986,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05346,126,769,0.03755,0.06937
1986,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.70070,1222,1988,0.68057,0.72084
1986,Baden-Wuerttemberg,Not born in Germany,0.12094,766,1988,0.10660,0.13527
1986,Bavaria,Born in Germany or immigrated <1950,0.76043,1400,1773,0.74056,0.78030
1986,Bavaria,Not born in Germany,0.07258,373,1773,0.06050,0.08466
1986,Berlin,Born in Germany or immigrated <1950,0.75631,246,352,0.71140,0.80122
1986,Berlin,Not born in Germany,0.09727,106,352,0.06627,0.12827
1987,Schleswig-Holstein,Born in Germany or immigrated <1950,0.78306,283,326,0.73825,0.82787
1987,Schleswig-Holstein,Not born in Germany,0.03468,43,326,0.01479,0.05458
1987,Hamburg,Born in Germany or immigrated <1950,0.82280,163,226,0.77290,0.87269
1987,Hamburg,Not born in Germany,0.07770,63,226,0.04272,0.11268
1987,Lower Saxony,Born in Germany or immigrated <1950,0.79098,937,1105,0.76699,0.81497
1987,Lower Saxony,Not born in Germany,0.05451,168,1105,0.04112,0.06790
1987,Bremen,Born in Germany or immigrated <1950,0.84726,79,79,0.76743,0.92710
1987,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.73750,2063,2827,0.72128,0.75373
1987,North Rhine-Westphalia,Not born in Germany,0.08886,764,2827,0.07837,0.09935
1987,Hesse,Born in Germany or immigrated <1950,0.72259,662,1056,0.69557,0.74961
1987,Hesse,Not born in Germany,0.12641,394,1056,0.10636,0.14646
1987,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.80394,636,766,0.77581,0.83207
1987,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05413,130,766,0.03810,0.07017
1987,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.68908,1203,1962,0.66859,0.70956
1987,Baden-Wuerttemberg,Not born in Germany,0.12579,759,1962,0.11112,0.14047
1987,Bavaria,Born in Germany or immigrated <1950,0.75428,1365,1724,0.73395,0.77461
1987,Bavaria,Not born in Germany,0.07538,359,1724,0.06291,0.08784
1987,Berlin,Born in Germany or immigrated <1950,0.76393,249,362,0.72013,0.80774
1987,Berlin,Not born in Germany,0.09854,113,362,0.06779,0.12928
1988,Schleswig-Holstein,Born in Germany or immigrated <1950,0.76678,279,324,0.72066,0.81290
1988,Schleswig-Holstein,Not born in Germany,0.03426,45,324,0.01442,0.05410
1988,Hamburg,Born in Germany or immigrated <1950,0.84309,151,202,0.79280,0.89337
1988,Hamburg,Not born in Germany,0.06562,51,202,0.03138,0.09985
1988,Lower Saxony,Born in Germany or immigrated <1950,0.79190,881,1048,0.76731,0.81649
1988,Lower Saxony,Not born in Germany,0.05526,167,1048,0.04142,0.06910
1988,Bremen,Born in Germany or immigrated <1950,0.82694,81,81,0.74404,0.90984
1988,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.74348,1998,2692,0.72698,0.75998
1988,North Rhine-Westphalia,Not born in Germany,0.08495,694,2692,0.07442,0.09548
1988,Hesse,Born in Germany or immigrated <1950,0.71209,623,1002,0.68404,0.74014
1988,Hesse,Not born in Germany,0.12312,379,1002,0.10276,0.14347
1988,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.81128,609,738,0.78303,0.83953
1988,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05337,129,738,0.03714,0.06960
1988,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.69697,1162,1886,0.67622,0.71772
1988,Baden-Wuerttemberg,Not born in Germany,0.12370,724,1886,0.10883,0.13856
1988,Bavaria,Born in Germany or immigrated <1950,0.75498,1287,1647,0.73420,0.77576
1988,Bavaria,Not born in Germany,0.07517,360,1647,0.06243,0.08790
1988,Berlin,Born in Germany or immigrated <1950,0.76236,232,333,0.71657,0.80815
1988,Berlin,Not born in Germany,0.09817,101,333,0.06616,0.13018
1989,Schleswig-Holstein,Born in Germany or immigrated <1950,0.74724,263,303,0.69822,0.79625
1989,Schleswig-Holstein,Not born in Germany,0.03790,40,303,0.01637,0.05944
1989,Hamburg,Born in Germany or immigrated <1950,0.83050,146,196,0.77784,0.88317
1989,Hamburg,Not born in Germany,0.07356,50,196,0.03692,0.11020
1989,Lower Saxony,Born in Germany or immigrated <1950,0.79133,836,996,0.76608,0.81658
1989,Lower Saxony,Not born in Germany,0.06062,160,996,0.04579,0.07544
1989,Bremen,Born in Germany or immigrated <1950,0.78284,87,87,0.69570,0.86998
1989,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.74222,1940,2615,0.72545,0.75899
1989,North Rhine-Westphalia,Not born in Germany,0.08918,675,2615,0.07826,0.10011
1989,Hesse,Born in Germany or immigrated <1950,0.71187,635,996,0.68373,0.74001
1989,Hesse,Not born in Germany,0.12971,361,996,0.10883,0.15058
1989,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.81326,574,694,0.78424,0.84227
1989,"Rhineland-Palatinate, Saarland",Not born in Germany,0.05400,120,694,0.03717,0.07083
1989,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.69059,1114,1813,0.66931,0.71187
1989,Baden-Wuerttemberg,Not born in Germany,0.13133,699,1813,0.11577,0.14688
1989,Bavaria,Born in Germany or immigrated <1950,0.74825,1252,1614,0.72707,0.76943
1989,Bavaria,Not born in Germany,0.08492,362,1614,0.07132,0.09853
1989,Berlin,Born in Germany or immigrated <1950,0.76860,229,330,0.72303,0.81417
1989,Berlin,Not born in Germany,0.09487,101,330,0.06320,0.12653
1990,Schleswig-Holstein,Born in Germany or immigrated <1950,0.77154,250,283,0.72253,0.82054
1990,Schleswig-Holstein,Not born in Germany,0.04009,33,283,0.01719,0.06299
1990,Hamburg,Born in Germany or immigrated <1950,0.81134,125,167,0.75183,0.87086
1990,Hamburg,Not born in Germany,0.08099,42,167,0.03949,0.12249
1990,Lower Saxony,Born in Germany or immigrated <1950,0.79056,823,978,0.76504,0.81608
1990,Lower Saxony,Not born in Germany,0.06291,155,978,0.04769,0.07814
1990,Bremen,Born in Germany or immigrated <1950,0.77000,86,86,0.68054,0.85947
1990,North Rhine-Westphalia,Born in Germany or immigrated <1950,0.72777,1886,2557,0.71051,0.74502
1990,North Rhine-Westphalia,Not born in Germany,0.09386,671,2557,0.08255,0.10516
1990,Hesse,Born in Germany or immigrated <1950,0.71120,636,985,0.68288,0.73952
1990,Hesse,Not born in Germany,0.13258,349,985,0.11139,0.15377
1990,"Rhineland-Palatinate, Saarland",Born in Germany or immigrated <1950,0.79610,553,673,0.76564,0.82657
1990,"Rhineland-Palatinate, Saarland",Not born in Germany,0.06251,120,673,0.04421,0.08082
1990,Baden-Wuerttemberg,Born in Germany or immigrated <1950,0.67717,1107,1792,0.65552,0.69883
1990,Baden-Wuerttemberg,Not born in Germany,0.13669,685,1792,0.12078,0.15260
1990,Bavaria,Born in Germany or immigrated <1950,0.74622,1239,1599,0.72488,0.76755
1990,Bavaria,Not born in Germany,0.08923,360,1599,0.07525,0.10320
1990,Berlin,Born in Germany or immigrated <1950,0.73556,510,623,0.70090,0.77022
1990,Berlin,Not born in Germany,0.08432,113,623,0.06248,0.10616
1990,Brandenburg,Born in Germany or immigrated <1950,0.74860,709,709,0.71665,0.78056
