year,age_gr,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Born in Germany or immigrated <1950,0.90325,2441,3442,0.89338,0.91313
1984,17-29 y.,Not born in Germany,0.09675,1001,3442,0.08687,0.10662
1984,30-45 y.,Born in Germany or immigrated <1950,0.86578,2517,3906,0.85509,0.87647
1984,30-45 y.,Not born in Germany,0.13422,1389,3906,0.12353,0.14491
1984,46-65 y.,Born in Germany or immigrated <1950,0.90207,2608,3556,0.89230,0.91184
1984,46-65 y.,Not born in Germany,0.09793,948,3556,0.08816,0.10770
1984,66 and older,Born in Germany or immigrated <1950,0.97875,1232,1267,0.97080,0.98669
1984,66 and older,Not born in Germany,0.02125,35,1267,0.01331,0.02920
1985,17-29 y.,Born in Germany or immigrated <1950,0.91164,2315,3140,0.90171,0.92156
1985,17-29 y.,Not born in Germany,0.08836,825,3140,0.07844,0.09829
1985,30-45 y.,Born in Germany or immigrated <1950,0.86484,2294,3475,0.85347,0.87621
1985,30-45 y.,Not born in Germany,0.13516,1181,3475,0.12379,0.14653
1985,46-65 y.,Born in Germany or immigrated <1950,0.89908,2441,3304,0.88880,0.90935
1985,46-65 y.,Not born in Germany,0.10092,863,3304,0.09065,0.11120
1985,66 and older,Born in Germany or immigrated <1950,0.97204,1070,1107,0.96232,0.98176
1985,66 and older,Not born in Germany,0.02796,37,1107,0.01824,0.03768
1986,17-29 y.,Born in Germany or immigrated <1950,0.91128,2255,3056,0.90120,0.92137
1986,17-29 y.,Not born in Germany,0.08872,801,3056,0.07863,0.09880
1986,30-45 y.,Born in Germany or immigrated <1950,0.85969,2168,3270,0.84778,0.87159
1986,30-45 y.,Not born in Germany,0.14031,1102,3270,0.12841,0.15222
1986,46-65 y.,Born in Germany or immigrated <1950,0.89363,2354,3228,0.88299,0.90427
1986,46-65 y.,Not born in Germany,0.10637,874,3228,0.09573,0.11701
1986,66 and older,Born in Germany or immigrated <1950,0.95921,981,1031,0.94713,0.97129
1986,66 and older,Not born in Germany,0.04079,50,1031,0.02871,0.05287
1987,17-29 y.,Born in Germany or immigrated <1950,0.90764,2214,3011,0.89730,0.91798
1987,17-29 y.,Not born in Germany,0.09236,797,3011,0.08202,0.10270
1987,30-45 y.,Born in Germany or immigrated <1950,0.85730,2116,3168,0.84511,0.86948
1987,30-45 y.,Not born in Germany,0.14270,1052,3168,0.13052,0.15489
1987,46-65 y.,Born in Germany or immigrated <1950,0.88395,2298,3208,0.87287,0.89504
1987,46-65 y.,Not born in Germany,0.11605,910,3208,0.10496,0.12713
1987,66 and older,Born in Germany or immigrated <1950,0.95793,1012,1068,0.94589,0.96998
1987,66 and older,Not born in Germany,0.04207,56,1068,0.03002,0.05411
1988,17-29 y.,Born in Germany or immigrated <1950,0.90882,2104,2873,0.89829,0.91935
1988,17-29 y.,Not born in Germany,0.09118,769,2873,0.08065,0.10171
1988,30-45 y.,Born in Germany or immigrated <1950,0.86972,2019,2952,0.85757,0.88186
1988,30-45 y.,Not born in Germany,0.13028,933,2952,0.11814,0.14243
1988,46-65 y.,Born in Germany or immigrated <1950,0.88385,2207,3111,0.87258,0.89511
1988,46-65 y.,Not born in Germany,0.11615,904,3111,0.10489,0.12742
1988,66 and older,Born in Germany or immigrated <1950,0.95374,973,1036,0.94094,0.96653
1988,66 and older,Not born in Germany,0.04626,63,1036,0.03347,0.05906
1989,17-29 y.,Born in Germany or immigrated <1950,0.90272,2090,2829,0.89180,0.91364
1989,17-29 y.,Not born in Germany,0.09728,739,2829,0.08636,0.10820
1989,30-45 y.,Born in Germany or immigrated <1950,0.86761,1966,2842,0.85514,0.88007
1989,30-45 y.,Not born in Germany,0.13239,876,2842,0.11993,0.14486
1989,46-65 y.,Born in Germany or immigrated <1950,0.87400,2078,2982,0.86208,0.88591
1989,46-65 y.,Not born in Germany,0.12600,904,2982,0.11409,0.13792
1989,66 and older,Born in Germany or immigrated <1950,0.94517,942,1011,0.93114,0.95921
1989,66 and older,Not born in Germany,0.05483,69,1011,0.04079,0.06886
1990,17-29 y.,Born in Germany or immigrated <1950,0.91623,3157,3861,0.90749,0.92497
1990,17-29 y.,Not born in Germany,0.08377,704,3861,0.07503,0.09251
1990,30-45 y.,Born in Germany or immigrated <1950,0.88920,3431,4306,0.87982,0.89857
1990,30-45 y.,Not born in Germany,0.11080,875,4306,0.10143,0.12018
1990,46-65 y.,Born in Germany or immigrated <1950,0.87684,3271,4262,0.86698,0.88671
1990,46-65 y.,Not born in Germany,0.12316,991,4262,0.11329,0.13302
1990,66 and older,Born in Germany or immigrated <1950,0.94265,1357,1462,0.93073,0.95457
1990,66 and older,Not born in Germany,0.05735,105,1462,0.04543,0.06927
1991,17-29 y.,Born in Germany or immigrated <1950,0.91365,3031,3697,0.90460,0.92271
1991,17-29 y.,Not born in Germany,0.08635,666,3697,0.07729,0.09540
1991,30-45 y.,Born in Germany or immigrated <1950,0.88848,3479,4315,0.87908,0.89787
1991,30-45 y.,Not born in Germany,0.11152,836,4315,0.10213,0.12092
1991,46-65 y.,Born in Germany or immigrated <1950,0.86726,3131,4132,0.85691,0.87761
1991,46-65 y.,Not born in Germany,0.13274,1001,4132,0.12239,0.14309
1991,66 and older,Born in Germany or immigrated <1950,0.93245,1323,1444,0.91950,0.94540
1991,66 and older,Not born in Germany,0.06755,121,1444,0.05460,0.08050
