year,sex,germborn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Born in Germany or immigrated <1950,0.72976,4177,5956,0.71848,0.74104
1984,male,Not born in Germany,0.08297,1779,5956,0.07597,0.08998
1984,female,Born in Germany or immigrated <1950,0.76634,4621,6215,0.75582,0.77686
1984,female,Not born in Germany,0.07284,1594,6215,0.06637,0.07930
1985,male,Born in Germany or immigrated <1950,0.74319,3875,5414,0.73156,0.75483
1985,male,Not born in Germany,0.08411,1539,5414,0.07672,0.09151
1985,female,Born in Germany or immigrated <1950,0.77519,4245,5612,0.76427,0.78611
1985,female,Not born in Germany,0.07376,1367,5612,0.06692,0.08060
1986,male,Born in Germany or immigrated <1950,0.73940,3717,5232,0.72751,0.75130
1986,male,Not born in Germany,0.08930,1515,5232,0.08157,0.09703
1986,female,Born in Germany or immigrated <1950,0.76820,4041,5353,0.75689,0.77950
1986,female,Not born in Germany,0.07737,1312,5353,0.07022,0.08453
1987,male,Born in Germany or immigrated <1950,0.73111,3673,5175,0.71903,0.74320
1987,male,Not born in Germany,0.09265,1502,5175,0.08475,0.10055
1987,female,Born in Germany or immigrated <1950,0.76484,3967,5280,0.75340,0.77628
1987,female,Not born in Germany,0.08098,1313,5280,0.07362,0.08834
1988,male,Born in Germany or immigrated <1950,0.73607,3524,4932,0.72377,0.74837
1988,male,Not born in Germany,0.08936,1408,4932,0.08140,0.09732
1988,female,Born in Germany or immigrated <1950,0.76481,3779,5040,0.75310,0.77652
1988,female,Not born in Germany,0.07976,1261,5040,0.07228,0.08725
1989,male,Born in Germany or immigrated <1950,0.73256,3417,4762,0.71999,0.74514
1989,male,Not born in Germany,0.09374,1345,4762,0.08546,0.10202
1989,female,Born in Germany or immigrated <1950,0.75958,3659,4902,0.74762,0.77155
1989,female,Not born in Germany,0.08700,1243,4902,0.07911,0.09489
1990,male,Born in Germany or immigrated <1950,0.72733,5375,6771,0.71672,0.73793
1990,male,Not born in Germany,0.08531,1396,6771,0.07866,0.09197
1990,female,Born in Germany or immigrated <1950,0.75498,5841,7120,0.74499,0.76497
1990,female,Not born in Germany,0.07829,1279,7120,0.07205,0.08453
1991,male,Born in Germany or immigrated <1950,0.72208,5266,6632,0.71130,0.73286
1991,male,Not born in Germany,0.08970,1366,6632,0.08282,0.09657
1991,female,Born in Germany or immigrated <1950,0.75225,5698,6956,0.74211,0.76240
1991,female,Not born in Germany,0.08308,1258,6956,0.07660,0.08957
1992,male,Born in Germany or immigrated <1950,0.71896,5139,6463,0.70800,0.72992
1992,male,Not born in Germany,0.09455,1324,6463,0.08741,0.10168
1992,female,Born in Germany or immigrated <1950,0.74704,5626,6854,0.73674,0.75733
1992,female,Not born in Germany,0.08688,1228,6854,0.08021,0.09354
1993,male,Born in Germany or immigrated <1950,0.71417,5079,6365,0.70307,0.72527
1993,male,Not born in Germany,0.10040,1286,6365,0.09302,0.10779
1993,female,Born in Germany or immigrated <1950,0.74175,5547,6738,0.73130,0.75220
1993,female,Not born in Germany,0.09009,1191,6738,0.08326,0.09693
1994,male,Born in Germany or immigrated <1950,0.70849,5006,6215,0.69719,0.71979
1994,male,Not born in Germany,0.10243,1209,6215,0.09489,0.10997
1994,female,Born in Germany or immigrated <1950,0.73893,5510,6659,0.72838,0.74948
1994,female,Not born in Germany,0.09430,1149,6659,0.08728,0.10132
1995,male,Born in Germany or immigrated <1950,0.69016,5001,6410,0.67884,0.70148
1995,male,Not born in Germany,0.11995,1409,6410,0.11199,0.12790
1995,female,Born in Germany or immigrated <1950,0.72072,5504,6876,0.71012,0.73133
1995,female,Not born in Germany,0.11174,1372,6876,0.10429,0.11918
1996,male,Born in Germany or immigrated <1950,0.69236,4985,6293,0.68096,0.70376
1996,male,Not born in Germany,0.11845,1308,6293,0.11046,0.12643
1996,female,Born in Germany or immigrated <1950,0.72254,5465,6755,0.71187,0.73322
1996,female,Not born in Germany,0.11173,1290,6755,0.10421,0.11924
