year,age_gr,regtyp,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Urban regions,Often,0.02383,75,2298,0.01759,0.03006
2013,17-29 y.,Urban regions,Sometimes,0.07150,242,2298,0.06096,0.08203
2013,17-29 y.,Urban regions,Seldom,0.20857,647,2298,0.19195,0.22518
2013,17-29 y.,Urban regions,Never,0.42346,1334,2298,0.40325,0.44366
2013,17-29 y.,Rural regions,Often,0.02724,45,1229,0.01813,0.03634
2013,17-29 y.,Rural regions,Sometimes,0.09530,144,1229,0.07887,0.11172
2013,17-29 y.,Rural regions,Seldom,0.24496,373,1229,0.22091,0.26901
2013,17-29 y.,Rural regions,Never,0.42174,667,1229,0.39412,0.44936
2013,30-45 y.,Urban regions,Very often,0.00691,55,5126,0.00464,0.00918
2013,30-45 y.,Urban regions,Often,0.03252,192,5126,0.02766,0.03737
2013,30-45 y.,Urban regions,Sometimes,0.08440,527,5126,0.07679,0.09201
2013,30-45 y.,Urban regions,Seldom,0.21142,1315,5126,0.20025,0.22260
2013,30-45 y.,Urban regions,Never,0.47706,3037,5126,0.46338,0.49073
2013,30-45 y.,Rural regions,Very often,0.00759,33,2863,0.00441,0.01078
2013,30-45 y.,Rural regions,Often,0.03347,93,2863,0.02688,0.04006
2013,30-45 y.,Rural regions,Sometimes,0.08598,328,2863,0.07571,0.09625
2013,30-45 y.,Rural regions,Seldom,0.29392,861,2863,0.27723,0.31061
2013,30-45 y.,Rural regions,Never,0.46702,1548,2863,0.44874,0.48530
2013,46-65 y.,Urban regions,Very often,0.01259,66,5532,0.00965,0.01552
2013,46-65 y.,Urban regions,Often,0.03809,207,5532,0.03305,0.04314
2013,46-65 y.,Urban regions,Sometimes,0.09984,540,5532,0.09194,0.10774
2013,46-65 y.,Urban regions,Seldom,0.26161,1516,5532,0.25003,0.27319
2013,46-65 y.,Urban regions,Never,0.51673,3203,5532,0.50356,0.52990
2013,46-65 y.,Rural regions,Very often,0.01856,57,3429,0.01404,0.02307
2013,46-65 y.,Rural regions,Often,0.04627,146,3429,0.03924,0.05330
2013,46-65 y.,Rural regions,Sometimes,0.10084,347,3429,0.09076,0.11092
2013,46-65 y.,Rural regions,Seldom,0.28750,976,3429,0.27235,0.30265
2013,46-65 y.,Rural regions,Never,0.51001,1903,3429,0.49328,0.52675
2013,66 and older,Urban regions,Often,0.03618,93,3129,0.02964,0.04273
2013,66 and older,Urban regions,Sometimes,0.08859,260,3129,0.07863,0.09855
2013,66 and older,Urban regions,Seldom,0.26064,783,3129,0.24525,0.27602
2013,66 and older,Urban regions,Never,0.59145,1993,3129,0.57423,0.60868
2013,66 and older,Rural regions,Often,0.04478,66,1750,0.03508,0.05447
2013,66 and older,Rural regions,Sometimes,0.10711,166,1750,0.09262,0.12161
2013,66 and older,Rural regions,Seldom,0.26590,466,1750,0.24519,0.28660
2013,66 and older,Rural regions,Never,0.56299,1052,1750,0.53974,0.58623
2019,17-29 y.,Urban regions,Never,0.00096,43,43,-0.00840,0.01032
2020,17-29 y.,Urban regions,Often,0.00086,33,331,-0.00230,0.00403
2020,17-29 y.,Urban regions,Sometimes,0.00168,76,331,-0.00274,0.00611
2020,17-29 y.,Urban regions,Seldom,0.00209,92,331,-0.00284,0.00702
2020,17-29 y.,Urban regions,Never,0.00262,130,331,-0.00290,0.00814
2020,30-45 y.,Urban regions,Often,0.00048,33,385,-0.00171,0.00268
2020,30-45 y.,Urban regions,Sometimes,0.00122,96,385,-0.00227,0.00471
2020,30-45 y.,Urban regions,Seldom,0.00134,114,385,-0.00232,0.00500
2020,30-45 y.,Urban regions,Never,0.00246,142,385,-0.00249,0.00742
2020,46-65 y.,Urban regions,Never,0.00048,37,37,-0.00666,0.00762
2021,17-29 y.,Urban regions,Very often,0.02216,73,2396,0.01626,0.02805
2021,17-29 y.,Urban regions,Often,0.06949,211,2396,0.05931,0.07968
2021,17-29 y.,Urban regions,Sometimes,0.16644,458,2396,0.15153,0.18136
2021,17-29 y.,Urban regions,Seldom,0.28864,677,2396,0.27049,0.30679
2021,17-29 y.,Urban regions,Never,0.38920,977,2396,0.36967,0.40873
2021,17-29 y.,Rural regions,Very often,0.02499,33,881,0.01468,0.03531
2021,17-29 y.,Rural regions,Often,0.06887,66,881,0.05214,0.08560
