year,regtyp,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Urban regions,Very often,0.00734,171,16135,0.00603,0.00866
2013,Urban regions,Often,0.02857,567,16135,0.02600,0.03114
2013,Urban regions,Sometimes,0.07476,1569,16135,0.07070,0.07881
2013,Urban regions,Seldom,0.20271,4261,16135,0.19651,0.20892
2013,Urban regions,Never,0.43074,9567,16135,0.42310,0.43838
2013,Rural regions,Very often,0.01045,115,9296,0.00838,0.01252
2013,Rural regions,Often,0.03454,350,9296,0.03083,0.03825
2013,Rural regions,Sometimes,0.08455,985,9296,0.07889,0.09020
2013,Rural regions,Seldom,0.23840,2676,9296,0.22974,0.24706
2013,Rural regions,Never,0.42961,5170,9296,0.41955,0.43967
2019,Urban regions,Sometimes,0.00011,33,118,-0.00181,0.00203
2019,Urban regions,Never,0.00028,85,118,-0.00276,0.00332
2019,Rural regions,Never,0.00032,40,40,-0.00530,0.00594
2020,Urban regions,Very often,0.00011,32,872,-0.00059,0.00082
2020,Urban regions,Often,0.00029,84,872,-0.00084,0.00141
2020,Urban regions,Sometimes,0.00058,205,872,-0.00102,0.00218
2020,Urban regions,Seldom,0.00067,237,872,-0.00105,0.00238
2020,Urban regions,Never,0.00106,314,872,-0.00110,0.00321
2020,Rural regions,Sometimes,0.00061,36,74,-0.00504,0.00626
2020,Rural regions,Never,0.00062,38,74,-0.00509,0.00633
2021,Urban regions,Very often,0.01452,347,13259,0.01249,0.01656
2021,Urban regions,Often,0.04693,869,13259,0.04333,0.05053
2021,Urban regions,Sometimes,0.09767,1698,13259,0.09262,0.10273
2021,Urban regions,Seldom,0.24654,3539,13259,0.23921,0.25388
2021,Urban regions,Never,0.42198,6806,13259,0.41357,0.43038
2021,Rural regions,Very often,0.01461,139,6239,0.01163,0.01758
2021,Rural regions,Often,0.04715,384,6239,0.04189,0.05241
2021,Rural regions,Sometimes,0.10583,761,6239,0.09819,0.11346
2021,Rural regions,Seldom,0.27339,1826,6239,0.26233,0.28445
2021,Rural regions,Never,0.39364,3129,6239,0.38151,0.40576
