year,age_gr,plj0589,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,17-29 y.,Very often,0.00487,34,3561,0.00259,0.00716
2013,17-29 y.,Often,0.02489,120,3561,0.01977,0.03001
2013,17-29 y.,Sometimes,0.07892,386,3561,0.07007,0.08778
2013,17-29 y.,Seldom,0.21993,1020,3561,0.20632,0.23353
2013,17-29 y.,Never,0.42292,2001,3561,0.40669,0.43915
2013,30-45 y.,Very often,0.00711,88,7989,0.00527,0.00895
2013,30-45 y.,Often,0.03279,285,7989,0.02889,0.03670
2013,30-45 y.,Sometimes,0.08486,855,7989,0.07875,0.09097
2013,30-45 y.,Seldom,0.23544,2176,7989,0.22613,0.24474
2013,30-45 y.,Never,0.47414,4585,7989,0.46319,0.48509
2013,46-65 y.,Very often,0.01479,123,8961,0.01229,0.01729
2013,46-65 y.,Often,0.04111,353,8961,0.03699,0.04522
2013,46-65 y.,Sometimes,0.10021,887,8961,0.09399,0.10642
2013,46-65 y.,Seldom,0.27115,2492,8961,0.26195,0.28036
2013,46-65 y.,Never,0.51425,5106,8961,0.50390,0.52460
2013,66 and older,Very often,0.00880,41,4920,0.00619,0.01141
2013,66 and older,Often,0.03896,159,4920,0.03356,0.04437
2013,66 and older,Sometimes,0.09459,426,4920,0.08641,0.10276
2013,66 and older,Seldom,0.26234,1249,4920,0.25005,0.27463
2013,66 and older,Never,0.58224,3045,4920,0.56845,0.59602
2019,17-29 y.,Never,0.00098,57,57,-0.00721,0.00917
2019,30-45 y.,Never,0.00046,42,42,-0.00608,0.00699
2020,17-29 y.,Often,0.00069,35,372,-0.00198,0.00337
2020,17-29 y.,Sometimes,0.00186,90,372,-0.00252,0.00625
2020,17-29 y.,Seldom,0.00164,97,372,-0.00248,0.00575
2020,17-29 y.,Never,0.00271,150,372,-0.00258,0.00801
2020,30-45 y.,Often,0.00047,38,430,-0.00158,0.00251
2020,30-45 y.,Sometimes,0.00123,113,430,-0.00209,0.00454
2020,30-45 y.,Seldom,0.00108,122,430,-0.00203,0.00420
2020,30-45 y.,Never,0.00208,157,430,-0.00223,0.00639
2020,46-65 y.,Sometimes,0.00024,35,108,-0.00271,0.00319
2020,46-65 y.,Seldom,0.00021,33,108,-0.00254,0.00296
2020,46-65 y.,Never,0.00035,40,108,-0.00320,0.00390
2021,17-29 y.,Very often,0.02297,106,3277,0.01784,0.02809
2021,17-29 y.,Often,0.06932,277,3277,0.06062,0.07801
2021,17-29 y.,Sometimes,0.16338,624,3277,0.15072,0.17605
2021,17-29 y.,Seldom,0.30046,964,3277,0.28477,0.31616
2021,17-29 y.,Never,0.37858,1306,3277,0.36197,0.39519
2021,30-45 y.,Very often,0.02178,183,5329,0.01786,0.02570
2021,30-45 y.,Often,0.06450,433,5329,0.05791,0.07110
2021,30-45 y.,Sometimes,0.13308,810,5329,0.12396,0.14220
2021,30-45 y.,Seldom,0.31078,1399,5329,0.29835,0.32321
2021,30-45 y.,Never,0.46459,2504,5329,0.45120,0.47798
2021,46-65 y.,Very often,0.01630,157,7310,0.01340,0.01921
2021,46-65 y.,Often,0.05461,410,7310,0.04940,0.05982
2021,46-65 y.,Sometimes,0.10238,718,7310,0.09543,0.10933
2021,46-65 y.,Seldom,0.29888,1947,7310,0.28839,0.30938
2021,46-65 y.,Never,0.52436,4078,7310,0.51291,0.53581
2021,66 and older,Very often,0.01042,40,3583,0.00710,0.01375
2021,66 and older,Often,0.04001,133,3583,0.03360,0.04643
2021,66 and older,Sometimes,0.09979,307,3583,0.08998,0.10961
2021,66 and older,Seldom,0.30418,1056,3583,0.28911,0.31924
2021,66 and older,Never,0.54299,2047,3583,0.52668,0.55930
