"year","bildungsniveau","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1984","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(Fach-)Abitur","Westdeutschland","6.19","5.5","849","2","5","8","10","10","6","6.38","0","10","6","7"
"1984","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1984","(noch) kein Abschluss","Westdeutschland","5.98","5.5","1235","2","4","8","10","10","5.83","6.13","0","10","6","7"
"1984","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1984","AkademikerIn","Westdeutschland","7.31","7.5","787","4","6","9","10","10","7.15","7.47","0","10","8","8"
"1984","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Hauptschule","Westdeutschland","6.32","6.5","7174","3","5","8","10","10","6.26","6.38","0","10","6","7"
"1984","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1984","Realschule","Westdeutschland","6.89","6.5","1831","4","5","9","10","10","6.78","7","0","10","7","7"
"1985","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(Fach-)Abitur","Westdeutschland","6.28","6.5","773","3","5","8","10","10","6.1","6.46","0","10","6","7"
"1985","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1985","(noch) kein Abschluss","Westdeutschland","6.26","6.5","1033","2","5","8","10","10","6.1","6.42","0","10","6","7"
"1985","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1985","AkademikerIn","Westdeutschland","7.28","7.5","749","4","6","9","10","10","7.12","7.44","0","10","8","8"
"1985","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Hauptschule","Westdeutschland","6.34","6.5","6345","3","5","8","10","10","6.28","6.4","0","10","7","7"
"1985","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1985","Realschule","Westdeutschland","6.81","6.5","1773","4","5","8","10","10","6.7","6.92","0","10","7","7"
"1986","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(Fach-)Abitur","Westdeutschland","6.39","6.5","799","3","5","8","10","10","6.21","6.57","0","10","6","7"
"1986","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1986","(noch) kein Abschluss","Westdeutschland","6.24","5.5","994","3","5","8","10","10","6.08","6.4","0","10","6","6"
"1986","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1986","AkademikerIn","Westdeutschland","7.28","7.5","746","5","6","9","10","10","7.13","7.43","0","10","8","8"
"1986","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Hauptschule","Westdeutschland","6.41","6.5","6031","3","5","8","10","10","6.35","6.47","0","10","7","7"
"1986","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
"1986","Realschule","Westdeutschland","6.86","6.5","1742","4","5","8","10","10","6.76","6.96","0","10","7","7"
"1987","(Fach-)Abitur","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(Fach-)Abitur","Westdeutschland","6.51","6.5","772","3","5","8","9","10","6.34","6.68","0","10","7","7"
"1987","(noch) kein Abschluss","Ostdeutschland","","","","","","","","","","","","","",""
"1987","(noch) kein Abschluss","Westdeutschland","6.22","6.5","971","3","5","8","9","10","6.07","6.37","0","10","6","7"
"1987","AkademikerIn","Ostdeutschland","","","","","","","","","","","","","",""
"1987","AkademikerIn","Westdeutschland","7.14","7.5","740","4","6","9","10","10","6.98","7.3","0","10","8","8"
"1987","Hauptschule","Ostdeutschland","","","","","","","","","","","","","",""
"1987","Hauptschule","Westdeutschland","6.45","6.5","5964","3","5","8","9","10","6.39","6.51","0","10","7","7"
"1987","Realschule","Ostdeutschland","","","","","","","","","","","","","",""
