"year","alter_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 J.","männlich","6.05","5.5","2176","5.94","6.16"
"1984","16-34 J.","weiblich","6.18","6.5","2252","6.07","6.29"
"1984","35-65 J.","männlich","6.46","6.5","3172","6.37","6.55"
"1984","35-65 J.","weiblich","6.68","6.5","3103","6.59","6.77"
"1984","66 und älter","männlich","7.02","6.5","502","6.81","7.23"
"1984","66 und älter","weiblich","6.77","6.5","757","6.58","6.96"
"1985","16-34 J.","männlich","6.19","6.5","2008","6.08","6.3"
"1985","16-34 J.","weiblich","6.32","6.5","1991","6.21","6.43"
"1985","35-65 J.","männlich","6.45","6.5","2861","6.36","6.54"
"1985","35-65 J.","weiblich","6.53","6.5","2852","6.44","6.62"
"1985","66 und älter","männlich","7.13","6.5","439","6.91","7.35"
"1985","66 und älter","weiblich","6.83","6.5","657","6.65","7.01"
"1986","16-34 J.","männlich","6.24","6.5","2029","6.14","6.34"
"1986","16-34 J.","weiblich","6.34","6.5","1952","6.23","6.45"
"1986","35-65 J.","männlich","6.57","6.5","2723","6.48","6.66"
"1986","35-65 J.","weiblich","6.57","6.5","2719","6.48","6.66"
"1986","66 und älter","männlich","7.26","7.5","417","7.05","7.47"
"1986","66 und älter","weiblich","6.93","6.5","606","6.75","7.11"
"1987","16-34 J.","männlich","6.24","6.5","2023","6.14","6.34"
"1987","16-34 J.","weiblich","6.36","6.5","1914","6.26","6.46"
"1987","35-65 J.","männlich","6.52","6.5","2666","6.44","6.6"
"1987","35-65 J.","weiblich","6.55","6.5","2670","6.46","6.64"
"1987","66 und älter","männlich","7.38","7.5","423","7.19","7.57"
"1987","66 und älter","weiblich","7","6.5","642","6.82","7.18"
"1988","16-34 J.","männlich","6.27","6.5","1926","6.17","6.37"
"1988","16-34 J.","weiblich","6.41","6.5","1824","6.3","6.52"
"1988","35-65 J.","männlich","6.52","6.5","2537","6.43","6.61"
"1988","35-65 J.","weiblich","6.57","6.5","2534","6.48","6.66"
"1988","66 und älter","männlich","7.2","7.5","415","6.99","7.41"
"1988","66 und älter","weiblich","6.93","6.5","618","6.75","7.11"
"1989","16-34 J.","männlich","6.37","6.5","1890","6.27","6.47"
"1989","16-34 J.","weiblich","6.42","6.5","1793","6.31","6.53"
"1989","35-65 J.","männlich","6.57","6.5","2429","6.48","6.66"
"1989","35-65 J.","weiblich","6.59","6.5","2434","6.5","6.68"
"1989","66 und älter","männlich","7.46","7.5","393","7.27","7.65"
