"year","age_gr","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1984","17-34","Westdeutschland","6.12","5.5","4428","2","5","8","10","10","6.04","6.2","0","10","6","7"
"1984","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1984","35-65","Westdeutschland","6.57","6.5","6275","3","5","8","10","10","6.51","6.63","0","10","7","7"
"1984","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1984","66 +","Westdeutschland","6.86","6.5","1259","3","5","9","10","10","6.72","7","0","10","7","7"
"1985","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1985","17-34","Westdeutschland","6.25","6.5","3999","3","5","8","9","10","6.17","6.33","0","10","7","7"
"1985","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1985","35-65","Westdeutschland","6.49","6.5","5713","3","5","8","10","10","6.43","6.55","0","10","7","7"
"1985","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1985","66 +","Westdeutschland","6.94","6.5","1096","4","5","9","10","10","6.8","7.08","0","10","7","7"
"1986","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1986","17-34","Westdeutschland","6.29","6.5","3981","3","5","8","9","10","6.22","6.36","0","10","7","7"
"1986","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1986","35-65","Westdeutschland","6.57","6.5","5442","3","5","8","10","10","6.51","6.63","0","10","7","7"
"1986","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1986","66 +","Westdeutschland","7.05","6.5","1023","4","5","9","10","10","6.91","7.19","0","10","7","8"
"1987","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1987","17-34","Westdeutschland","6.3","6.5","3937","3","5","8","9","10","6.23","6.37","0","10","7","7"
"1987","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1987","35-65","Westdeutschland","6.54","6.5","5336","3","5","8","9","10","6.48","6.6","0","10","7","7"
"1987","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1987","66 +","Westdeutschland","7.13","6.5","1065","4","6","9","10","10","7","7.26","0","10","7","8"
"1988","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1988","17-34","Westdeutschland","6.34","6.5","3750","3","5","8","9","10","6.27","6.41","0","10","7","7"
"1988","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1988","35-65","Westdeutschland","6.54","6.5","5071","4","5","8","9","10","6.48","6.6","0","10","7","7"
"1988","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1988","66 +","Westdeutschland","7.03","6.5","1033","4","5","9","10","10","6.89","7.17","0","10","7","8"
"1989","17-34","Ostdeutschland","","","","","","","","","","","","","",""
"1989","17-34","Westdeutschland","6.4","6.5","3683","3","5","8","9","10","6.33","6.47","0","10","7","7"
"1989","35-65","Ostdeutschland","","","","","","","","","","","","","",""
"1989","35-65","Westdeutschland","6.58","6.5","4863","4","5","8","9","10","6.52","6.64","0","10","7","7"
"1989","66 +","Ostdeutschland","","","","","","","","","","","","","",""
"1989","66 +","Westdeutschland","7.09","6.5","1007","4","5","9","10","10","6.95","7.23","0","10","7","8"
"1990","17-34","Ostdeutschland","5.3","4.5","1645","2","4","7","8","10","5.18","5.42","0","10","5","5"
"1990","17-34","Westdeutschland","6.41","6.5","3581","3","5","8","9","10","6.34","6.48","0","10","7","7"
"1990","35-65","Ostdeutschland","5.75","5.5","2297","3","5","8","9","10","5.65","5.85","0","10","5","6"
"1990","35-65","Westdeutschland","6.69","6.5","4755","4","5","8","9","10","6.63","6.75","0","10","7","7"
"1990","66 +","Ostdeutschland","5.21","4.5","415","1","3","7","9","10","4.95","5.47","0","10","5","5"
"1990","66 +","Westdeutschland","7.24","7.5","1034","5","6","9","10","10","7.11","7.37","0","10","7","8"
"1991","17-34","Ostdeutschland","4.58","4.5","1485","1","3","6","8","10","4.46","4.7","0","10","5","5"
"1991","17-34","Westdeutschland","6.64","6.5","3561","4","5","8","9","10","6.57","6.71","0","10","7","7"
"1991","35-65","Ostdeutschland","4.66","4.5","2226","1","3","6","8","10","4.56","4.76","0","10","5","5"
"1991","35-65","Westdeutschland","6.89","6.5","4738","4","6","8","9","10","6.83","6.95","0","10","7","7"
"1991","66 +","Ostdeutschland","5.35","4.5","391","2","4","7","8","10","5.12","5.58","0","10","5","5"
"1991","66 +","Westdeutschland","7.38","7.5","1048","5","6","9","10","10","7.26","7.5","0","10","8","8"
"1992","17-34","Ostdeutschland","4.85","4.5","1360","2","3","6","8","10","4.73","4.97","0","10","5","5"
"1992","17-34","Westdeutschland","6.54","6.5","3513","4","5","8","9","10","6.47","6.61","0","10","7","7"
"1992","35-65","Ostdeutschland","4.79","4.5","2183","2","3","6","7","10","4.7","4.88","0","10","5","5"
"1992","35-65","Westdeutschland","6.74","6.5","4682","4","5","8","9","10","6.68","6.8","0","10","7","7"
"1992","66 +","Ostdeutschland","5.32","4.5","385","3","4","7","8","10","5.11","5.53","0","10","5","5"
"1992","66 +","Westdeutschland","7","6.5","1054","4","6","8","10","10","6.87","7.13","0","10","7","8"
"1993","17-34","Ostdeutschland","5.21","4.5","1257","2","4","7","8","10","5.08","5.34","0","10","5","5"
"1993","17-34","Westdeutschland","6.26","6.5","3387","3","5","8","9","10","6.19","6.33","0","10","6","7"
"1993","35-65","Ostdeutschland","5.26","4.5","2092","2","4","7","8","10","5.16","5.36","0","10","5","5"
"1993","35-65","Westdeutschland","6.63","6.5","4582","4","5","8","9","10","6.57","6.69","0","10","7","7"
