syear,age_gr,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,17-29 J.,1. Quintil,5.983886935352616,5.925772398099099,6.042001472606133,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0,1960.0
1984,17-29 J.,2. Quintil,6.1290628170573695,6.058459459167327,6.199666174947412,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1312.0
1984,30-45 J.,1. Quintil,6.514480983788673,6.466255099616347,6.562706867960999,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2454.0
1984,30-45 J.,2. Quintil,6.508460236648165,6.445679447356419,6.571241025939912,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1443.0
1984,46-65 J.,1. Quintil,6.620737661407043,6.571243721736975,6.670231601077111,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,2527.0
1984,46-65 J.,2. Quintil,6.34782659624105,6.272371052353572,6.423282140128528,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1007.0
1984,66 und älter,1. Quintil,6.893322941967045,6.823671552338226,6.9629743315958645,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,1179.0
1984,66 und älter,2. Quintil,6.116207815500741,5.831627844422643,6.400787786578839,5.0,6.0,8.0,0.5,10.0,6.0,4.0,7.0,80.0
1985,17-29 J.,1. Quintil,6.034114166570918,5.975640138293957,6.092588194847878,5.0,6.0,8.0,0.5,10.0,6.0,5.974999999999994,6.0,1717.0
1985,17-29 J.,2. Quintil,6.429077946203707,6.360936837341583,6.49721905506583,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1259.0
1985,30-45 J.,1. Quintil,6.629639463815684,6.5814874908091845,6.677791436822183,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2196.0
1985,30-45 J.,2. Quintil,6.4476370148953235,6.383242912450152,6.512031117340495,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,1262.0
1985,46-65 J.,1. Quintil,6.474121641263682,6.424551472181114,6.523691810346251,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2308.0
1985,46-65 J.,2. Quintil,6.248719251024212,6.17761139975368,6.319827102294745,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,970.0
1985,66 und älter,1. Quintil,6.941693728264789,6.87099619372766,7.012391262801918,5.0,7.0,9.0,0.0,10.0,7.0,7.0,7.0,1022.0
1985,66 und älter,2. Quintil,6.78804413565554,6.538186006525989,7.0379022647850915,5.0,7.0,8.049522062769503,0.4257169058457455,10.0,7.0,6.0,8.0,74.0
1986,17-29 J.,1. Quintil,6.16088285788275,6.105440836265744,6.216324879499755,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1696.0
1986,17-29 J.,2. Quintil,6.258497184839092,6.192076957136564,6.32491741254162,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0,1261.0
