year,sampreg,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,Westdeutschland,maennlich,6.384949142074041,6.352612875781903,6.41728540836618,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5737.0
1984,Westdeutschland,weiblich,6.5520655513232215,6.519864768454586,6.584266334191857,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5990.0
1985,Westdeutschland,maennlich,6.442320652403218,6.410330963845692,6.474310340960744,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5185.0
1985,Westdeutschland,weiblich,6.522230088461909,6.489987280066703,6.554472896857115,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5402.0
1986,Westdeutschland,maennlich,6.54471659365367,6.514180567163272,6.575252620144068,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5040.0
1986,Westdeutschland,weiblich,6.581715667046312,6.55029476702518,6.6131365670674445,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5172.0
1987,Westdeutschland,maennlich,6.5374960778076945,6.507126742517272,6.567865413098117,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5009.0
1987,Westdeutschland,weiblich,6.59258065534956,6.561871286557382,6.623290024141738,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5112.0
1988,Westdeutschland,maennlich,6.522935739362148,6.491825585769707,6.554045892954589,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4775.0
1988,Westdeutschland,weiblich,6.59037020440517,6.559096033215333,6.621644375595007,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4888.0
1989,Westdeutschland,maennlich,6.622864757537568,6.5923557241955555,6.65337379087958,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4634.0
1989,Westdeutschland,weiblich,6.604219739674006,6.572990959737621,6.635448519610391,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4756.0
1990,Westdeutschland,-1,,,,,,,,,,,,
1990,Westdeutschland,maennlich,6.690299881702683,6.660410571027674,6.720189192377692,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4540.0
1990,Westdeutschland,weiblich,6.707591698079597,6.676773374123753,6.73841002203544,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4676.0
1990,Ostdeutschland,maennlich,5.574476446980607,5.523343619113741,5.625609274847473,4.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,2048.0
1990,Ostdeutschland,weiblich,5.448481654112657,5.3980807078480755,5.498882600377238,4.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,2252.0
1991,Westdeutschland,maennlich,6.860653744320967,6.8313980545554145,6.889909434086519,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,4522.0
1991,Westdeutschland,weiblich,6.932909570980731,6.903178885458205,6.962640256503256,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4687.0
1991,Ostdeutschland,maennlich,4.730654372833333,4.679754395775331,4.781554349891334,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0,1942.0
1991,Ostdeutschland,weiblich,4.733875859720425,4.6843596504125555,4.783392069028294,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0,2114.0
1992,Westdeutschland,maennlich,6.726537479011312,6.696766853309005,6.756308104713619,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4460.0
1992,Westdeutschland,weiblich,6.71789416456507,6.688285014381457,6.747503314748683,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4660.0
1992,Ostdeutschland,maennlich,4.8608389560108405,4.814302226165376,4.907375685856305,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0,1838.0
1992,Ostdeutschland,weiblich,4.917277298803608,4.871997337372984,4.962557260234232,3.0,5.0,6.0,0.0,10.0,5.0,5.0,5.0,2029.0
1993,Westdeutschland,maennlich,6.563940997067932,6.532545238826485,6.595336755309379,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4359.0
1993,Westdeutschland,weiblich,6.625965107508505,6.5939522360138305,6.65797797900318,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4554.0
1993,Ostdeutschland,maennlich,5.313451752805135,5.261651571268013,5.365251934342258,4.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1749.0
1993,Ostdeutschland,weiblich,5.34331270451456,5.292807593813907,5.393817815215212,4.0,5.0,7.0,0.0,10.0,5.0,5.0,5.0,1935.0
1994,Westdeutschland,maennlich,6.391450061868233,6.358804739021535,6.424095384714931,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4277.0
1994,Westdeutschland,weiblich,6.447429065455974,6.4144377754778565,6.480420355434091,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4510.0
1994,Ostdeutschland,maennlich,5.327606710188073,5.27579508337192,5.379418337004227,4.0,5.0,7.0,0.0,10.0,5.0,4.0,5.0,1744.0
1994,Ostdeutschland,weiblich,5.526564315931602,5.47347753281457,5.579651099048634,4.0,6.0,7.0,0.0,10.0,6.0,6.0,7.0,1904.0
