"year","bildungsniveau","migback","mean","median","n","lower_confidence","upper_confidence"
"1984","(Fach-)Abitur","direkter Migrationshintergrund","5.4","4.5","270","5.07","5.73"
"1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1984","(Fach-)Abitur","kein Migrationshintergrund","6.31","6.5","573","6.08","6.54"
"1984","(noch) kein Abschluss","direkter Migrationshintergrund","5.89","5.5","1032","5.72","6.06"
"1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1984","(noch) kein Abschluss","kein Migrationshintergrund","6.03","5.5","191","5.62","6.44"
"1984","AkademikerIn","direkter Migrationshintergrund","6.42","6.5","119","5.96","6.88"
"1984","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1984","AkademikerIn","kein Migrationshintergrund","7.41","7.5","665","7.24","7.58"
"1984","Hauptschule","direkter Migrationshintergrund","6.26","6.5","1705","6.14","6.38"
"1984","Hauptschule","indirekter Migrationshintergrund","5.59","4.5","72","5","6.18"
"1984","Hauptschule","kein Migrationshintergrund","6.33","6.5","5397","6.26","6.4"
"1984","Realschule","direkter Migrationshintergrund","6.46","6.5","138","6","6.92"
"1984","Realschule","indirekter Migrationshintergrund","","","","",""
"1984","Realschule","kein Migrationshintergrund","6.91","6.5","1667","6.79","7.03"
"1985","(Fach-)Abitur","direkter Migrationshintergrund","5.58","4.5","228","5.23","5.93"
"1985","(Fach-)Abitur","indirekter Migrationshintergrund","","","","",""
"1985","(Fach-)Abitur","kein Migrationshintergrund","6.37","6.5","541","6.15","6.59"
"1985","(noch) kein Abschluss","direkter Migrationshintergrund","5.96","5.5","831","5.79","6.13"
"1985","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","",""
"1985","(noch) kein Abschluss","kein Migrationshintergrund","6.48","6.5","187","6.09","6.87"
"1985","AkademikerIn","direkter Migrationshintergrund","6.58","6.5","108","6.12","7.04"
"1985","AkademikerIn","indirekter Migrationshintergrund","","","","",""
"1985","AkademikerIn","kein Migrationshintergrund","7.37","7.5","637","7.2","7.54"
"1985","Hauptschule","direkter Migrationshintergrund","6.22","6.5","1476","6.1","6.34"
"1985","Hauptschule","indirekter Migrationshintergrund","6.83","6.5","79","6.29","7.37"
"1985","Hauptschule","kein Migrationshintergrund","6.35","6.5","4790","6.28","6.42"
"1985","Realschule","direkter Migrationshintergrund","6.31","6.5","136","5.85","6.77"
"1985","Realschule","indirekter Migrationshintergrund","5.9","4.5","30","4.87","6.93"
"1985","Realschule","kein Migrationshintergrund","6.85","6.5","1607","6.74","6.96"
