year,pgisced97,quintil_oecd,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Pre-primary Level,1st Quintile,No,0.19389,31,31,0.05242,0.33536
2011,Pre-primary Level,3rd Quintile,No,0.43772,39,39,0.27999,0.59546
2011,Pre-primary Level,4th Quintile,No,0.61227,71,71,0.49813,0.72641
2011,Pre-primary Level,5th Quintile,No,0.60214,55,55,0.47159,0.73269
2011,Primary Level,1st Quintile,No,0.49181,46,46,0.34574,0.63788
2011,Lower Secondary Level,1st Quintile,Yes,0.20332,112,473,0.16701,0.23963
2011,Lower Secondary Level,1st Quintile,No,0.59754,361,473,0.55330,0.64179
2011,Lower Secondary Level,2nd Quintile,Yes,0.22730,86,371,0.18459,0.27000
2011,Lower Secondary Level,2nd Quintile,No,0.66964,285,371,0.62172,0.71757
2011,Lower Secondary Level,3rd Quintile,Yes,0.21330,72,309,0.16755,0.25904
2011,Lower Secondary Level,3rd Quintile,No,0.72447,237,309,0.67457,0.77437
2011,Lower Secondary Level,4th Quintile,Yes,0.25156,42,185,0.18886,0.31425
2011,Lower Secondary Level,4th Quintile,No,0.68956,143,185,0.62271,0.75641
2011,Lower Secondary Level,5th Quintile,No,0.81038,83,83,0.72553,0.89522
2011,Upper Secondary Level,1st Quintile,Yes,0.20421,311,1428,0.18329,0.22513
2011,Upper Secondary Level,1st Quintile,No,0.64289,1117,1428,0.61803,0.66775
2011,Upper Secondary Level,2nd Quintile,Yes,0.18105,289,1586,0.16209,0.20001
2011,Upper Secondary Level,2nd Quintile,No,0.70406,1297,1586,0.68159,0.72654
2011,Upper Secondary Level,3rd Quintile,Yes,0.18045,335,1735,0.16234,0.19855
2011,Upper Secondary Level,3rd Quintile,No,0.75788,1400,1735,0.73771,0.77804
2011,Upper Secondary Level,4th Quintile,Yes,0.18234,297,1642,0.16366,0.20103
2011,Upper Secondary Level,4th Quintile,No,0.77585,1345,1642,0.75567,0.79603
2011,Upper Secondary Level,5th Quintile,Yes,0.18054,235,1427,0.16057,0.20050
2011,Upper Secondary Level,5th Quintile,No,0.79989,1192,1427,0.77912,0.82065
2011,Post-secondary Non-tertiary Level,1st Quintile,No,0.58173,82,82,0.47430,0.68915
2011,Post-secondary Non-tertiary Level,2nd Quintile,No,0.63539,112,112,0.54585,0.72494
2011,Post-secondary Non-tertiary Level,3rd Quintile,No,0.66641,155,155,0.59195,0.74088
2011,Post-secondary Non-tertiary Level,4th Quintile,No,0.76553,194,194,0.70576,0.82531
2011,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.17703,45,267,0.13116,0.22290
2011,Post-secondary Non-tertiary Level,5th Quintile,No,0.76883,222,267,0.71817,0.81950
2011,First Stage of Tertiary Education,1st Quintile,No,0.57498,81,81,0.46665,0.68331
2011,First Stage of Tertiary Education,2nd Quintile,Yes,0.22802,48,203,0.17016,0.28588
2011,First Stage of Tertiary Education,2nd Quintile,No,0.69570,155,203,0.63225,0.75915
2011,First Stage of Tertiary Education,3rd Quintile,Yes,0.21209,42,230,0.15914,0.26503
2011,First Stage of Tertiary Education,3rd Quintile,No,0.70561,188,230,0.64658,0.76464
2011,First Stage of Tertiary Education,4th Quintile,Yes,0.16086,61,318,0.12041,0.20130
2011,First Stage of Tertiary Education,4th Quintile,No,0.79297,257,318,0.74837,0.83758
2011,First Stage of Tertiary Education,5th Quintile,Yes,0.16810,61,315,0.12674,0.20946
2011,First Stage of Tertiary Education,5th Quintile,No,0.80706,254,315,0.76342,0.85071
2011,Second Stage of Tertiary Education,1st Quintile,No,0.71939,178,178,0.65320,0.78558
2011,Second Stage of Tertiary Education,2nd Quintile,Yes,0.14284,56,327,0.10486,0.18083
2011,Second Stage of Tertiary Education,2nd Quintile,No,0.75600,271,327,0.70938,0.80262
2011,Second Stage of Tertiary Education,3rd Quintile,Yes,0.18688,96,489,0.15230,0.22147
2011,Second Stage of Tertiary Education,3rd Quintile,No,0.68673,393,489,0.64557,0.72788
2011,Second Stage of Tertiary Education,4th Quintile,Yes,0.10893,94,800,0.08733,0.13054
2011,Second Stage of Tertiary Education,4th Quintile,No,0.79310,706,800,0.76501,0.82119
2011,Second Stage of Tertiary Education,5th Quintile,Yes,0.11179,225,1878,0.09754,0.12605
2011,Second Stage of Tertiary Education,5th Quintile,No,0.82167,1653,1878,0.80435,0.83898
2013,Pre-primary Level,1st Quintile,No,0.28701,50,50,0.16035,0.41368
2013,Pre-primary Level,2nd Quintile,No,0.30584,48,48,0.17411,0.43757
2013,Pre-primary Level,3rd Quintile,No,0.43663,42,42,0.28482,0.58845
2013,Pre-primary Level,4th Quintile,No,0.59978,60,60,0.47476,0.72480
2013,Pre-primary Level,5th Quintile,No,0.48228,55,55,0.34901,0.61556
2013,Primary Level,1st Quintile,No,0.59599,94,94,0.49625,0.69572
2013,Lower Secondary Level,1st Quintile,Yes,0.24217,153,613,0.20823,0.27611
2013,Lower Secondary Level,1st Quintile,No,0.60152,460,613,0.56273,0.64031
2013,Lower Secondary Level,2nd Quintile,Yes,0.22676,134,519,0.19070,0.26282
2013,Lower Secondary Level,2nd Quintile,No,0.67889,385,519,0.63868,0.71910
2013,Lower Secondary Level,3rd Quintile,Yes,0.17637,70,347,0.13621,0.21653
2013,Lower Secondary Level,3rd Quintile,No,0.75511,277,347,0.70980,0.80042
2013,Lower Secondary Level,4th Quintile,Yes,0.19121,46,242,0.14156,0.24086
2013,Lower Secondary Level,4th Quintile,No,0.75841,196,242,0.70437,0.81245
2013,Lower Secondary Level,5th Quintile,No,0.80756,110,110,0.73355,0.88156
2013,Upper Secondary Level,1st Quintile,Yes,0.21425,377,1700,0.19474,0.23376
2013,Upper Secondary Level,1st Quintile,No,0.65853,1323,1700,0.63598,0.68108
2013,Upper Secondary Level,2nd Quintile,Yes,0.18176,388,1990,0.16482,0.19871
2013,Upper Secondary Level,2nd Quintile,No,0.71594,1602,1990,0.69612,0.73575
2013,Upper Secondary Level,3rd Quintile,Yes,0.19880,422,2045,0.18150,0.21610
2013,Upper Secondary Level,3rd Quintile,No,0.74343,1623,2045,0.72449,0.76236
2013,Upper Secondary Level,4th Quintile,Yes,0.19436,401,2028,0.17713,0.21159
2013,Upper Secondary Level,4th Quintile,No,0.77164,1627,2028,0.75336,0.78991
2013,Upper Secondary Level,5th Quintile,Yes,0.17375,272,1642,0.15541,0.19208
2013,Upper Secondary Level,5th Quintile,No,0.80422,1370,1642,0.78502,0.82342
2013,Post-secondary Non-tertiary Level,1st Quintile,No,0.67550,118,118,0.59066,0.76033
2013,Post-secondary Non-tertiary Level,2nd Quintile,No,0.70468,153,153,0.63215,0.77720
2013,Post-secondary Non-tertiary Level,3rd Quintile,No,0.76823,194,194,0.70870,0.82776
2013,Post-secondary Non-tertiary Level,4th Quintile,Yes,0.18902,45,235,0.13885,0.23919
2013,Post-secondary Non-tertiary Level,4th Quintile,No,0.72129,190,235,0.66384,0.77873
2013,Post-secondary Non-tertiary Level,5th Quintile,Yes,0.14548,38,326,0.10715,0.18381
2013,Post-secondary Non-tertiary Level,5th Quintile,No,0.80804,288,326,0.76522,0.85086
2013,First Stage of Tertiary Education,1st Quintile,No,0.60283,79,79,0.49424,0.71143
2013,First Stage of Tertiary Education,2nd Quintile,Yes,0.20916,46,211,0.15415,0.26417
2013,First Stage of Tertiary Education,2nd Quintile,No,0.71604,165,211,0.65505,0.77703
2013,First Stage of Tertiary Education,3rd Quintile,Yes,0.23224,72,288,0.18339,0.28109
2013,First Stage of Tertiary Education,3rd Quintile,No,0.67718,216,288,0.62309,0.73128
2013,First Stage of Tertiary Education,4th Quintile,Yes,0.13762,50,338,0.10084,0.17440
2013,First Stage of Tertiary Education,4th Quintile,No,0.80935,288,338,0.76741,0.85129
2013,First Stage of Tertiary Education,5th Quintile,Yes,0.16410,68,379,0.12676,0.20143
2013,First Stage of Tertiary Education,5th Quintile,No,0.80494,311,379,0.76499,0.84488
2013,Second Stage of Tertiary Education,1st Quintile,Yes,0.10741,41,269,0.07034,0.14449
2013,Second Stage of Tertiary Education,1st Quintile,No,0.80387,228,269,0.75633,0.85141
2013,Second Stage of Tertiary Education,2nd Quintile,Yes,0.13263,73,430,0.10054,0.16473
2013,Second Stage of Tertiary Education,2nd Quintile,No,0.78001,357,430,0.74081,0.81921
2013,Second Stage of Tertiary Education,3rd Quintile,Yes,0.13778,91,589,0.10992,0.16564
2013,Second Stage of Tertiary Education,3rd Quintile,No,0.76622,498,589,0.73201,0.80043
2013,Second Stage of Tertiary Education,4th Quintile,Yes,0.14161,134,965,0.11960,0.16362
2013,Second Stage of Tertiary Education,4th Quintile,No,0.77521,831,965,0.74885,0.80156
2013,Second Stage of Tertiary Education,5th Quintile,Yes,0.11762,274,2213,0.10420,0.13105
2013,Second Stage of Tertiary Education,5th Quintile,No,0.83101,1939,2213,0.81539,0.84663
2015,Pre-primary Level,1st Quintile,No,0.51437,102,102,0.41689,0.61184
2015,Pre-primary Level,2nd Quintile,No,0.46274,75,75,0.34913,0.57634
2015,Pre-primary Level,3rd Quintile,No,0.49615,59,59,0.36748,0.62483
2015,Pre-primary Level,4th Quintile,No,0.46389,50,50,0.32425,0.60352
2015,Pre-primary Level,5th Quintile,No,0.57383,52,52,0.43810,0.70955
