year,sampreg,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,Yes,0.18265,2770,15840,0.17664,0.18867
2011,West,No,0.81735,13070,15840,0.81133,0.82336
2011,East,Yes,0.19019,871,4905,0.17921,0.20118
2011,East,No,0.80981,4034,4905,0.79882,0.82079
2013,West,Yes,0.19052,2595,14414,0.18411,0.19693
2013,West,No,0.80948,11819,14414,0.80307,0.81589
2013,East,Yes,0.19127,792,4452,0.17971,0.20282
2013,East,No,0.80873,3660,4452,0.79718,0.82029
2015,West,Yes,0.17782,3188,19787,0.17250,0.18315
2015,West,No,0.82218,16599,19787,0.81685,0.82750
2015,East,Yes,0.18590,917,5253,0.17538,0.19643
2015,East,No,0.81410,4336,5253,0.80357,0.82462
2017,West,Yes,0.16476,3143,20959,0.15974,0.16978
2017,West,No,0.83524,17816,20959,0.83022,0.84026
2017,East,Yes,0.17688,933,5590,0.16687,0.18688
2017,East,No,0.82312,4657,5590,0.81312,0.83313
2019,Does not apply,No,0.85612,63,63,0.76876,0.94349
2019,West,Yes,0.16622,3051,20104,0.16108,0.17137
2019,West,No,0.83378,17053,20104,0.82863,0.83892
2019,East,Yes,0.17830,900,5546,0.16823,0.18838
2019,East,No,0.82170,4646,5546,0.81162,0.83177
2021,West,Yes,0.19127,2574,15317,0.18504,0.19750
2021,West,No,0.80873,12743,15317,0.80250,0.81496
2021,East,Yes,0.19431,688,3847,0.18180,0.20681
2021,East,No,0.80569,3159,3847,0.79319,0.81820
