year,age_gr,regtyp,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Urban regions,Yes,0.03004,67,2012,0.02258,0.03750
2011,17-29 y.,Urban regions,No,0.96996,1945,2012,0.96250,0.97742
2011,17-29 y.,Rural regions,Yes,0.05726,45,982,0.04272,0.07180
2011,17-29 y.,Rural regions,No,0.94274,937,982,0.92820,0.95728
2011,30-45 y.,Urban regions,Yes,0.10981,345,3197,0.09897,0.12065
2011,30-45 y.,Urban regions,No,0.89019,2852,3197,0.87935,0.90103
2011,30-45 y.,Rural regions,Yes,0.10654,184,1659,0.09169,0.12140
2011,30-45 y.,Rural regions,No,0.89346,1475,1659,0.87860,0.90831
2011,46-65 y.,Urban regions,Yes,0.22456,1011,4871,0.21284,0.23628
2011,46-65 y.,Urban regions,No,0.77544,3860,4871,0.76372,0.78716
2011,46-65 y.,Rural regions,Yes,0.21866,629,2903,0.20362,0.23370
2011,46-65 y.,Rural regions,No,0.78134,2274,2903,0.76630,0.79638
2011,66 and older,Urban regions,Yes,0.28353,864,3312,0.26818,0.29888
2011,66 and older,Urban regions,No,0.71647,2448,3312,0.70112,0.73182
2011,66 and older,Rural regions,Yes,0.28293,496,1809,0.26217,0.30369
2011,66 and older,Rural regions,No,0.71707,1313,1809,0.69631,0.73783
2013,17-29 y.,Urban regions,Yes,0.03664,69,1720,0.02776,0.04552
2013,17-29 y.,Urban regions,No,0.96336,1651,1720,0.95448,0.97224
2013,17-29 y.,Rural regions,No,0.96006,786,786,0.94636,0.97376
2013,30-45 y.,Urban regions,Yes,0.10910,299,2673,0.09728,0.12092
2013,30-45 y.,Urban regions,No,0.89090,2374,2673,0.87908,0.90272
2013,30-45 y.,Rural regions,Yes,0.11975,154,1400,0.10274,0.13676
2013,30-45 y.,Rural regions,No,0.88025,1246,1400,0.86324,0.89726
2013,46-65 y.,Urban regions,Yes,0.22336,929,4500,0.21119,0.23553
2013,46-65 y.,Urban regions,No,0.77664,3571,4500,0.76447,0.78881
2013,46-65 y.,Rural regions,Yes,0.22472,611,2819,0.20931,0.24014
2013,46-65 y.,Rural regions,No,0.77528,2208,2819,0.75986,0.79069
2013,66 and older,Urban regions,Yes,0.28075,842,3181,0.26513,0.29637
2013,66 and older,Urban regions,No,0.71925,2339,3181,0.70363,0.73487
2013,66 and older,Rural regions,Yes,0.26670,453,1757,0.24601,0.28738
2013,66 and older,Rural regions,No,0.73330,1304,1757,0.71262,0.75399
2015,17-29 y.,Urban regions,Yes,0.03563,109,2644,0.02856,0.04269
2015,17-29 y.,Urban regions,No,0.96437,2535,2644,0.95731,0.97144
2015,17-29 y.,Rural regions,Yes,0.03677,52,1279,0.02646,0.04709
2015,17-29 y.,Rural regions,No,0.96323,1227,1279,0.95291,0.97354
2015,30-45 y.,Urban regions,Yes,0.09849,519,4825,0.09008,0.10690
2015,30-45 y.,Urban regions,No,0.90151,4306,4825,0.89310,0.90992
2015,30-45 y.,Rural regions,Yes,0.12120,284,2531,0.10849,0.13392
2015,30-45 y.,Rural regions,No,0.87880,2247,2531,0.86608,0.89151
2015,46-65 y.,Urban regions,Yes,0.21854,1132,5642,0.20776,0.22933
2015,46-65 y.,Urban regions,No,0.78146,4510,5642,0.77067,0.79224
2015,46-65 y.,Rural regions,Yes,0.21531,682,3235,0.20115,0.22948
2015,46-65 y.,Rural regions,No,0.78469,2553,3235,0.77052,0.79885
2015,66 and older,Urban regions,Yes,0.28069,838,3089,0.26484,0.29654
2015,66 and older,Urban regions,No,0.71931,2251,3089,0.70346,0.73516
2015,66 and older,Rural regions,Yes,0.27919,489,1795,0.25843,0.29995
2015,66 and older,Rural regions,No,0.72081,1306,1795,0.70005,0.74157
2017,17-29 y.,Urban regions,Yes,0.02948,106,2945,0.02337,0.03560
2017,17-29 y.,Urban regions,No,0.97052,2839,2945,0.96440,0.97663
2017,17-29 y.,Rural regions,Yes,0.03817,61,1414,0.02818,0.04817
2017,17-29 y.,Rural regions,No,0.96183,1353,1414,0.95183,0.97182
2017,30-45 y.,Urban regions,Yes,0.08448,471,4842,0.07665,0.09232
