year,sampreg,sex,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,West,male,Yes,0.15953,1187,7459,0.15122,0.16784
2011,West,male,No,0.84047,6272,7459,0.83216,0.84878
2011,West,female,Yes,0.20454,1583,8381,0.19590,0.21317
2011,West,female,No,0.79546,6798,8381,0.78683,0.80410
2011,East,male,Yes,0.16073,368,2330,0.14581,0.17565
2011,East,male,No,0.83927,1962,2330,0.82435,0.85419
2011,East,female,Yes,0.21979,503,2575,0.20379,0.23579
2011,East,female,No,0.78021,2072,2575,0.76421,0.79621
2013,West,male,Yes,0.17398,1115,6731,0.16492,0.18304
2013,West,male,No,0.82602,5616,6731,0.81696,0.83508
2013,West,female,Yes,0.20607,1480,7683,0.19702,0.21511
2013,West,female,No,0.79393,6203,7683,0.78489,0.80298
2013,East,male,Yes,0.16442,339,2103,0.14858,0.18027
2013,East,male,No,0.83558,1764,2103,0.81973,0.85142
2013,East,female,Yes,0.21798,453,2349,0.20128,0.23468
2013,East,female,No,0.78202,1896,2349,0.76532,0.79872
2015,West,male,Yes,0.15687,1350,9061,0.14939,0.16436
2015,West,male,No,0.84313,7711,9061,0.83564,0.85061
2015,West,female,Yes,0.19769,1838,10726,0.19015,0.20522
2015,West,female,No,0.80231,8888,10726,0.79478,0.80985
2015,East,male,Yes,0.16129,376,2398,0.14656,0.17601
2015,East,male,No,0.83871,2022,2398,0.82399,0.85344
2015,East,female,Yes,0.20964,541,2855,0.19470,0.22457
2015,East,female,No,0.79036,2314,2855,0.77543,0.80530
2017,West,male,Yes,0.14928,1351,9685,0.14218,0.15637
2017,West,male,No,0.85072,8334,9685,0.84363,0.85782
2017,West,female,Yes,0.17960,1792,11274,0.17251,0.18668
2017,West,female,No,0.82040,9482,11274,0.81332,0.82749
2017,East,male,Yes,0.15534,395,2576,0.14135,0.16933
2017,East,male,No,0.84466,2181,2576,0.83067,0.85865
2017,East,female,Yes,0.19794,538,3014,0.18371,0.21217
2017,East,female,No,0.80206,2476,3014,0.78783,0.81629
2019,Does not apply,female,No,0.90036,32,32,0.79493,1.00580
2019,West,male,Yes,0.14851,1367,9601,0.14140,0.15563
2019,West,male,No,0.85149,8234,9601,0.84437,0.85860
2019,West,female,Yes,0.18333,1684,10501,0.17593,0.19073
2019,West,female,No,0.81667,8817,10501,0.80927,0.82407
2019,East,male,Yes,0.15658,383,2642,0.14272,0.17044
2019,East,male,No,0.84342,2259,2642,0.82956,0.85728
2019,East,female,Yes,0.19872,517,2903,0.18420,0.21324
2019,East,female,No,0.80128,2386,2903,0.78676,0.81580
2021,West,male,Yes,0.16660,1091,7449,0.15814,0.17506
2021,West,male,No,0.83340,6358,7449,0.82494,0.84186
2021,West,female,Yes,0.21524,1482,7863,0.20615,0.22432
2021,West,female,No,0.78476,6381,7863,0.77568,0.79385
2021,East,male,Yes,0.15953,293,1841,0.14279,0.17626
2021,East,male,No,0.84047,1548,1841,0.82374,0.85721
2021,East,female,Yes,0.22824,395,2004,0.20986,0.24662
2021,East,female,No,0.77176,1609,2004,0.75338,0.79014
