"ple0022","year","regtyp","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","2011","Staedtischer Raum","Westdeutschland","2002","0.1834477771127","0.176426077183795","0.190469477041606"
"Ja","2011","Staedtischer Raum","Ostdeutschland","277","0.171701270982626","0.153570643545901","0.189831898419352"
"Ja","2011","Laendlicher Raum","Westdeutschland","768","0.180998836260197","0.169311587333689","0.192686085186705"
"Ja","2011","Laendlicher Raum","Ostdeutschland","594","0.199340296495422","0.185590503738688","0.213090089252156"
"Nein","2011","Staedtischer Raum","Westdeutschland","9669","0.8165522228873","0.809530522958394","0.823573922816205"
"Nein","2011","Staedtischer Raum","Ostdeutschland","1385","0.828298729017374","0.810168101580648","0.846429356454099"
"Nein","2011","Laendlicher Raum","Westdeutschland","3401","0.819001163739803","0.807313914813295","0.830688412666311"
"Nein","2011","Laendlicher Raum","Ostdeutschland","2649","0.800659703504578","0.786909910747844","0.814409496261311"
"Ja","2012","Staedtischer Raum","Westdeutschland","","","",""
"Ja","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","2012","Laendlicher Raum","Westdeutschland","","","",""
"Ja","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","2012","Staedtischer Raum","Westdeutschland","","","",""
"Nein","2012","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","2012","Laendlicher Raum","Westdeutschland","","","",""
"Nein","2012","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","2013","Staedtischer Raum","Westdeutschland","1850","0.189177586307985","0.181692803190574","0.196662369425396"
"Ja","2013","Staedtischer Raum","Ostdeutschland","286","0.20088043773958","0.180678614678076","0.221082260801083"
"Ja","2013","Laendlicher Raum","Westdeutschland","745","0.196874724294561","0.184388669242536","0.209360779346587"
"Ja","2013","Laendlicher Raum","Ostdeutschland","506","0.18628184534133","0.172210913891199","0.200352776791462"
"Nein","2013","Staedtischer Raum","Westdeutschland","8668","0.810822413692015","0.803337630574604","0.818307196809426"
"Nein","2013","Staedtischer Raum","Ostdeutschland","1225","0.79911956226042","0.778917739198917","0.819321385321924"
"Nein","2013","Laendlicher Raum","Westdeutschland","3151","0.803125275705439","0.790639220653413","0.815611330757464"
"Nein","2013","Laendlicher Raum","Ostdeutschland","2435","0.81371815465867","0.799647223208538","0.827789086108801"
"Ja","2014","Staedtischer Raum","Westdeutschland","","","",""
"Ja","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","2014","Laendlicher Raum","Westdeutschland","","","",""
"Ja","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","2014","Staedtischer Raum","Westdeutschland","","","",""
"Nein","2014","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","2014","Laendlicher Raum","Westdeutschland","","","",""
"Nein","2014","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","2015","Staedtischer Raum","Westdeutschland","2268","0.175887222210447","0.169648663429397","0.182125780991496"
"Ja","2015","Staedtischer Raum","Ostdeutschland","326","0.18142423869175","0.163811198691304","0.199037278692195"
"Ja","2015","Laendlicher Raum","Westdeutschland","920","0.185115351610006","0.174832179657615","0.195398523562397"
"Ja","2015","Laendlicher Raum","Ostdeutschland","591","0.187226702645128","0.174141364784849","0.200312040505408"
"Nein","2015","Staedtischer Raum","Westdeutschland","12039","0.824112777789553","0.817874219008504","0.830351336570603"
"Nein","2015","Staedtischer Raum","Ostdeutschland","1513","0.81857576130825","0.800962721307805","0.836188801308695"
"Nein","2015","Laendlicher Raum","Westdeutschland","4560","0.814884648389994","0.804601476437603","0.825167820342385"
"Nein","2015","Laendlicher Raum","Ostdeutschland","2823","0.812773297354872","0.799687959494592","0.825858635215151"
"Ja","2016","Staedtischer Raum","Westdeutschland","","","",""
"Ja","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","2016","Laendlicher Raum","Westdeutschland","","","",""
"Ja","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","2016","Staedtischer Raum","Westdeutschland","","","",""
"Nein","2016","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","2016","Laendlicher Raum","Westdeutschland","","","",""
"Nein","2016","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","2017","Staedtischer Raum","Westdeutschland","2241","0.161803127025118","0.155942994193485","0.167663259856751"
"Ja","2017","Staedtischer Raum","Ostdeutschland","308","0.15921205599827","0.142968788939972","0.175455323056567"
"Ja","2017","Laendlicher Raum","Westdeutschland","902","0.174918024835007","0.165131023176424","0.184705026493589"
"Ja","2017","Laendlicher Raum","Ostdeutschland","625","0.185754183781214","0.173121814248111","0.198386553314318"
"Nein","2017","Staedtischer Raum","Westdeutschland","12930","0.838196872974882","0.832336740143249","0.844057005806515"
"Nein","2017","Staedtischer Raum","Ostdeutschland","1641","0.84078794400173","0.824544676943433","0.857031211060028"
"Nein","2017","Laendlicher Raum","Westdeutschland","4886","0.825081975164993","0.815294973506411","0.834868976823576"
"Nein","2017","Laendlicher Raum","Ostdeutschland","3016","0.814245816218786","0.801613446685682","0.826878185751889"
"Ja","2018","Staedtischer Raum","Westdeutschland","","","",""
"Ja","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Ja","2018","Laendlicher Raum","Westdeutschland","","","",""
"Ja","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Nein","2018","Staedtischer Raum","Westdeutschland","","","",""
"Nein","2018","Staedtischer Raum","Ostdeutschland","","","",""
"Nein","2018","Laendlicher Raum","Westdeutschland","","","",""
"Nein","2018","Laendlicher Raum","Ostdeutschland","","","",""
"Ja","2019","Staedtischer Raum","Westdeutschland","2168","0.164264630905543","0.158233060202","0.170296201609086"
"Ja","2019","Staedtischer Raum","Ostdeutschland","306","0.164666882745516","0.148021042344248","0.181312723146783"
"Ja","2019","Laendlicher Raum","Westdeutschland","825","0.174189674237851","0.163961449768526","0.184417898707175"
"Ja","2019","Laendlicher Raum","Ostdeutschland","581","0.182670813467314","0.17002943461219","0.195312192322439"
"Nein","2019","Staedtischer Raum","Westdeutschland","12328","0.835735369094457","0.829703798390914","0.841766939798"
"Nein","2019","Staedtischer Raum","Ostdeutschland","1601","0.835333117254484","0.818687276853217","0.851978957655752"
"Nein","2019","Laendlicher Raum","Westdeutschland","4457","0.825810325762149","0.815582101292825","0.836038550231474"
"Nein","2019","Laendlicher Raum","Ostdeutschland","3008","0.817329186532686","0.804687807677561","0.82997056538781"
