"ple0022","year","bildungsniveau","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","2011","(noch) kein Abschluss","Westdeutschland","76","0.190218831198442","0.155644317323619","0.224793345073266"
"Ja","2011","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2011","Hauptschule","Westdeutschland","1433","0.249261053709206","0.238264822873882","0.260257284544531"
"Ja","2011","Hauptschule","Ostdeutschland","312","0.265640484230102","0.240702803380128","0.290578165080075"
"Ja","2011","Realschule","Westdeutschland","578","0.16375472229594","0.151767681533529","0.175741763058352"
"Ja","2011","Realschule","Ostdeutschland","287","0.166547247837008","0.149588161589212","0.183506334084804"
"Ja","2011","(Fach-)Abitur","Westdeutschland","259","0.125956202889901","0.111540286271853","0.140372119507949"
"Ja","2011","(Fach-)Abitur","Ostdeutschland","42","0.123302565294433","0.0913212737714662","0.155283856817401"
"Ja","2011","AkademikerIn","Westdeutschland","399","0.12280655299625","0.11160831789188","0.13400478810062"
"Ja","2011","AkademikerIn","Ostdeutschland","216","0.178241165064577","0.157340199168237","0.199142130960917"
"Nein","2011","(noch) kein Abschluss","Westdeutschland","419","0.809781168801558","0.775206654926734","0.844355682676381"
"Nein","2011","(noch) kein Abschluss","Ostdeutschland","61","0.920294620240947","0.854953980457707","0.985635260024186"
"Nein","2011","Hauptschule","Westdeutschland","4512","0.750738946290794","0.739742715455469","0.761735177126118"
"Nein","2011","Hauptschule","Ostdeutschland","893","0.734359515769898","0.709421834919925","0.759297196619872"
"Nein","2011","Realschule","Westdeutschland","3083","0.83624527770406","0.824258236941648","0.848232318466471"
"Nein","2011","Realschule","Ostdeutschland","1567","0.833452752162992","0.816493665915196","0.850411838410788"
"Nein","2011","(Fach-)Abitur","Westdeutschland","1776","0.874043797110099","0.859627880492051","0.888459713728147"
"Nein","2011","(Fach-)Abitur","Ostdeutschland","364","0.876697434705567","0.844716143182599","0.908678726228534"
"Nein","2011","AkademikerIn","Westdeutschland","2901","0.87719344700375","0.86599521189938","0.88839168210812"
"Nein","2011","AkademikerIn","Ostdeutschland","1072","0.821758834935423","0.800857869039083","0.842659800831763"
"Ja","2012","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2012","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2012","Hauptschule","Westdeutschland","","","",""
"Ja","2012","Hauptschule","Ostdeutschland","","","",""
"Ja","2012","Realschule","Westdeutschland","","","",""
"Ja","2012","Realschule","Ostdeutschland","","","",""
"Ja","2012","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","2012","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","2012","AkademikerIn","Westdeutschland","","","",""
"Ja","2012","AkademikerIn","Ostdeutschland","","","",""
"Nein","2012","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","2012","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","2012","Hauptschule","Westdeutschland","","","",""
"Nein","2012","Hauptschule","Ostdeutschland","","","",""
"Nein","2012","Realschule","Westdeutschland","","","",""
"Nein","2012","Realschule","Ostdeutschland","","","",""
"Nein","2012","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","2012","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","2012","AkademikerIn","Westdeutschland","","","",""
"Nein","2012","AkademikerIn","Ostdeutschland","","","",""
"Ja","2013","(noch) kein Abschluss","Westdeutschland","60","0.197958524780862","0.159714324713586","0.236202724848137"
"Ja","2013","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2013","Hauptschule","Westdeutschland","1305","0.260874064380748","0.248870811322141","0.272877317439354"
"Ja","2013","Hauptschule","Ostdeutschland","256","0.246106112977369","0.22036909257251","0.271843133382228"
"Ja","2013","Realschule","Westdeutschland","550","0.171127408668493","0.158387213036987","0.1838676043"
"Ja","2013","Realschule","Ostdeutschland","289","0.180970809719306","0.162577495590237","0.199364123848376"
"Ja","2013","(Fach-)Abitur","Westdeutschland","234","0.132570047173018","0.117220789823415","0.147919304522621"
"Ja","2013","(Fach-)Abitur","Ostdeutschland","46","0.176623400781382","0.13608822937741","0.217158572185353"
"Ja","2013","AkademikerIn","Westdeutschland","421","0.131049160591654","0.119465281488945","0.142633039694363"
"Ja","2013","AkademikerIn","Ostdeutschland","192","0.161155973857978","0.14040501116546","0.181906936550496"
"Nein","2013","(noch) kein Abschluss","Westdeutschland","357","0.802041475219138","0.763797275151863","0.840285675286414"
"Nein","2013","(noch) kein Abschluss","Ostdeutschland","61","0.890154859195887","0.815280365606512","0.965029352785262"
"Nein","2013","Hauptschule","Westdeutschland","3836","0.739125935619252","0.727122682560646","0.751129188677859"
"Nein","2013","Hauptschule","Ostdeutschland","820","0.753893887022631","0.728156866617772","0.77963090742749"
"Nein","2013","Realschule","Westdeutschland","2807","0.828872591331507","0.8161323957","0.841612786963013"
"Nein","2013","Realschule","Ostdeutschland","1394","0.819029190280694","0.800635876151624","0.837422504409763"
"Nein","2013","(Fach-)Abitur","Westdeutschland","1641","0.867429952826982","0.852080695477379","0.882779210176586"
"Nein","2013","(Fach-)Abitur","Ostdeutschland","294","0.823376599218618","0.782841427814647","0.86391177062259"
"Nein","2013","AkademikerIn","Westdeutschland","2839","0.868950839408346","0.857366960305637","0.880534718511055"
"Nein","2013","AkademikerIn","Ostdeutschland","1014","0.838844026142022","0.818093063449503","0.85959498883454"
"Ja","2014","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","2014","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","2014","Hauptschule","Westdeutschland","","","",""
