year,quintil_oecd,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,Yes,0.23426,517,2493,0.21763,0.25089
2011,1st Quintile,No,0.76574,1976,2493,0.74911,0.78237
2011,2nd Quintile,Yes,0.20797,514,2727,0.19274,0.22321
2011,2nd Quintile,No,0.79203,2213,2727,0.77679,0.80726
2011,3rd Quintile,Yes,0.19895,581,3064,0.18481,0.21309
2011,3rd Quintile,No,0.80105,2483,3064,0.78691,0.81519
2011,4th Quintile,Yes,0.17209,528,3289,0.15919,0.18500
2011,4th Quintile,No,0.82791,2761,3289,0.81500,0.84081
2011,5th Quintile,Yes,0.15327,589,4089,0.14223,0.16431
2011,5th Quintile,No,0.84673,3500,4089,0.83569,0.85777
2013,1st Quintile,Yes,0.24296,656,3100,0.22786,0.25806
2013,1st Quintile,No,0.75704,2444,3100,0.74194,0.77214
2013,2nd Quintile,Yes,0.20031,674,3441,0.18693,0.21368
2013,2nd Quintile,No,0.79969,2767,3441,0.78632,0.81307
2013,3rd Quintile,Yes,0.19607,699,3604,0.18311,0.20904
2013,3rd Quintile,No,0.80393,2905,3604,0.79096,0.81689
2013,4th Quintile,Yes,0.18294,682,3917,0.17083,0.19505
2013,4th Quintile,No,0.81706,3235,3917,0.80495,0.82917
2013,5th Quintile,Yes,0.14859,675,4800,0.13853,0.15866
2013,5th Quintile,No,0.85141,4125,4800,0.84134,0.86147
2015,1st Quintile,Yes,0.22799,994,5082,0.21645,0.23952
2015,1st Quintile,No,0.77201,4088,5082,0.76048,0.78355
2015,2nd Quintile,Yes,0.19987,939,5249,0.18905,0.21069
2015,2nd Quintile,No,0.80013,4310,5249,0.78931,0.81095
2015,3rd Quintile,Yes,0.17477,783,4842,0.16408,0.18547
2015,3rd Quintile,No,0.82523,4059,4842,0.81453,0.83592
2015,4th Quintile,Yes,0.16293,732,4755,0.15243,0.17342
2015,4th Quintile,No,0.83707,4023,4755,0.82658,0.84757
2015,5th Quintile,Yes,0.13931,657,5108,0.12981,0.14880
2015,5th Quintile,No,0.86069,4451,5108,0.85120,0.87019
2017,1st Quintile,Yes,0.20894,811,4717,0.19733,0.22054
2017,1st Quintile,No,0.79106,3906,4717,0.77946,0.80267
2017,2nd Quintile,Yes,0.17619,757,4793,0.16541,0.18698
2017,2nd Quintile,No,0.82381,4036,4793,0.81302,0.83459
2017,3rd Quintile,Yes,0.18899,714,4414,0.17744,0.20054
2017,3rd Quintile,No,0.81101,3700,4414,0.79946,0.82256
2017,4th Quintile,Yes,0.13982,628,4358,0.12952,0.15011
2017,4th Quintile,No,0.86018,3730,4358,0.84989,0.87048
2017,5th Quintile,Yes,0.13277,577,4554,0.12291,0.14262
2017,5th Quintile,No,0.86723,3977,4554,0.85738,0.87709
2019,1st Quintile,Yes,0.21078,801,4445,0.19879,0.22278
2019,1st Quintile,No,0.78922,3644,4445,0.77722,0.80121
2019,2nd Quintile,Yes,0.18945,842,4769,0.17833,0.20057
2019,2nd Quintile,No,0.81055,3927,4769,0.79943,0.82167
2019,3rd Quintile,Yes,0.16997,679,4422,0.15889,0.18104
2019,3rd Quintile,No,0.83003,3743,4422,0.81896,0.84111
2019,4th Quintile,Yes,0.14250,643,4273,0.13201,0.15298
2019,4th Quintile,No,0.85750,3630,4273,0.84702,0.86799
2019,5th Quintile,Yes,0.13767,626,4818,0.12794,0.14740
2019,5th Quintile,No,0.86233,4192,4818,0.85260,0.87206
2021,1st Quintile,Yes,0.23850,864,4772,0.22641,0.25060
2021,1st Quintile,No,0.76150,3908,4772,0.74940,0.77359
2021,2nd Quintile,Yes,0.20026,672,3528,0.18705,0.21347
2021,2nd Quintile,No,0.79974,2856,3528,0.78653,0.81295
2021,3rd Quintile,Yes,0.19788,562,3124,0.18391,0.21186
2021,3rd Quintile,No,0.80212,2562,3124,0.78814,0.81609
2021,4th Quintile,Yes,0.17851,500,3182,0.16520,0.19182
2021,4th Quintile,No,0.82149,2682,3182,0.80818,0.83480
2021,5th Quintile,Yes,0.14948,619,4255,0.13877,0.16020
2021,5th Quintile,No,0.85052,3636,4255,0.83980,0.86123
