year,age_gr,sex,ple0022,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,male,Yes,0.02877,44,20745,0.02863,0.02892
2011,17-29 y.,male,No,0.97123,1419,20745,0.97108,0.97137
2011,17-29 y.,female,Yes,0.04921,68,20745,0.04901,0.04941
2011,17-29 y.,female,No,0.95079,1463,20745,0.95059,0.95099
2011,30-45 y.,male,Yes,0.10652,214,20745,0.10629,0.10675
2011,30-45 y.,male,No,0.89348,1979,20745,0.89325,0.89371
2011,30-45 y.,female,Yes,0.11085,315,20745,0.11061,0.11110
2011,30-45 y.,female,No,0.88915,2348,20745,0.88890,0.88939
2011,46-65 y.,male,Yes,0.20221,727,20745,0.20197,0.20245
2011,46-65 y.,male,No,0.79779,2948,20745,0.79755,0.79803
2011,46-65 y.,female,Yes,0.24302,913,20745,0.24277,0.24328
2011,46-65 y.,female,No,0.75698,3187,20745,0.75672,0.75723
2011,66 and older,male,Yes,0.24298,570,20745,0.24266,0.24330
2011,66 and older,male,No,0.75702,1888,20745,0.75670,0.75734
2011,66 and older,female,Yes,0.31432,790,20745,0.31402,0.31463
2011,66 and older,female,No,0.68568,1872,20745,0.68537,0.68598
2013,17-29 y.,male,Yes,0.02658,36,18866,0.02643,0.02674
2013,17-29 y.,male,No,0.97342,1196,18866,0.97326,0.97357
2013,17-29 y.,female,Yes,0.04952,63,18866,0.04931,0.04974
2013,17-29 y.,female,No,0.95048,1241,18866,0.95026,0.95069
2013,30-45 y.,male,Yes,0.10747,179,18866,0.10722,0.10772
2013,30-45 y.,male,No,0.89253,1638,18866,0.89228,0.89278
2013,30-45 y.,female,Yes,0.11757,274,18866,0.11730,0.11784
2013,30-45 y.,female,No,0.88243,1982,18866,0.88216,0.88270
2013,46-65 y.,male,Yes,0.22019,697,18866,0.21994,0.22044
2013,46-65 y.,male,No,0.77981,2700,18866,0.77956,0.78006
2013,46-65 y.,female,Yes,0.22865,843,18866,0.22840,0.22891
2013,46-65 y.,female,No,0.77135,3080,18866,0.77109,0.77160
2013,66 and older,male,Yes,0.23859,542,18866,0.23828,0.23890
2013,66 and older,male,No,0.76141,1846,18866,0.76110,0.76172
2013,66 and older,female,Yes,0.30598,753,18866,0.30568,0.30628
2013,66 and older,female,No,0.69402,1796,18866,0.69372,0.69432
2015,17-29 y.,male,Yes,0.02711,57,25040,0.02698,0.02725
