year,migback,sampreg,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,West,Yes,0.18947,2348,13165,0.18278,0.19617
2011,No migration background,West,No,0.81053,10817,13165,0.80383,0.81722
2011,No migration background,East,Yes,0.19052,850,4768,0.17938,0.20167
2011,No migration background,East,No,0.80948,3918,4768,0.79833,0.82062
2011,Direct migration background,West,Yes,0.18377,358,1921,0.16645,0.20110
2011,Direct migration background,West,No,0.81623,1563,1921,0.79890,0.83355
2011,Direct migration background,East,No,0.77866,77,77,0.68533,0.87200
2011,Indirect migration background,West,Yes,0.06172,64,754,0.04453,0.07891
2011,Indirect migration background,West,No,0.93828,690,754,0.92109,0.95547
2011,Indirect migration background,East,No,0.94644,39,39,0.87486,1.01803
2013,No migration background,West,Yes,0.19116,2212,12098,0.18415,0.19817
2013,No migration background,West,No,0.80884,9886,12098,0.80183,0.81585
2013,No migration background,East,Yes,0.19044,778,4323,0.17873,0.20215
2013,No migration background,East,No,0.80956,3545,4323,0.79785,0.82127
2013,Direct migration background,West,Yes,0.21911,329,1655,0.19918,0.23905
2013,Direct migration background,West,No,0.78089,1326,1655,0.76095,0.80082
2013,Direct migration background,East,No,0.78336,79,79,0.69193,0.87478
2013,Indirect migration background,West,Yes,0.08246,54,661,0.06147,0.10344
2013,Indirect migration background,West,No,0.91754,607,661,0.89656,0.93853
2013,Indirect migration background,East,No,0.74760,36,36,0.60368,0.89151
2015,No migration background,West,Yes,0.18492,2399,14178,0.17853,0.19131
2015,No migration background,West,No,0.81508,11779,14178,0.80869,0.82147
2015,No migration background,East,Yes,0.18681,860,4845,0.17584,0.19779
2015,No migration background,East,No,0.81319,3985,4845,0.80221,0.82416
2015,Direct migration background,West,Yes,0.17988,664,4157,0.16820,0.19156
2015,Direct migration background,West,No,0.82012,3493,4157,0.80844,0.83180
2015,Direct migration background,East,Yes,0.20037,50,316,0.15617,0.24457
2015,Direct migration background,East,No,0.79963,266,316,0.75543,0.84383
2015,Indirect migration background,West,Yes,0.07521,125,1452,0.06164,0.08878
2015,Indirect migration background,West,No,0.92479,1327,1452,0.91122,0.93836
2015,Indirect migration background,East,No,0.94534,85,85,0.89673,0.99395
2017,No migration background,West,Yes,0.17094,2359,15004,0.16492,0.17697
2017,No migration background,West,No,0.82906,12645,15004,0.82303,0.83508
2017,No migration background,East,Yes,0.18062,866,5107,0.17006,0.19117
2017,No migration background,East,No,0.81938,4241,5107,0.80883,0.82994
2017,Direct migration background,West,Yes,0.16653,644,4432,0.15556,0.17750
2017,Direct migration background,West,No,0.83347,3788,4432,0.82250,0.84444
2017,Direct migration background,East,Yes,0.14260,60,384,0.10758,0.17762
2017,Direct migration background,East,No,0.85740,324,384,0.82238,0.89242
2017,Indirect migration background,West,Yes,0.08563,140,1523,0.07157,0.09969
2017,Indirect migration background,West,No,0.91437,1383,1523,0.90031,0.92843
2017,Indirect migration background,East,No,0.95892,92,92,0.91814,0.99970
2019,No migration background,Does not apply,No,0.88655,58,58,0.80422,0.96888
2019,No migration background,West,Yes,0.17450,2365,14941,0.16841,0.18058
2019,No migration background,West,No,0.82550,12576,14941,0.81942,0.83159
2019,No migration background,East,Yes,0.18635,862,5115,0.17568,0.19702
2019,No migration background,East,No,0.81365,4253,5115,0.80298,0.82432
2019,Direct migration background,West,Yes,0.16121,553,3714,0.14938,0.17303
2019,Direct migration background,West,No,0.83879,3161,3714,0.82697,0.85062
2019,Direct migration background,East,No,0.94097,283,283,0.91347,0.96848
2019,Indirect migration background,West,Yes,0.08745,133,1449,0.07290,0.10200
2019,Indirect migration background,West,No,0.91255,1316,1449,0.89800,0.92710
2019,Indirect migration background,East,No,0.97121,110,110,0.93982,1.00260
2021,No migration background,West,Yes,0.19220,1764,9825,0.18440,0.19999
2021,No migration background,West,No,0.80780,8061,9825,0.80001,0.81560
2021,No migration background,East,Yes,0.20367,621,3229,0.18978,0.21756
2021,No migration background,East,No,0.79633,2608,3229,0.78244,0.81022
2021,Direct migration background,West,Yes,0.21481,706,4648,0.20301,0.22662
2021,Direct migration background,West,No,0.78519,3942,4648,0.77338,0.79699
2021,Direct migration background,East,Yes,0.08939,59,536,0.06522,0.11357
2021,Direct migration background,East,No,0.91061,477,536,0.88643,0.93478
2021,Indirect migration background,West,Yes,0.11282,104,844,0.09146,0.13417
2021,Indirect migration background,West,No,0.88718,740,844,0.86583,0.90854
2021,Indirect migration background,East,No,0.95061,74,74,0.90090,1.00031
