"ple0022","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2011","17-34","191","0.0440682336458558","0.0379142276763662","0.0502222396153455"
"Ja","2011","35-65","2090","0.193519898978277","0.18625230474614","0.200787493210414"
"Ja","2011","66 +","1360","0.283620512802939","0.271274944319126","0.295966081286752"
"Nein","2011","17-34","4082","0.955931766354144","0.949777760384654","0.962085772323634"
"Nein","2011","35-65","9261","0.806480101021723","0.799212506789586","0.81374769525386"
"Nein","2011","66 +","3761","0.716379487197061","0.704033918713248","0.728725055680874"
"Ja","2012","17-34","","","",""
"Ja","2012","35-65","","","",""
"Ja","2012","66 +","","","",""
"Nein","2012","17-34","","","",""
"Nein","2012","35-65","","","",""
"Nein","2012","66 +","","","",""
"Ja","2013","17-34","182","0.0483074233442723","0.0413798766900307","0.0552349699985138"
"Ja","2013","35-65","1910","0.200535286709804","0.192783111423169","0.208287461996439"
"Ja","2013","66 +","1295","0.276215479989708","0.263744482250714","0.288686477728702"
"Nein","2013","17-34","3498","0.951692576655728","0.944765030001486","0.958620123309969"
"Nein","2013","35-65","8338","0.799464713290196","0.791712538003561","0.807216888576831"
"Nein","2013","66 +","3643","0.723784520010292","0.711313522271298","0.736255517749286"
"Ja","2014","17-34","","","",""
"Ja","2014","35-65","","","",""
"Ja","2014","66 +","","","",""
"Nein","2014","17-34","","","",""
"Nein","2014","35-65","","","",""
"Nein","2014","66 +","","","",""
"Ja","2015","17-34","302","0.0519210660164939","0.0461769006322661","0.0576652314007217"
"Ja","2015","35-65","2476","0.185969663628192","0.179620280584194","0.192319046672189"
"Ja","2015","66 +","1327","0.279824337767087","0.267234439348544","0.29241423618563"
"Nein","2015","17-34","5429","0.948078933983506","0.942334768599278","0.953823099367734"
"Nein","2015","35-65","11949","0.814030336371808","0.807680953327811","0.820379719415806"
"Nein","2015","66 +","3557","0.720175662232913","0.70758576381437","0.732765560651456"
"Ja","2016","17-34","","","",""
"Ja","2016","35-65","","","",""
"Ja","2016","66 +","","","",""
"Nein","2016","17-34","","","",""
"Nein","2016","35-65","","","",""
"Nein","2016","66 +","","","",""
"Ja","2017","17-34","289","0.04316059103649","0.0380943956171362","0.0482267864558438"
"Ja","2017","35-65","2534","0.17806575051165","0.172025100246097","0.184106400777203"
"Ja","2017","66 +","1253","0.262929774776263","0.250678491795169","0.275181057757356"
"Nein","2017","17-34","5892","0.95683940896351","0.951773213544156","0.961905604382864"
"Nein","2017","35-65","12874","0.82193424948835","0.815893599222797","0.827974899753902"
"Nein","2017","66 +","3707","0.737070225223737","0.724818942242644","0.749321508204831"
"Ja","2018","17-34","","","",""
"Ja","2018","35-65","","","",""
"Ja","2018","66 +","","","",""
"Nein","2018","17-34","","","",""
"Nein","2018","35-65","","","",""
"Nein","2018","66 +","","","",""
"Ja","2019","17-34","251","0.0538676019554936","0.0478629484132879","0.0598722554976993"
"Ja","2019","35-65","2429","0.168862967493135","0.162900636382267","0.174825298604004"
"Ja","2019","66 +","1308","0.274393686649186","0.262302976578593","0.286484396719779"
"Nein","2019","17-34","5179","0.946132398044506","0.940127744502301","0.952137051586712"
"Nein","2019","35-65","12737","0.831137032506865","0.825174701395996","0.837099363617733"
"Nein","2019","66 +","3924","0.725606313350814","0.713515603280221","0.737697023421407"
