"ple0022","year","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","2011","Staedtischer Raum","2279","0.18233655448429","0.175782526147935","0.188890582820645"
"Ja","2011","Laendlicher Raum","1362","0.187735850852676","0.178845832941614","0.196625868763737"
"Nein","2011","Staedtischer Raum","11054","0.81766344551571","0.811109417179355","0.824217473852065"
"Nein","2011","Laendlicher Raum","6050","0.812264149147324","0.803374131236263","0.821154167058386"
"Ja","2012","Staedtischer Raum","","","",""
"Ja","2012","Laendlicher Raum","","","",""
"Nein","2012","Staedtischer Raum","","","",""
"Nein","2012","Laendlicher Raum","","","",""
"Ja","2013","Staedtischer Raum","2136","0.190315778892948","0.183300764524477","0.197330793261418"
"Ja","2013","Laendlicher Raum","1251","0.192913183878206","0.183560066556157","0.202266301200255"
"Nein","2013","Staedtischer Raum","9893","0.809684221107052","0.802669206738582","0.816699235475523"
"Nein","2013","Laendlicher Raum","5586","0.807086816121794","0.797733698799744","0.816439933443843"
"Ja","2014","Staedtischer Raum","","","",""
"Ja","2014","Laendlicher Raum","","","",""
"Nein","2014","Staedtischer Raum","","","",""
"Nein","2014","Laendlicher Raum","","","",""
"Ja","2015","Staedtischer Raum","2594","0.176411782936957","0.170532363092744","0.18229120278117"
"Ja","2015","Laendlicher Raum","1511","0.185858824577629","0.177774551380123","0.193943097775135"
"Nein","2015","Staedtischer Raum","13552","0.823588217063043","0.81770879721883","0.829467636907256"
"Nein","2015","Laendlicher Raum","7383","0.814141175422371","0.806056902224865","0.822225448619877"
"Ja","2016","Staedtischer Raum","","","",""
"Ja","2016","Laendlicher Raum","","","",""
"Nein","2016","Staedtischer Raum","","","",""
"Nein","2016","Laendlicher Raum","","","",""
"Ja","2017","Staedtischer Raum","2549","0.161564115427892","0.156050917386058","0.167077313469726"
"Ja","2017","Laendlicher Raum","1527","0.178676483420793","0.170944229626758","0.186408737214829"
"Nein","2017","Staedtischer Raum","14571","0.838435884572108","0.832922686530274","0.843949082613942"
"Nein","2017","Laendlicher Raum","7902","0.821323516579207","0.813591262785171","0.829055770373242"
"Ja","2018","Staedtischer Raum","","","",""
"Ja","2018","Laendlicher Raum","","","",""
"Nein","2018","Staedtischer Raum","","","",""
"Nein","2018","Laendlicher Raum","","","",""
"Ja","2019","Staedtischer Raum","2474","0.164300642190265","0.158630014774229","0.1699712696063"
"Ja","2019","Laendlicher Raum","1406","0.177161097817601","0.169215924217948","0.185106271417254"
"Nein","2019","Staedtischer Raum","13929","0.835699357809735","0.8300287303937","0.84136998522577"
"Nein","2019","Laendlicher Raum","7465","0.822838902182399","0.814893728582746","0.830784075782052"
