year,quintil_oecd,sampreg,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,1st Quintile,West,Yes,0.23819,360,1645,0.21760,0.25878
2011,1st Quintile,West,No,0.76181,1285,1645,0.74122,0.78240
2011,1st Quintile,East,Yes,0.22345,157,848,0.19540,0.25150
2011,1st Quintile,East,No,0.77655,691,848,0.74850,0.80460
2011,2nd Quintile,West,Yes,0.21352,330,1735,0.19423,0.23280
2011,2nd Quintile,West,No,0.78648,1405,1735,0.76720,0.80577
2011,2nd Quintile,East,Yes,0.19207,184,992,0.16754,0.21659
2011,2nd Quintile,East,No,0.80793,808,992,0.78341,0.83246
2011,3rd Quintile,West,Yes,0.19963,415,2214,0.18298,0.21629
2011,3rd Quintile,West,No,0.80037,1799,2214,0.78371,0.81702
2011,3rd Quintile,East,Yes,0.19639,166,850,0.16967,0.22311
2011,3rd Quintile,East,No,0.80361,684,850,0.77689,0.83033
2011,4th Quintile,West,Yes,0.17309,418,2590,0.15851,0.18766
2011,4th Quintile,West,No,0.82691,2172,2590,0.81234,0.84149
2011,4th Quintile,East,Yes,0.16711,110,699,0.13943,0.19478
2011,4th Quintile,East,No,0.83289,589,699,0.80522,0.86057
2011,5th Quintile,West,Yes,0.15370,524,3576,0.14188,0.16552
2011,5th Quintile,West,No,0.84630,3052,3576,0.83448,0.85812
2011,5th Quintile,East,Yes,0.14856,65,513,0.11776,0.17937
2011,5th Quintile,East,No,0.85144,448,513,0.82063,0.88224
2013,1st Quintile,West,Yes,0.25665,465,2079,0.23787,0.27543
2013,1st Quintile,West,No,0.74335,1614,2079,0.72457,0.76213
2013,1st Quintile,East,Yes,0.21027,191,1021,0.18526,0.23528
2013,1st Quintile,East,No,0.78973,830,1021,0.76472,0.81474
2013,2nd Quintile,West,Yes,0.19993,460,2324,0.18367,0.21620
2013,2nd Quintile,West,No,0.80007,1864,2324,0.78380,0.81633
2013,2nd Quintile,East,Yes,0.20146,214,1117,0.17793,0.22500
2013,2nd Quintile,East,No,0.79854,903,1117,0.77500,0.82207
2013,3rd Quintile,West,Yes,0.19612,520,2667,0.18105,0.21119
2013,3rd Quintile,West,No,0.80388,2147,2667,0.78881,0.81895
2013,3rd Quintile,East,Yes,0.19592,179,937,0.17049,0.22134
2013,3rd Quintile,East,No,0.80408,758,937,0.77866,0.82951
2013,4th Quintile,West,Yes,0.18512,559,3135,0.17152,0.19871
2013,4th Quintile,West,No,0.81488,2576,3135,0.80129,0.82848
2013,4th Quintile,East,Yes,0.17093,123,782,0.14452,0.19733
2013,4th Quintile,East,No,0.82907,659,782,0.80267,0.85548
2013,5th Quintile,West,Yes,0.14845,590,4205,0.13770,0.15919
2013,5th Quintile,West,No,0.85155,3615,4205,0.84081,0.86230
2013,5th Quintile,East,Yes,0.15002,85,595,0.12130,0.17873
2013,5th Quintile,East,No,0.84998,510,595,0.82127,0.87870
2015,1st Quintile,West,Yes,0.22797,742,3784,0.21460,0.24134
2015,1st Quintile,West,No,0.77203,3042,3784,0.75866,0.78540
2015,1st Quintile,East,Yes,0.22803,252,1298,0.20520,0.25087
2015,1st Quintile,East,No,0.77197,1046,1298,0.74913,0.79480
2015,2nd Quintile,West,Yes,0.19947,655,3767,0.18670,0.21223
2015,2nd Quintile,West,No,0.80053,3112,3767,0.78777,0.81330
2015,2nd Quintile,East,Yes,0.20109,284,1482,0.18067,0.22150
2015,2nd Quintile,East,No,0.79891,1198,1482,0.77850,0.81933
2015,3rd Quintile,West,Yes,0.17332,612,3795,0.16127,0.18536
2015,3rd Quintile,West,No,0.82668,3183,3795,0.81464,0.83873
2015,3rd Quintile,East,Yes,0.18097,171,1047,0.15764,0.20430
2015,3rd Quintile,East,No,0.81903,876,1047,0.79570,0.84236
2015,4th Quintile,West,Yes,0.16642,591,3936,0.15478,0.17806
2015,4th Quintile,West,No,0.83358,3345,3936,0.82194,0.84522
2015,4th Quintile,East,Yes,0.14229,141,819,0.11835,0.16623
2015,4th Quintile,East,No,0.85771,678,819,0.83377,0.88165
2015,5th Quintile,West,Yes,0.14040,588,4502,0.13026,0.15055
2015,5th Quintile,West,No,0.85960,3914,4502,0.84945,0.86974
2015,5th Quintile,East,Yes,0.12762,69,606,0.10103,0.15421
2015,5th Quintile,East,No,0.87238,537,606,0.84579,0.89897
2017,1st Quintile,West,Yes,0.21169,604,3502,0.19816,0.22522
2017,1st Quintile,West,No,0.78831,2898,3502,0.77478,0.80184
2017,1st Quintile,East,Yes,0.20015,207,1215,0.17764,0.22266
2017,1st Quintile,East,No,0.79985,1008,1215,0.77734,0.82236
2017,2nd Quintile,West,Yes,0.17372,539,3523,0.16120,0.18623
2017,2nd Quintile,West,No,0.82628,2984,3523,0.81377,0.83880
2017,2nd Quintile,East,Yes,0.18462,218,1270,0.16327,0.20597
2017,2nd Quintile,East,No,0.81538,1052,1270,0.79403,0.83673
2017,3rd Quintile,West,Yes,0.18604,522,3415,0.17298,0.19909
2017,3rd Quintile,West,No,0.81396,2893,3415,0.80091,0.82702
2017,3rd Quintile,East,Yes,0.20098,192,999,0.17612,0.22584
2017,3rd Quintile,East,No,0.79902,807,999,0.77416,0.82388
2017,4th Quintile,West,Yes,0.13864,521,3650,0.12742,0.14985
2017,4th Quintile,West,No,0.86136,3129,3650,0.85015,0.87258
2017,4th Quintile,East,Yes,0.14855,107,708,0.12233,0.17477
2017,4th Quintile,East,No,0.85145,601,708,0.82523,0.87767
2017,5th Quintile,West,Yes,0.13187,511,3985,0.12136,0.14238
2017,5th Quintile,West,No,0.86813,3474,3985,0.85762,0.87864
2017,5th Quintile,East,Yes,0.14215,66,569,0.11343,0.17087
2017,5th Quintile,East,No,0.85785,503,569,0.82913,0.88657
2019,1st Quintile,West,Yes,0.20746,576,3242,0.19350,0.22142
2019,1st Quintile,West,No,0.79254,2666,3242,0.77858,0.80650
