,Unnamed: 0,year,quintil_oecd,sex,ple0022,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,1st Quintile,male,Yes,0.20953,202,15662,0.1837,0.23335
1,1,2011,1st Quintile,male,No,0.79047,822,15662,0.73449,0.84949
2,2,2011,1st Quintile,female,Yes,0.2499,304,15662,0.22839,0.27326
3,3,2011,1st Quintile,female,No,0.7501,1134,15662,0.70583,0.79984
4,4,2011,2nd Quintile,male,Yes,0.19296,229,15662,0.1701,0.21858
5,5,2011,2nd Quintile,male,No,0.80704,1022,15662,0.75215,0.85839
6,6,2011,2nd Quintile,female,Yes,0.23442,313,15662,0.21376,0.25651
7,7,2011,2nd Quintile,female,No,0.76558,1198,15662,0.71958,0.80682
8,8,2011,3rd Quintile,male,Yes,0.16847,247,15662,0.15172,0.1866
9,9,2011,3rd Quintile,male,No,0.83153,1219,15662,0.79276,0.88273
10,10,2011,3rd Quintile,female,Yes,0.21063,310,15662,0.1923,0.22933
11,11,2011,3rd Quintile,female,No,0.78937,1294,15662,0.7493,0.83402
12,12,2011,4th Quintile,male,Yes,0.14396,232,15662,0.12691,0.15928
13,13,2011,4th Quintile,male,No,0.85604,1383,15662,0.80884,0.913
14,14,2011,4th Quintile,female,Yes,0.20486,293,15662,0.18785,0.22597
15,15,2011,4th Quintile,female,No,0.79514,1310,15662,0.74345,0.83632
16,16,2011,5th Quintile,male,Yes,0.13941,280,15662,0.12152,0.1565
17,17,2011,5th Quintile,male,No,0.86059,1804,15662,0.81704,0.90315
18,18,2011,5th Quintile,female,Yes,0.17335,319,15662,0.15334,0.19675
19,19,2011,5th Quintile,female,No,0.82665,1747,15662,0.78535,0.86824
20,20,2013,1st Quintile,male,Yes,0.20625,241,18862,0.1835,0.23517
21,21,2013,1st Quintile,male,No,0.79375,1038,18862,0.74305,0.84633
22,22,2013,1st Quintile,female,Yes,0.27506,427,18862,0.25584,0.29574
23,23,2013,1st Quintile,female,No,0.72494,1397,18862,0.68049,0.76697
24,24,2013,2nd Quintile,male,Yes,0.16829,260,18862,0.14965,0.18824
25,25,2013,2nd Quintile,male,No,0.83171,1286,18862,0.78859,0.87849
26,26,2013,2nd Quintile,female,Yes,0.2146,389,18862,0.19804,0.22866
27,27,2013,2nd Quintile,female,No,0.7854,1501,18862,0.74656,0.82849
28,28,2013,3rd Quintile,male,Yes,0.18552,305,18862,0.1677,0.20456
29,29,2013,3rd Quintile,male,No,0.81448,1386,18862,0.77378,0.85959
30,30,2013,3rd Quintile,female,Yes,0.20559,390,18862,0.19091,0.22577
31,31,2013,3rd Quintile,female,No,0.79441,1511,18862,0.75823,0.82716
32,32,2013,4th Quintile,male,Yes,0.17224,314,18862,0.15781,0.18749
33,33,2013,4th Quintile,male,No,0.82776,1594,18862,0.7898,0.87049
34,34,2013,4th Quintile,female,Yes,0.20745,379,18862,0.19028,0.2248
35,35,2013,4th Quintile,female,No,0.79255,1651,18862,0.75701,0.83129
36,36,2013,5th Quintile,male,Yes,0.14396,334,18862,0.12938,0.15978
37,37,2013,5th Quintile,male,No,0.85604,2074,18862,0.81388,0.88805
38,38,2013,5th Quintile,female,Yes,0.1514,347,18862,0.13751,0.16495
39,39,2013,5th Quintile,female,No,0.8486,2038,18862,0.81573,0.88331
40,40,2015,1st Quintile,male,Yes,0.21325,372,25036,0.1841,0.23848
41,41,2015,1st Quintile,male,No,0.78675,1701,25036,0.73546,0.83418
42,42,2015,1st Quintile,female,Yes,0.23763,599,25036,0.21234,0.25874
43,43,2015,1st Quintile,female,No,0.76237,2335,25036,0.72925,0.8006
44,44,2015,2nd Quintile,male,Yes,0.1716,382,25036,0.15516,0.19212
45,45,2015,2nd Quintile,male,No,0.8284,1912,25036,0.79304,0.86908
46,46,2015,2nd Quintile,female,Yes,0.22039,548,25036,0.20386,0.24088
47,47,2015,2nd Quintile,female,No,0.77961,2439,25036,0.74138,0.81906
48,48,2015,3rd Quintile,male,Yes,0.16383,354,25036,0.14913,0.18342
49,49,2015,3rd Quintile,male,No,0.83617,1907,25036,0.79366,0.8857
50,50,2015,3rd Quintile,female,Yes,0.19661,467,25036,0.1805,0.21465
51,51,2015,3rd Quintile,female,No,0.80339,2152,25036,0.7705,0.84728
52,52,2015,4th Quintile,male,Yes,0.12819,303,25036,0.11326,0.14577
53,53,2015,4th Quintile,male,No,0.87181,1974,25036,0.82934,0.91402
54,54,2015,4th Quintile,female,Yes,0.18864,422,25036,0.17138,0.20866
55,55,2015,4th Quintile,female,No,0.81136,2068,25036,0.77713,0.84898
56,56,2015,5th Quintile,male,Yes,0.12849,315,25036,0.11523,0.14417
57,57,2015,5th Quintile,male,No,0.87151,2237,25036,0.82987,0.91262
58,58,2015,5th Quintile,female,Yes,0.1557,343,25036,0.13813,0.17222
59,59,2015,5th Quintile,female,No,0.8443,2206,25036,0.80917,0.88851
60,60,2017,1st Quintile,male,Yes,0.19084,316,22836,0.16193,0.2181
61,61,2017,1st Quintile,male,No,0.80916,1608,22836,0.7606,0.86286
62,62,2017,1st Quintile,female,Yes,0.2167,482,22836,0.1962,0.23884
63,63,2017,1st Quintile,female,No,0.7833,2270,22836,0.74414,0.82731
64,64,2017,2nd Quintile,male,Yes,0.16471,315,22836,0.14413,0.18573
65,65,2017,2nd Quintile,male,No,0.83529,1829,22836,0.78566,0.88034
66,66,2017,2nd Quintile,female,Yes,0.19683,455,22836,0.17811,0.21842
67,67,2017,2nd Quintile,female,No,0.80317,2252,22836,0.76247,0.84142
68,68,2017,3rd Quintile,male,Yes,0.17612,313,22836,0.15516,0.20053
69,69,2017,3rd Quintile,male,No,0.82388,1699,22836,0.78096,0.86433
70,70,2017,3rd Quintile,female,Yes,0.1972,410,22836,0.17667,0.21475
71,71,2017,3rd Quintile,female,No,0.8028,1993,22836,0.75556,0.84365
72,72,2017,4th Quintile,male,Yes,0.12696,279,22836,0.10864,0.14108
73,73,2017,4th Quintile,male,No,0.87304,1801,22836,0.82693,0.91408
74,74,2017,4th Quintile,female,Yes,0.14986,338,22836,0.13414,0.16806
75,75,2017,4th Quintile,female,No,0.85014,1922,22836,0.80616,0.89343
76,76,2017,5th Quintile,male,Yes,0.10808,256,22836,0.09614,0.12147
77,77,2017,5th Quintile,male,No,0.89192,2021,22836,0.84484,0.92866
78,78,2017,5th Quintile,female,Yes,0.1625,323,22836,0.14282,0.17871
79,79,2017,5th Quintile,female,No,0.8375,1954,22836,0.80074,0.8822
80,80,2019,1st Quintile,male,Yes,0.16423,305,22726,0.14739,0.18476
81,81,2019,1st Quintile,male,No,0.83577,1553,22726,0.79219,0.893
82,82,2019,1st Quintile,female,Yes,0.24229,489,22726,0.21658,0.26538
83,83,2019,1st Quintile,female,No,0.75771,2051,22726,0.7225,0.80522
84,84,2019,2nd Quintile,male,Yes,0.18486,364,22726,0.16473,0.20509
85,85,2019,2nd Quintile,male,No,0.81514,1737,22726,0.76961,0.88344
86,86,2019,2nd Quintile,female,Yes,0.20221,483,22726,0.18483,0.21791
87,87,2019,2nd Quintile,female,No,0.79779,2179,22726,0.75375,0.83902
88,88,2019,3rd Quintile,male,Yes,0.14905,290,22726,0.12761,0.1693
89,89,2019,3rd Quintile,male,No,0.85095,1773,22726,0.8111,0.89319
90,90,2019,3rd Quintile,female,Yes,0.17316,398,22726,0.15372,0.19403
91,91,2019,3rd Quintile,female,No,0.82684,2048,22726,0.78599,0.87286
92,92,2019,4th Quintile,male,Yes,0.12796,294,22726,0.11232,0.14577
93,93,2019,4th Quintile,male,No,0.87204,1722,22726,0.82316,0.92059
94,94,2019,4th Quintile,female,Yes,0.17021,356,22726,0.15256,0.18991
95,95,2019,4th Quintile,female,No,0.82979,1898,22726,0.78628,0.87256
96,96,2019,5th Quintile,male,Yes,0.13193,279,22726,0.11731,0.14755
97,97,2019,5th Quintile,male,No,0.86807,2130,22726,0.82882,0.9123
98,98,2019,5th Quintile,female,Yes,0.144,333,22726,0.12982,0.15903
99,99,2019,5th Quintile,female,No,0.856,2044,22726,0.80801,0.89863
100,100,2021,1st Quintile,male,Yes,0.19254,339,18853,0.16619,0.23167
101,101,2021,1st Quintile,male,No,0.80746,1936,18853,0.75344,0.87053
102,102,2021,1st Quintile,female,Yes,0.27434,505,18853,0.24205,0.30434
103,103,2021,1st Quintile,female,No,0.72566,1933,18853,0.67378,0.77397
104,104,2021,2nd Quintile,male,Yes,0.16984,287,18853,0.14481,0.19911
105,105,2021,2nd Quintile,male,No,0.83016,1347,18853,0.77297,0.88741
106,106,2021,2nd Quintile,female,Yes,0.24346,417,18853,0.21409,0.27338
107,107,2021,2nd Quintile,female,No,0.75654,1529,18853,0.70991,0.80763
108,108,2021,3rd Quintile,male,Yes,0.1622,213,18853,0.13865,0.19027
109,109,2021,3rd Quintile,male,No,0.8378,1183,18853,0.78124,0.89229
110,110,2021,3rd Quintile,female,Yes,0.19512,308,18853,0.17516,0.2206
111,111,2021,3rd Quintile,female,No,0.80488,1329,18853,0.7554,0.86014
112,112,2021,4th Quintile,male,Yes,0.1738,228,18853,0.14998,0.20111
113,113,2021,4th Quintile,male,No,0.8262,1314,18853,0.76034,0.87657
114,114,2021,4th Quintile,female,Yes,0.20946,304,18853,0.18224,0.23596
115,115,2021,4th Quintile,female,No,0.79054,1400,18853,0.72553,0.85183
116,116,2021,5th Quintile,male,Yes,0.13776,289,18853,0.1158,0.15794
117,117,2021,5th Quintile,male,No,0.86224,1961,18853,0.81094,0.9203
118,118,2021,5th Quintile,female,Yes,0.15897,326,18853,0.13751,0.18049
119,119,2021,5th Quintile,female,No,0.84103,1705,18853,0.78887,0.90147
