year,sex,ple0022,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,male,Yes,0.15976,1555,9789,0.15250,0.16702
2011,male,No,0.84024,8234,9789,0.83298,0.84750
2011,female,Yes,0.20727,2086,10956,0.19968,0.21486
2011,female,No,0.79273,8870,10956,0.78514,0.80032
2013,male,Yes,0.17210,1454,8834,0.16423,0.17997
2013,male,No,0.82790,7380,8834,0.82003,0.83577
2013,female,Yes,0.20831,1933,10032,0.20036,0.21625
2013,female,No,0.79169,8099,10032,0.78375,0.79964
2015,male,Yes,0.15767,1726,11459,0.15100,0.16434
2015,male,No,0.84233,9733,11459,0.83566,0.84900
2015,female,Yes,0.19981,2379,13581,0.19308,0.20653
2015,female,No,0.80019,11202,13581,0.79347,0.80692
2017,male,Yes,0.15033,1746,12261,0.14401,0.15666
2017,male,No,0.84967,10515,12261,0.84334,0.85599
2017,female,Yes,0.18274,2330,14288,0.17641,0.18908
2017,female,No,0.81726,11958,14288,0.81092,0.82359
2019,male,Yes,0.14995,1758,12279,0.14363,0.15626
2019,male,No,0.85005,10521,12279,0.84374,0.85637
2019,female,Yes,0.18588,2206,13441,0.17931,0.19246
2019,female,No,0.81412,11235,13441,0.80754,0.82069
2021,male,Yes,0.16540,1384,9290,0.15784,0.17295
2021,male,No,0.83460,7906,9290,0.82705,0.84216
2021,female,Yes,0.21745,1877,9867,0.20931,0.22559
2021,female,No,0.78255,7990,9867,0.77441,0.79069
