,Unnamed: 0,year,migback,ple0022,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,2011,No migration background,Yes,0.18947,3199,20745,0.18422,0.19569
1,1,2011,No migration background,No,0.81053,14741,20745,0.79831,0.82226
2,2,2011,Direct migration background,Yes,0.186,376,20745,0.16799,0.20197
3,3,2011,Direct migration background,No,0.814,1639,20745,0.7778,0.85301
4,4,2011,Indirect migration background,Yes,0.06141,66,20745,0.04865,0.07781
5,5,2011,Indirect migration background,No,0.93859,724,20745,0.85981,1.01609
6,6,2013,No migration background,Yes,0.19088,2993,18866,0.18457,0.19666
7,7,2013,No migration background,No,0.80912,13443,18866,0.79641,0.82205
8,8,2013,Direct migration background,Yes,0.22265,338,18866,0.19848,0.24887
9,9,2013,Direct migration background,No,0.77735,1392,18866,0.73421,0.81461
10,10,2013,Indirect migration background,Yes,0.09015,56,18866,0.06535,0.11568
11,11,2013,Indirect migration background,No,0.90985,644,18866,0.83034,0.99385
12,12,2015,No migration background,Yes,0.18521,3266,25040,0.18016,0.19109
13,13,2015,No migration background,No,0.81479,15797,25040,0.79899,0.83025
14,14,2015,Direct migration background,Yes,0.18091,699,25040,0.16357,0.19857
15,15,2015,Direct migration background,No,0.81909,3716,25040,0.78504,0.8553
16,16,2015,Indirect migration background,Yes,0.07708,140,25040,0.06116,0.0989
17,17,2015,Indirect migration background,No,0.92292,1422,25040,0.86676,0.9793
18,18,2017,No migration background,Yes,0.17261,3231,26549,0.16571,0.17806
19,19,2017,No migration background,No,0.82739,16927,26549,0.81264,0.841
20,20,2017,Direct migration background,Yes,0.16753,693,26549,0.15236,0.18524
21,21,2017,Direct migration background,No,0.83247,4061,26549,0.80108,0.87648
22,22,2017,Indirect migration background,Yes,0.08486,152,26549,0.06708,0.10395
23,23,2017,Indirect migration background,No,0.91514,1485,26549,0.86291,0.973
24,24,2019,No migration background,Yes,0.17677,3245,25725,0.17102,0.18368
25,25,2019,No migration background,No,0.82323,16938,25725,0.80912,0.83856
26,26,2019,Direct migration background,Yes,0.15621,574,25725,0.14154,0.17341
27,27,2019,Direct migration background,No,0.84379,3389,25725,0.7993,0.88416
28,28,2019,Indirect migration background,Yes,0.08518,145,25725,0.07035,0.09949
29,29,2019,Indirect migration background,No,0.91482,1434,25725,0.84826,0.97251
30,30,2021,No migration background,Yes,0.19353,2393,19164,0.18451,0.20181
31,31,2021,No migration background,No,0.80647,10716,19164,0.78879,0.82616
32,32,2021,Direct migration background,Yes,0.21072,750,19164,0.17962,0.24794
33,33,2021,Direct migration background,No,0.78928,4370,19164,0.7374,0.84337
34,34,2021,Indirect migration background,Yes,0.10771,119,19164,0.08294,0.13551
35,35,2021,Indirect migration background,No,0.89229,816,19164,0.80732,0.98359
