"plh0111","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Sehr wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","6","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","Hauptschule","kein Migrationshintergrund","76","0.0195500719505492","0.0151469825817789","0.0239531613193196"
"Sehr wichtig","1990","Hauptschule","direkter Migrationshintergrund","6","","",""
"Sehr wichtig","1990","Hauptschule","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","Realschule","kein Migrationshintergrund","25","","",""
"Sehr wichtig","1990","Realschule","direkter Migrationshintergrund","2","","",""
"Sehr wichtig","1990","Realschule","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","(Fach-)Abitur","kein Migrationshintergrund","29","","",""
"Sehr wichtig","1990","(Fach-)Abitur","direkter Migrationshintergrund","2","","",""
"Sehr wichtig","1990","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Sehr wichtig","1990","AkademikerIn","kein Migrationshintergrund","32","0.0483355179562706","0.0312028513326186","0.0654681845799226"
"Sehr wichtig","1990","AkademikerIn","direkter Migrationshintergrund","2","","",""
"Sehr wichtig","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Sehr wichtig","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","38","0.238970517659536","0.17247498786321","0.305466047455861"
"Wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","","","",""
"Wichtig","1990","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Wichtig","1990","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","Hauptschule","kein Migrationshintergrund","640","0.16978877753753","0.15784836308614","0.181729191988919"
"Wichtig","1990","Hauptschule","direkter Migrationshintergrund","28","","",""
"Wichtig","1990","Hauptschule","indirekter Migrationshintergrund","5","","",""
"Wichtig","1990","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","Realschule","kein Migrationshintergrund","367","0.263022272405571","0.240146851945688","0.285897692865455"
"Wichtig","1990","Realschule","direkter Migrationshintergrund","18","","",""
"Wichtig","1990","Realschule","indirekter Migrationshintergrund","1","","",""
"Wichtig","1990","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","(Fach-)Abitur","kein Migrationshintergrund","170","0.347076539193006","0.306121421508178","0.388031656877835"
"Wichtig","1990","(Fach-)Abitur","direkter Migrationshintergrund","9","","",""
"Wichtig","1990","(Fach-)Abitur","indirekter Migrationshintergrund","3","","",""
"Wichtig","1990","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Wichtig","1990","AkademikerIn","kein Migrationshintergrund","243","0.40152210492798","0.362363371866417","0.440680837989543"
"Wichtig","1990","AkademikerIn","direkter Migrationshintergrund","14","","",""
"Wichtig","1990","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Wichtig","1990","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Weniger wichtig","1990","(noch) kein Abschluss","kein Migrationshintergrund","78","0.502263366488743","0.424300984045603","0.580225748931883"
"Weniger wichtig","1990","(noch) kein Abschluss","direkter Migrationshintergrund","4","","",""
