year,sampreg,plh0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,West,Very important,0.02584,183,7087,0.02215,0.02954
1990,West,Important,0.22071,1556,7087,0.21105,0.23036
1990,West,Less important,0.48479,3500,7087,0.47315,0.49642
1990,West,Unimportant,0.26866,1848,7087,0.25834,0.27898
1992,West,Very important,0.02221,148,6944,0.01875,0.02568
1992,West,Important,0.15211,1058,6944,0.14366,0.16055
1992,West,Less important,0.47645,3381,6944,0.46470,0.48820
1992,West,Unimportant,0.34923,2357,6944,0.33801,0.36044
1992,East,Very important,0.01621,65,3952,0.01227,0.02015
1992,East,Important,0.12047,493,3952,0.11032,0.13062
1992,East,Less important,0.49166,2064,3952,0.47607,0.50724
1992,East,Unimportant,0.37166,1330,3952,0.35660,0.38673
1995,West,Very important,0.01689,123,7489,0.01397,0.01981
1995,West,Important,0.15315,1130,7489,0.14499,0.16130
1995,West,Less important,0.49515,3751,7489,0.48382,0.50647
1995,West,Unimportant,0.33481,2485,7489,0.32412,0.34550
1995,East,Very important,0.01521,50,3649,0.01124,0.01918
1995,East,Important,0.11493,410,3649,0.10458,0.12528
1995,East,Less important,0.50672,1975,3649,0.49050,0.52295
1995,East,Unimportant,0.36314,1214,3649,0.34753,0.37874
2004,West,Very important,0.02941,517,16226,0.02681,0.03201
2004,West,Important,0.23588,3930,16226,0.22935,0.24241
2004,West,Less important,0.49653,8205,16226,0.48884,0.50423
2004,West,Unimportant,0.23818,3574,16226,0.23162,0.24473
2004,East,Very important,0.02374,115,5200,0.01960,0.02788
2004,East,Important,0.20110,1019,5200,0.19020,0.21199
2004,East,Less important,0.53852,2956,5200,0.52497,0.55207
2004,East,Unimportant,0.23665,1110,5200,0.22510,0.24820
2008,West,Very important,0.01919,297,14424,0.01695,0.02143
2008,West,Important,0.17466,2754,14424,0.16846,0.18085
2008,West,Less important,0.47549,6878,14424,0.46734,0.48364
2008,West,Unimportant,0.33066,4495,14424,0.32299,0.33834
2008,East,Very important,0.01649,75,4732,0.01286,0.02012
2008,East,Important,0.15055,712,4732,0.14036,0.16074
2008,East,Less important,0.49790,2433,4732,0.48365,0.51215
2008,East,Unimportant,0.33506,1512,4732,0.32161,0.34851
2012,West,Very important,0.03572,867,21356,0.03323,0.03821
2012,West,Important,0.28192,6483,21356,0.27588,0.28795
2012,West,Less important,0.49038,10409,21356,0.48368,0.49709
2012,West,Unimportant,0.19198,3597,21356,0.18670,0.19726
2012,East,Very important,0.03364,222,6152,0.02914,0.03815
2012,East,Important,0.23134,1474,6152,0.22080,0.24188
2012,East,Less important,0.51763,3180,6152,0.50514,0.53011
2012,East,Unimportant,0.21739,1276,6152,0.20708,0.22770
2016,West,Very important,0.04129,895,19146,0.03847,0.04410
2016,West,Important,0.29497,5794,19146,0.28851,0.30143
2016,West,Less important,0.48808,9273,19146,0.48100,0.49516
2016,West,Unimportant,0.17567,3184,19146,0.17028,0.18106
2016,East,Very important,0.03989,200,5013,0.03448,0.04531
2016,East,Important,0.24777,1306,5013,0.23582,0.25972
2016,East,Less important,0.51253,2464,5013,0.49869,0.52637
2016,East,Unimportant,0.19980,1043,5013,0.18873,0.21087
2021,West,Very important,0.06061,921,13529,0.05659,0.06463
2021,West,Important,0.34391,5034,13529,0.33590,0.35191
2021,West,Less important,0.45564,5911,13529,0.44725,0.46403
2021,West,Unimportant,0.13984,1663,13529,0.13400,0.14569
2021,East,Very important,0.05554,236,3601,0.04806,0.06303
2021,East,Important,0.29531,1150,3601,0.28040,0.31021
2021,East,Less important,0.48582,1634,3601,0.46949,0.50214
2021,East,Unimportant,0.16333,581,3601,0.15126,0.17541
