year,age_gr,plh0111,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,Very important,0.02979,50,1862,0.02206,0.03751
1990,17-29 y.,Important,0.21578,392,1862,0.19709,0.23447
1990,17-29 y.,Less important,0.54285,1002,1862,0.52022,0.56548
1990,17-29 y.,Unimportant,0.21158,418,1862,0.19303,0.23014
1990,30-45 y.,Very important,0.03020,62,2056,0.02280,0.03760
1990,30-45 y.,Important,0.26503,535,2056,0.24595,0.28411
1990,30-45 y.,Less important,0.51855,1064,2056,0.49694,0.54015
1990,30-45 y.,Unimportant,0.18622,395,2056,0.16939,0.20305
1990,46-65 y.,Very important,0.02538,54,2165,0.01875,0.03200
1990,46-65 y.,Important,0.22222,477,2165,0.20471,0.23974
1990,46-65 y.,Less important,0.49031,1062,2165,0.46925,0.51138
1990,46-65 y.,Unimportant,0.26209,572,2165,0.24356,0.28062
1990,66 and older,Important,0.16044,152,987,0.13753,0.18335
1990,66 and older,Less important,0.35412,372,987,0.32427,0.38397
1990,66 and older,Unimportant,0.46996,463,987,0.43881,0.50111
1992,17-29 y.,Very important,0.02337,51,2694,0.01766,0.02908
1992,17-29 y.,Important,0.13209,365,2694,0.11931,0.14488
1992,17-29 y.,Less important,0.54246,1485,2694,0.52364,0.56128
1992,17-29 y.,Unimportant,0.30207,793,2694,0.28473,0.31942
1992,30-45 y.,Very important,0.01819,62,3596,0.01382,0.02255
1992,30-45 y.,Important,0.16711,564,3596,0.15492,0.17931
1992,30-45 y.,Less important,0.54273,1982,3596,0.52645,0.55902
1992,30-45 y.,Unimportant,0.27197,988,3596,0.25742,0.28652
1992,46-65 y.,Very important,0.02358,76,3232,0.01835,0.02881
1992,46-65 y.,Important,0.14998,471,3232,0.13766,0.16229
1992,46-65 y.,Less important,0.47401,1533,3232,0.45680,0.49123
1992,46-65 y.,Unimportant,0.35243,1152,3232,0.33596,0.36890
1992,66 and older,Important,0.11893,151,1350,0.10165,0.13620
1992,66 and older,Less important,0.31895,445,1350,0.29408,0.34383
1992,66 and older,Unimportant,0.54442,754,1350,0.51784,0.57100
1995,17-29 y.,Very important,0.01815,42,2601,0.01302,0.02328
1995,17-29 y.,Important,0.14335,352,2601,0.12988,0.15682
1995,17-29 y.,Less important,0.53981,1431,2601,0.52065,0.55897
1995,17-29 y.,Unimportant,0.29869,776,2601,0.28110,0.31628
1995,30-45 y.,Very important,0.01573,52,3875,0.01181,0.01964
1995,30-45 y.,Important,0.14482,525,3875,0.13374,0.15590
1995,30-45 y.,Less important,0.54949,2132,3875,0.53382,0.56516
1995,30-45 y.,Unimportant,0.28997,1166,3875,0.27568,0.30426
1995,46-65 y.,Very important,0.01701,59,3233,0.01255,0.02147
1995,46-65 y.,Important,0.16203,492,3233,0.14932,0.17473
1995,46-65 y.,Less important,0.49728,1634,3233,0.48004,0.51452
1995,46-65 y.,Unimportant,0.32368,1048,3233,0.30755,0.33982
1995,66 and older,Important,0.12072,171,1409,0.10370,0.13773
1995,66 and older,Less important,0.37335,529,1409,0.34808,0.39861
