,Unnamed: 0,year,age_gr,sex,plh0111,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1990,17-29 y.,male,Very important,0.03945,34,7009,0.03432,0.04551
1,1,1990,17-29 y.,male,Important,0.23458,217,7009,0.21874,0.24906
2,2,1990,17-29 y.,male,Less important,0.5293,494,7009,0.50444,0.55057
3,3,1990,17-29 y.,male,Unimportant,0.19667,198,7009,0.18256,0.20947
4,4,1990,17-29 y.,female,Important,0.19965,175,7009,0.1865,0.21546
5,5,1990,17-29 y.,female,Less important,0.56861,508,7009,0.54028,0.59366
6,6,1990,17-29 y.,female,Unimportant,0.23174,220,7009,0.21329,0.2509
7,7,1990,30-45 y.,male,Very important,0.03137,34,7009,0.02672,0.03717
8,8,1990,30-45 y.,male,Important,0.29072,284,7009,0.27411,0.30468
9,9,1990,30-45 y.,male,Less important,0.51229,526,7009,0.49556,0.53225
10,10,1990,30-45 y.,male,Unimportant,0.16562,171,7009,0.15334,0.17667
11,11,1990,30-45 y.,female,Important,0.24543,251,7009,0.23095,0.26084
12,12,1990,30-45 y.,female,Less important,0.54086,538,7009,0.52305,0.56056
13,13,1990,30-45 y.,female,Unimportant,0.21371,224,7009,0.20007,0.22427
14,14,1990,46-65 y.,male,Very important,0.03494,37,7009,0.03106,0.04002
15,15,1990,46-65 y.,male,Important,0.25143,269,7009,0.24152,0.26054
16,16,1990,46-65 y.,male,Less important,0.50651,527,7009,0.48836,0.52268
17,17,1990,46-65 y.,male,Unimportant,0.20711,214,7009,0.1975,0.21602
18,18,1990,46-65 y.,female,Important,0.19747,208,7009,0.1871,0.20707
19,19,1990,46-65 y.,female,Less important,0.48273,535,7009,0.47101,0.49656
20,20,1990,46-65 y.,female,Unimportant,0.31981,358,7009,0.31106,0.33208
21,21,1990,66 and older,male,Important,0.20571,79,7009,0.19296,0.21898
22,22,1990,66 and older,male,Less important,0.42224,169,7009,0.40179,0.44149
23,23,1990,66 and older,male,Unimportant,0.37205,140,7009,0.35249,0.3888
24,24,1990,66 and older,female,Important,0.13973,73,7009,0.12958,0.14734
25,25,1990,66 and older,female,Less important,0.32574,203,7009,0.31121,0.34224
26,26,1990,66 and older,female,Unimportant,0.53453,323,7009,0.51039,0.55676
27,27,1992,17-29 y.,male,Very important,0.02981,32,10807,0.02349,0.03622
28,28,1992,17-29 y.,male,Important,0.12248,174,10807,0.11231,0.13284
29,29,1992,17-29 y.,male,Less important,0.53911,718,10807,0.51658,0.56375
30,30,1992,17-29 y.,male,Unimportant,0.30861,406,10807,0.29075,0.32685
31,31,1992,17-29 y.,female,Important,0.14473,191,10807,0.1323,0.15807
32,32,1992,17-29 y.,female,Less important,0.55555,767,10807,0.53339,0.58217
33,33,1992,17-29 y.,female,Unimportant,0.29972,387,10807,0.28212,0.32098
34,34,1992,30-45 y.,male,Very important,0.02412,41,10807,0.01937,0.02909
35,35,1992,30-45 y.,male,Important,0.16355,275,10807,0.15237,0.17409
36,36,1992,30-45 y.,male,Less important,0.55599,977,10807,0.5364,0.57594
37,37,1992,30-45 y.,male,Unimportant,0.25634,463,10807,0.23974,0.26994
38,38,1992,30-45 y.,female,Important,0.17301,289,10807,0.1607,0.1853
39,39,1992,30-45 y.,female,Less important,0.53529,1005,10807,0.51186,0.5576
40,40,1992,30-45 y.,female,Unimportant,0.2917,525,10807,0.27547,0.31066
41,41,1992,46-65 y.,male,Very important,0.03136,51,10807,0.02763,0.03619
42,42,1992,46-65 y.,male,Important,0.1656,258,10807,0.15598,0.17546
43,43,1992,46-65 y.,male,Less important,0.48828,776,10807,0.47155,0.50796
44,44,1992,46-65 y.,male,Unimportant,0.31477,500,10807,0.29989,0.33016
45,45,1992,46-65 y.,female,Important,0.13714,213,10807,0.12672,0.1481
46,46,1992,46-65 y.,female,Less important,0.46778,757,10807,0.45059,0.48552
47,47,1992,46-65 y.,female,Unimportant,0.39508,652,10807,0.37825,0.41173
48,48,1992,66 and older,male,Important,0.16739,81,10807,0.15251,0.18109
49,49,1992,66 and older,male,Less important,0.3745,193,10807,0.35596,0.39658
50,50,1992,66 and older,male,Unimportant,0.45811,235,10807,0.43548,0.48355
51,51,1992,66 and older,female,Important,0.09499,70,10807,0.08499,0.10434
52,52,1992,66 and older,female,Less important,0.29668,252,10807,0.278,0.31285
53,53,1992,66 and older,female,Unimportant,0.60833,519,10807,0.58262,0.63405
54,54,1995,17-29 y.,male,Important,0.16272,191,11010,0.14705,0.17763
55,55,1995,17-29 y.,male,Less important,0.54102,678,11010,0.51395,0.57146
56,56,1995,17-29 y.,male,Unimportant,0.29626,378,11010,0.27529,0.31834
57,57,1995,17-29 y.,female,Important,0.12815,161,11010,0.11587,0.14196
58,58,1995,17-29 y.,female,Less important,0.55914,753,11010,0.5331,0.58903
59,59,1995,17-29 y.,female,Unimportant,0.31271,398,11010,0.28895,0.33639
60,60,1995,30-45 y.,male,Important,0.1472,268,11010,0.13346,0.1595
61,61,1995,30-45 y.,male,Less important,0.5726,1045,11010,0.54787,0.59469
62,62,1995,30-45 y.,male,Unimportant,0.2802,538,11010,0.26434,0.29562
63,63,1995,30-45 y.,female,Important,0.14709,257,11010,0.13351,0.16037
64,64,1995,30-45 y.,female,Less important,0.54357,1087,11010,0.51844,0.56488
65,65,1995,30-45 y.,female,Unimportant,0.30934,628,11010,0.29234,0.32445
66,66,1995,46-65 y.,male,Very important,0.02632,45,11010,0.02263,0.03023
67,67,1995,46-65 y.,male,Important,0.17817,276,11010,0.16356,0.1929
68,68,1995,46-65 y.,male,Less important,0.49897,832,11010,0.47721,0.51988
69,69,1995,46-65 y.,male,Unimportant,0.29653,464,11010,0.2801,0.31672
70,70,1995,46-65 y.,female,Important,0.14734,216,11010,0.13586,0.16092
71,71,1995,46-65 y.,female,Less important,0.49955,802,11010,0.47886,0.52441
72,72,1995,46-65 y.,female,Unimportant,0.35311,584,11010,0.3358,0.36847
73,73,1995,66 and older,male,Important,0.16192,87,11010,0.14655,0.18246
74,74,1995,66 and older,male,Less important,0.43162,229,11010,0.4064,0.45937
75,75,1995,66 and older,male,Unimportant,0.40646,218,11010,0.38074,0.43074
76,76,1995,66 and older,female,Important,0.09928,84,11010,0.08773,0.11232
77,77,1995,66 and older,female,Less important,0.34821,300,11010,0.33049,0.36948
78,78,1995,66 and older,female,Unimportant,0.55251,491,11010,0.52516,0.5775
79,79,2004,17-29 y.,male,Very important,0.03985,76,21426,0.03204,0.04773
80,80,2004,17-29 y.,male,Important,0.24265,440,21426,0.22266,0.26505
81,81,2004,17-29 y.,male,Less important,0.50651,998,21426,0.47527,0.53423
82,82,2004,17-29 y.,male,Unimportant,0.21098,380,21426,0.19428,0.22973
83,83,2004,17-29 y.,female,Very important,0.01691,43,21426,0.01301,0.02228
84,84,2004,17-29 y.,female,Important,0.21628,429,21426,0.19852,0.23688
85,85,2004,17-29 y.,female,Less important,0.54529,1121,21426,0.51387,0.57698
86,86,2004,17-29 y.,female,Unimportant,0.22153,433,21426,0.20527,0.23858
87,87,2004,30-45 y.,male,Very important,0.02877,83,21426,0.02317,0.03391
88,88,2004,30-45 y.,male,Important,0.23848,702,21426,0.22365,0.2556
89,89,2004,30-45 y.,male,Less important,0.52898,1704,21426,0.50647,0.54815
90,90,2004,30-45 y.,male,Unimportant,0.20377,623,21426,0.18967,0.22032
91,91,2004,30-45 y.,female,Very important,0.01483,48,21426,0.01174,0.01878
92,92,2004,30-45 y.,female,Important,0.20821,709,21426,0.19508,0.2214
93,93,2004,30-45 y.,female,Less important,0.54917,1907,21426,0.52881,0.56748
94,94,2004,30-45 y.,female,Unimportant,0.2278,719,21426,0.21644,0.24019
95,95,2004,46-65 y.,male,Very important,0.03464,146,21426,0.02905,0.04045
96,96,2004,46-65 y.,male,Important,0.26156,990,21426,0.24743,0.27816
97,97,2004,46-65 y.,male,Less important,0.49578,1836,21426,0.48017,0.5182
98,98,2004,46-65 y.,male,Unimportant,0.20803,638,21426,0.19752,0.22101
99,99,2004,46-65 y.,female,Very important,0.02494,102,21426,0.02062,0.03024
100,100,2004,46-65 y.,female,Important,0.21791,876,21426,0.20605,0.23031
101,101,2004,46-65 y.,female,Less important,0.52963,1966,21426,0.5109,0.54914
102,102,2004,46-65 y.,female,Unimportant,0.22751,755,21426,0.21364,0.23823
103,103,2004,66 and older,male,Very important,0.04002,75,21426,0.03445,0.04635
104,104,2004,66 and older,male,Important,0.26821,448,21426,0.25296,0.28235
105,105,2004,66 and older,male,Less important,0.45367,772,21426,0.43443,0.47542
106,106,2004,66 and older,male,Unimportant,0.23809,405,21426,0.22465,0.24893
107,107,2004,66 and older,female,Very important,0.03042,59,21426,0.02592,0.03512
108,108,2004,66 and older,female,Important,0.18736,355,21426,0.17484,0.20067
109,109,2004,66 and older,female,Less important,0.41329,857,21426,0.39899,0.42773
110,110,2004,66 and older,female,Unimportant,0.36894,731,21426,0.35637,0.383
111,111,2008,17-29 y.,male,Very important,0.02889,40,19110,0.01859,0.03883
112,112,2008,17-29 y.,male,Important,0.17187,267,19110,0.15363,0.19751
113,113,2008,17-29 y.,male,Less important,0.51298,770,19110,0.48328,0.55406
114,114,2008,17-29 y.,male,Unimportant,0.28627,426,19110,0.25965,0.31036
115,115,2008,17-29 y.,female,Important,0.15003,245,19110,0.13315,0.1676
116,116,2008,17-29 y.,female,Less important,0.53882,876,19110,0.50512,0.58055
117,117,2008,17-29 y.,female,Unimportant,0.31115,492,19110,0.28409,0.33371
118,118,2008,30-45 y.,male,Very important,0.01712,41,19110,0.01223,0.0231
119,119,2008,30-45 y.,male,Important,0.1702,425,19110,0.15399,0.18589
120,120,2008,30-45 y.,male,Less important,0.52157,1296,19110,0.49747,0.54951
121,121,2008,30-45 y.,male,Unimportant,0.29111,693,19110,0.27148,0.31547
122,122,2008,30-45 y.,female,Important,0.14937,423,19110,0.13814,0.16365
123,123,2008,30-45 y.,female,Less important,0.52463,1392,19110,0.4987,0.54751
124,124,2008,30-45 y.,female,Unimportant,0.326,852,19110,0.30783,0.34468
125,125,2008,46-65 y.,male,Very important,0.01955,72,19110,0.0149,0.02372
126,126,2008,46-65 y.,male,Important,0.19107,672,19110,0.17816,0.20319
127,127,2008,46-65 y.,male,Less important,0.49775,1587,19110,0.47358,0.51742
128,128,2008,46-65 y.,male,Unimportant,0.29163,850,19110,0.27637,0.3072
129,129,2008,46-65 y.,female,Very important,0.01482,52,19110,0.0107,0.01936
