"plh0111","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","Schleswig-Holstein","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Schleswig-Holstein","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Hamburg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Hamburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Niedersachsen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Niedersachsen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Bremen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Bremen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Nordrhein-Westfalen","Staedtischer Raum","60","0.0331227820965748","0.0249503307173582","0.0412952334757914"
"1 Sehr wichtig","1990","Nordrhein-Westfalen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Hessen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Hessen","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Rheinland-Pfalz,Saarland","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Rheinland-Pfalz,Saarland","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Baden-Wuerttemberg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Baden-Wuerttemberg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Bayern","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Bayern","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Berlin","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Berlin","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Brandenburg","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Brandenburg","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Mecklenburg-Vorpommern","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Mecklenburg-Vorpommern","Laendlicher Raum","","","",""
"1 Sehr wichtig","1990","Sachsen","Staedtischer Raum","","","",""
"1 Sehr wichtig","1990","Sachsen","Laendlicher Raum","","","",""
