"plh0111","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"1 Sehr wichtig","1990","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1990","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1990","Hauptschule","maennlich","52","0.0270244869844836","0.0197217142050555","0.0343272597639117"
"1 Sehr wichtig","1990","Hauptschule","weiblich","30","0.0134396339538661","0.00861041022133202","0.0182688576864003"
"1 Sehr wichtig","1990","Realschule","maennlich","","","",""
"1 Sehr wichtig","1990","Realschule","weiblich","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1990","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1990","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1990","AkademikerIn","weiblich","","","",""
"2 Wichtig","1990","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1990","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1990","Hauptschule","maennlich","374","0.196177688870953","0.178293759796123","0.214061617945783"
"2 Wichtig","1990","Hauptschule","weiblich","299","0.142415707761745","0.127758908860795","0.157072506662695"
"2 Wichtig","1990","Realschule","maennlich","174","0.29316337641356","0.256799998063481","0.329526754763639"
"2 Wichtig","1990","Realschule","weiblich","212","0.235455433508503","0.208009215290922","0.262901651726084"
"2 Wichtig","1990","(Fach-)Abitur","maennlich","103","0.328194388411206","0.277144617248247","0.379244159574165"
"2 Wichtig","1990","(Fach-)Abitur","weiblich","79","0.338617850813796","0.278368124699716","0.398867576927876"
"2 Wichtig","1990","AkademikerIn","maennlich","169","0.401885669521524","0.355865500377575","0.447905838665472"
"2 Wichtig","1990","AkademikerIn","weiblich","88","0.375662433711136","0.311374648857124","0.439950218565148"
"3 Weniger wichtig","1990","(noch) kein Abschluss","maennlich","47","0.541737705461576","0.438799064331389","0.644676346591763"
"3 Weniger wichtig","1990","(noch) kein Abschluss","weiblich","38","0.449301121628963","0.341637988992495","0.556964254265431"
"3 Weniger wichtig","1990","Hauptschule","maennlich","972","0.510148174345145","0.487634901352461","0.532661447337829"
"3 Weniger wichtig","1990","Hauptschule","weiblich","1013","0.442998315947978","0.422165351834435","0.463831280061522"
"3 Weniger wichtig","1990","Realschule","maennlich","304","0.506241457881717","0.466303485665708","0.546179430097726"
"3 Weniger wichtig","1990","Realschule","weiblich","498","0.533335192835736","0.501062931576159","0.565607454095312"
"3 Weniger wichtig","1990","(Fach-)Abitur","maennlich","169","0.512684423379896","0.458342298192647","0.567026548567146"
"3 Weniger wichtig","1990","(Fach-)Abitur","weiblich","114","0.470122134418053","0.406579216087117","0.533665052748988"
"3 Weniger wichtig","1990","AkademikerIn","maennlich","195","0.435772107834526","0.389228307948177","0.482315907720874"
"3 Weniger wichtig","1990","AkademikerIn","weiblich","97","0.483141404308509","0.416806387350042","0.549476421266976"
"4 Ganz unwichtig","1990","(noch) kein Abschluss","maennlich","","","",""
"4 Ganz unwichtig","1990","(noch) kein Abschluss","weiblich","","","",""
"4 Ganz unwichtig","1990","Hauptschule","maennlich","496","0.266649649799418","0.246734463915882","0.286564835682954"
"4 Ganz unwichtig","1990","Hauptschule","weiblich","842","0.401146342336411","0.380590581997893","0.421702102674929"
"4 Ganz unwichtig","1990","Realschule","maennlich","107","0.167019057758817","0.137223577315986","0.196814538201648"
"4 Ganz unwichtig","1990","Realschule","weiblich","198","0.221103790391275","0.194258714286469","0.24794886649608"
"4 Ganz unwichtig","1990","(Fach-)Abitur","maennlich","36","0.105263607117878","0.0718984568011703","0.138628757434585"
"4 Ganz unwichtig","1990","(Fach-)Abitur","weiblich","30","0.118990537090584","0.0777693573511313","0.160211716830037"
"4 Ganz unwichtig","1990","AkademikerIn","maennlich","49","0.116146402585309","0.0860719386623452","0.146220866508273"
"4 Ganz unwichtig","1990","AkademikerIn","weiblich","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"1 Sehr wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"1 Sehr wichtig","1991","Hauptschule","maennlich","","","",""
"1 Sehr wichtig","1991","Hauptschule","weiblich","","","",""
"1 Sehr wichtig","1991","Realschule","maennlich","","","",""
"1 Sehr wichtig","1991","Realschule","weiblich","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"1 Sehr wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"1 Sehr wichtig","1991","AkademikerIn","maennlich","","","",""
"1 Sehr wichtig","1991","AkademikerIn","weiblich","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"2 Wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"2 Wichtig","1991","Hauptschule","maennlich","","","",""
"2 Wichtig","1991","Hauptschule","weiblich","","","",""
"2 Wichtig","1991","Realschule","maennlich","","","",""
"2 Wichtig","1991","Realschule","weiblich","","","",""
"2 Wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"2 Wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"2 Wichtig","1991","AkademikerIn","maennlich","","","",""
"2 Wichtig","1991","AkademikerIn","weiblich","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"3 Weniger wichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"3 Weniger wichtig","1991","Hauptschule","maennlich","","","",""
"3 Weniger wichtig","1991","Hauptschule","weiblich","","","",""
"3 Weniger wichtig","1991","Realschule","maennlich","","","",""
"3 Weniger wichtig","1991","Realschule","weiblich","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","maennlich","","","",""
"3 Weniger wichtig","1991","(Fach-)Abitur","weiblich","","","",""
"3 Weniger wichtig","1991","AkademikerIn","maennlich","","","",""
"3 Weniger wichtig","1991","AkademikerIn","weiblich","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","maennlich","","","",""
"4 Ganz unwichtig","1991","(noch) kein Abschluss","weiblich","","","",""
"4 Ganz unwichtig","1991","Hauptschule","maennlich","","","",""
"4 Ganz unwichtig","1991","Hauptschule","weiblich","","","",""
"4 Ganz unwichtig","1991","Realschule","maennlich","","","",""
"4 Ganz unwichtig","1991","Realschule","weiblich","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","maennlich","","","",""
"4 Ganz unwichtig","1991","(Fach-)Abitur","weiblich","","","",""
