year,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,West,Self-employed,0.04200,602,12142,0.03843,0.04557
1984,West,Blue-collar worker,0.16208,3369,12142,0.15553,0.16864
1984,West,Civil servant,0.03794,492,12142,0.03454,0.04133
1984,West,White-collar worker,0.16539,2193,12142,0.15878,0.17200
1984,West,Apprentice/ Trainee/ Intern,0.07465,1146,12142,0.06998,0.07933
1984,West,Not employed: Pensioner,0.18678,1765,12142,0.17985,0.19372
1984,West,Not employed: Military/Community Service,0.00283,35,12142,0.00188,0.00377
1984,West,Not employed: registered unemployed,0.02442,434,12142,0.02168,0.02717
1984,West,Not employed: no further information,0.12908,2106,12142,0.12312,0.13505
1985,West,Self-employed,0.04358,556,11005,0.03976,0.04739
1985,West,Blue-collar worker,0.15911,2941,11005,0.15228,0.16594
1985,West,Civil servant,0.03939,467,11005,0.03576,0.04303
1985,West,White-collar worker,0.17224,2085,11005,0.16518,0.17929
1985,West,Apprentice/ Trainee/ Intern,0.08001,1097,11005,0.07494,0.08508
1985,West,Not employed: Pensioner,0.19398,1603,11005,0.18659,0.20137
1985,West,Not employed: Military/Community Service,0.00312,39,11005,0.00208,0.00416
1985,West,Not employed: registered unemployed,0.03291,503,11005,0.02958,0.03624
1985,West,Not employed: no further information,0.11291,1714,11005,0.10700,0.11883
1986,West,Self-employed,0.04366,533,10565,0.03976,0.04756
1986,West,Blue-collar worker,0.16074,2848,10565,0.15374,0.16775
1986,West,Civil servant,0.03890,447,10565,0.03522,0.04259
1986,West,White-collar worker,0.17274,1997,10565,0.16553,0.17995
1986,West,Apprentice/ Trainee/ Intern,0.07748,1094,10565,0.07238,0.08258
1986,West,Not employed: Pensioner,0.19529,1523,10565,0.18773,0.20285
1986,West,Not employed: Military/Community Service,0.00434,49,10565,0.00309,0.00560
1986,West,Not employed: registered unemployed,0.03067,461,10565,0.02738,0.03396
1986,West,Not employed: no further information,0.11236,1613,10565,0.10634,0.11838
1987,West,Self-employed,0.04417,532,10430,0.04023,0.04812
1987,West,Blue-collar worker,0.16664,2830,10430,0.15948,0.17379
1987,West,Civil servant,0.03929,443,10430,0.03556,0.04302
1987,West,White-collar worker,0.17551,1991,10430,0.16821,0.18281
1987,West,Apprentice/ Trainee/ Intern,0.07039,1083,10430,0.06548,0.07530
1987,West,Not employed: Pensioner,0.19287,1495,10430,0.18530,0.20044
1987,West,Not employed: Military/Community Service,0.00491,53,10430,0.00357,0.00625
1987,West,Not employed: registered unemployed,0.03084,471,10430,0.02752,0.03416
1987,West,Not employed: no further information,0.10889,1532,10430,0.10291,0.11487
1988,West,Self-employed,0.04352,501,9952,0.03951,0.04753
1988,West,Blue-collar worker,0.16111,2655,9952,0.15389,0.16833
1988,West,Civil servant,0.03919,410,9952,0.03537,0.04300
1988,West,White-collar worker,0.18365,1949,9952,0.17604,0.19126
1988,West,Apprentice/ Trainee/ Intern,0.06898,993,9952,0.06400,0.07396
1988,West,Not employed: Pensioner,0.19412,1457,9952,0.18634,0.20189
1988,West,Not employed: Military/Community Service,0.00501,55,9952,0.00362,0.00640
1988,West,Not employed: registered unemployed,0.03201,457,9952,0.02855,0.03546
1988,West,Not employed: no further information,0.10590,1475,9952,0.09985,0.11194
1989,West,Self-employed,0.04071,459,9642,0.03676,0.04465
1989,West,Blue-collar worker,0.16078,2593,9642,0.15345,0.16811
1989,West,Civil servant,0.03810,384,9642,0.03428,0.04193
1989,West,White-collar worker,0.19457,2020,9642,0.18666,0.20247
1989,West,Apprentice/ Trainee/ Intern,0.06984,926,9642,0.06475,0.07492
1989,West,Not employed: Pensioner,0.19643,1442,9642,0.18850,0.20436
1989,West,Not employed: Military/Community Service,0.00388,47,9642,0.00264,0.00512
1989,West,Not employed: registered unemployed,0.02418,324,9642,0.02112,0.02725
1989,West,Not employed: no further information,0.10622,1447,9642,0.10007,0.11237
1990,West,Self-employed,0.04139,455,9438,0.03737,0.04540
1990,West,Blue-collar worker,0.16414,2549,9438,0.15667,0.17162
1990,West,Civil servant,0.03915,377,9438,0.03523,0.04306
1990,West,White-collar worker,0.19735,1993,9438,0.18932,0.20538
1990,West,Apprentice/ Trainee/ Intern,0.06751,867,9438,0.06245,0.07257
1990,West,Not employed: Pensioner,0.19198,1479,9438,0.18404,0.19993
1990,West,Not employed: Military/Community Service,0.00467,56,9438,0.00330,0.00605
1990,West,Not employed: registered unemployed,0.02310,316,9438,0.02007,0.02613
1990,West,Not employed: no further information,0.10204,1346,9438,0.09594,0.10815
1990,East,Self-employed,0.01932,111,4378,0.01525,0.02340
1990,East,Blue-collar worker,0.25665,1552,4378,0.24371,0.26959
1990,East,White-collar worker,0.25696,1603,4378,0.24402,0.26991
1990,East,Apprentice/ Trainee/ Intern,0.04161,268,4378,0.03570,0.04753
1990,East,Not employed: Pensioner,0.16306,635,4378,0.15211,0.17400
1990,East,Not employed: no further information,0.03519,209,4378,0.02974,0.04065
1991,West,Self-employed,0.04196,460,9422,0.03791,0.04601
1991,West,Blue-collar worker,0.16255,2539,9422,0.15510,0.17000
1991,West,Civil servant,0.03864,378,9422,0.03475,0.04254
1991,West,White-collar worker,0.20134,2074,9422,0.19324,0.20944
1991,West,Apprentice/ Trainee/ Intern,0.06519,883,9422,0.06021,0.07018
1991,West,Not employed: Pensioner,0.19666,1489,9422,0.18863,0.20468
1991,West,Not employed: Military/Community Service,0.00347,37,9422,0.00228,0.00465
1991,West,Not employed: registered unemployed,0.01982,278,9422,0.01700,0.02263
1991,West,Not employed: no further information,0.09642,1284,9422,0.09046,0.10238
1991,East,Self-employed,0.02666,146,4110,0.02174,0.03159
1991,East,Blue-collar worker,0.23039,1261,4110,0.21752,0.24327
1991,East,Civil servant,0.00516,33,4110,0.00297,0.00735
