year,age_gr,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Blue-collar worker,0.16305,164,779,0.13709,0.18901
1984,17-29 y.,1st Quintile,White-collar worker,0.08868,56,779,0.06870,0.10866
1984,17-29 y.,1st Quintile,Apprentice/ Trainee/ Intern,0.41241,281,779,0.37782,0.44700
1984,17-29 y.,1st Quintile,Not employed: registered unemployed,0.10296,76,779,0.08160,0.12431
1984,17-29 y.,1st Quintile,Not employed: no further information,0.19235,202,779,0.16466,0.22005
1984,17-29 y.,2nd Quintile,Blue-collar worker,0.18138,153,647,0.15167,0.21110
1984,17-29 y.,2nd Quintile,White-collar worker,0.15758,85,647,0.12949,0.18568
1984,17-29 y.,2nd Quintile,Apprentice/ Trainee/ Intern,0.41733,256,647,0.37931,0.45536
1984,17-29 y.,2nd Quintile,Not employed: registered unemployed,0.06628,41,647,0.04710,0.08546
1984,17-29 y.,2nd Quintile,Not employed: no further information,0.12725,112,647,0.10155,0.15295
1984,17-29 y.,3rd Quintile,Blue-collar worker,0.24681,181,626,0.21301,0.28061
1984,17-29 y.,3rd Quintile,White-collar worker,0.20140,116,626,0.16995,0.23284
1984,17-29 y.,3rd Quintile,Apprentice/ Trainee/ Intern,0.35169,226,626,0.31425,0.38912
1984,17-29 y.,3rd Quintile,Not employed: registered unemployed,0.05785,39,626,0.03954,0.07615
1984,17-29 y.,3rd Quintile,Not employed: no further information,0.08224,64,626,0.06070,0.10378
1984,17-29 y.,4th Quintile,Blue-collar worker,0.27575,232,678,0.24208,0.30941
1984,17-29 y.,4th Quintile,Civil servant,0.06507,41,678,0.04649,0.08365
1984,17-29 y.,4th Quintile,White-collar worker,0.24798,165,678,0.21545,0.28051
1984,17-29 y.,4th Quintile,Apprentice/ Trainee/ Intern,0.30361,208,678,0.26897,0.33824
1984,17-29 y.,4th Quintile,Not employed: no further information,0.03889,32,678,0.02432,0.05345
1984,17-29 y.,5th Quintile,Blue-collar worker,0.20214,131,477,0.16606,0.23822
1984,17-29 y.,5th Quintile,Civil servant,0.07172,38,477,0.04854,0.09490
1984,17-29 y.,5th Quintile,White-collar worker,0.34076,180,477,0.29818,0.38334
1984,17-29 y.,5th Quintile,Apprentice/ Trainee/ Intern,0.25739,128,477,0.21811,0.29666
1984,30-45 y.,1st Quintile,Blue-collar worker,0.29048,293,720,0.25730,0.32367
1984,30-45 y.,1st Quintile,White-collar worker,0.11805,60,720,0.09447,0.14164
1984,30-45 y.,1st Quintile,Not employed: registered unemployed,0.08849,56,720,0.06773,0.10925
1984,30-45 y.,1st Quintile,Not employed: no further information,0.38534,311,720,0.34977,0.42092
1984,30-45 y.,2nd Quintile,Self-employed,0.04789,33,747,0.03256,0.06321
1984,30-45 y.,2nd Quintile,Blue-collar worker,0.36486,347,747,0.33032,0.39940
1984,30-45 y.,2nd Quintile,White-collar worker,0.24276,136,747,0.21199,0.27352
1984,30-45 y.,2nd Quintile,Not employed: registered unemployed,0.02951,31,747,0.01736,0.04165
1984,30-45 y.,2nd Quintile,Not employed: no further information,0.24899,200,747,0.21796,0.28003
1984,30-45 y.,3rd Quintile,Self-employed,0.03865,32,726,0.02462,0.05268
1984,30-45 y.,3rd Quintile,Blue-collar worker,0.31367,307,726,0.27990,0.34745
1984,30-45 y.,3rd Quintile,Civil servant,0.08758,52,726,0.06700,0.10816
1984,30-45 y.,3rd Quintile,White-collar worker,0.30845,190,726,0.27483,0.34207
1984,30-45 y.,3rd Quintile,Not employed: no further information,0.21803,145,726,0.18798,0.24809
1984,30-45 y.,4th Quintile,Self-employed,0.08933,64,763,0.06908,0.10958
1984,30-45 y.,4th Quintile,Blue-collar worker,0.25845,297,763,0.22736,0.28953
1984,30-45 y.,4th Quintile,Civil servant,0.07957,50,763,0.06035,0.09878
1984,30-45 y.,4th Quintile,White-collar worker,0.40101,256,763,0.36621,0.43580
1984,30-45 y.,4th Quintile,Not employed: no further information,0.13042,96,763,0.10651,0.15433
1984,30-45 y.,5th Quintile,Self-employed,0.13716,111,777,0.11295,0.16136
1984,30-45 y.,5th Quintile,Blue-collar worker,0.12828,153,777,0.10475,0.15181
1984,30-45 y.,5th Quintile,Civil servant,0.16036,108,777,0.13454,0.18618
1984,30-45 y.,5th Quintile,White-collar worker,0.46229,327,777,0.42721,0.49737
1984,30-45 y.,5th Quintile,Not employed: no further information,0.10049,78,777,0.07933,0.12164
1984,46-65 y.,1st Quintile,Blue-collar worker,0.18463,159,496,0.15045,0.21881
1984,46-65 y.,1st Quintile,Not employed: Pensioner,0.36017,133,496,0.31788,0.40246
1984,46-65 y.,1st Quintile,Not employed: registered unemployed,0.05863,45,496,0.03794,0.07933
1984,46-65 y.,1st Quintile,Not employed: no further information,0.28092,159,496,0.24133,0.32052
1984,46-65 y.,2nd Quintile,Blue-collar worker,0.28337,230,601,0.24731,0.31943
1984,46-65 y.,2nd Quintile,White-collar worker,0.12146,68,601,0.09533,0.14760
