year,age_gr,sampreg,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Self-employed,0.01882,71,3421,0.01427,0.02338
1984,17-29 y.,West,Blue-collar worker,0.21563,863,3421,0.20184,0.22941
1984,17-29 y.,West,Civil servant,0.03743,106,3421,0.03107,0.04379
1984,17-29 y.,West,White-collar worker,0.20664,604,3421,0.19307,0.22021
1984,17-29 y.,West,Apprentice/ Trainee/ Intern,0.34891,1105,3421,0.33293,0.36488
1984,17-29 y.,West,Not employed: Military/Community Service,0.01374,35,3421,0.00984,0.01764
1984,17-29 y.,West,Not employed: registered unemployed,0.05762,199,3421,0.04981,0.06543
1984,17-29 y.,West,Not employed: no further information,0.09642,438,3421,0.08653,0.10631
1984,30-45 y.,West,Self-employed,0.07583,267,3870,0.06749,0.08417
1984,30-45 y.,West,Blue-collar worker,0.26367,1397,3870,0.24979,0.27756
1984,30-45 y.,West,Civil servant,0.08350,246,3870,0.07478,0.09221
1984,30-45 y.,West,White-collar worker,0.31992,969,3870,0.30522,0.33461
1984,30-45 y.,West,Apprentice/ Trainee/ Intern,0.00945,33,3870,0.00640,0.01250
1984,30-45 y.,West,Not employed: registered unemployed,0.03097,127,3870,0.02551,0.03643
1984,30-45 y.,West,Not employed: no further information,0.20588,831,3870,0.19314,0.21862
1984,46-65 y.,West,Self-employed,0.07462,237,3546,0.06597,0.08327
1984,46-65 y.,West,Blue-collar worker,0.22679,1097,3546,0.21301,0.24058
1984,46-65 y.,West,Civil servant,0.04609,140,3546,0.03918,0.05299
1984,46-65 y.,West,White-collar worker,0.19973,611,3546,0.18656,0.21289
1984,46-65 y.,West,Not employed: Pensioner,0.22030,622,3546,0.20666,0.23395
1984,46-65 y.,West,Not employed: registered unemployed,0.02227,107,3546,0.01741,0.02713
1984,46-65 y.,West,Not employed: no further information,0.20759,732,3546,0.19424,0.22094
1984,66 and older,West,Not employed: Pensioner,0.89028,1109,1214,0.87270,0.90787
1984,66 and older,West,Not employed: no further information,0.07391,105,1214,0.05918,0.08863
1985,17-29 y.,West,Self-employed,0.02238,71,3130,0.01720,0.02756
1985,17-29 y.,West,Blue-collar worker,0.21955,800,3130,0.20504,0.23405
1985,17-29 y.,West,Civil servant,0.03669,94,3130,0.03010,0.04327
1985,17-29 y.,West,White-collar worker,0.20517,539,3130,0.19102,0.21932
1985,17-29 y.,West,Apprentice/ Trainee/ Intern,0.36774,1071,3130,0.35084,0.38463
1985,17-29 y.,West,Not employed: Military/Community Service,0.01467,39,3130,0.01046,0.01889
1985,17-29 y.,West,Not employed: registered unemployed,0.05812,195,3130,0.04992,0.06631
1985,17-29 y.,West,Not employed: no further information,0.07384,321,3130,0.06468,0.08300
1985,30-45 y.,West,Self-employed,0.07354,228,3417,0.06479,0.08230
1985,30-45 y.,West,Blue-collar worker,0.25148,1169,3417,0.23693,0.26603
1985,30-45 y.,West,Civil servant,0.08380,227,3417,0.07450,0.09309
1985,30-45 y.,West,White-collar worker,0.34013,939,3417,0.32424,0.35601
1985,30-45 y.,West,Not employed: registered unemployed,0.04990,168,3417,0.04260,0.05720
1985,30-45 y.,West,Not employed: no further information,0.18193,686,3417,0.16899,0.19486
1985,46-65 y.,West,Self-employed,0.07617,229,3300,0.06712,0.08523
1985,46-65 y.,West,Blue-collar worker,0.21619,963,3300,0.20214,0.23024
1985,46-65 y.,West,Civil servant,0.05039,145,3300,0.04292,0.05785
1985,46-65 y.,West,White-collar worker,0.20670,602,3300,0.19288,0.22051
1985,46-65 y.,West,Not employed: Pensioner,0.22443,588,3300,0.21019,0.23866
1985,46-65 y.,West,Not employed: registered unemployed,0.03707,140,3300,0.03062,0.04351
1985,46-65 y.,West,Not employed: no further information,0.18797,633,3300,0.17463,0.20130
1985,66 and older,West,Not employed: Pensioner,0.90708,985,1059,0.88959,0.92458
1985,66 and older,West,Not employed: no further information,0.05708,74,1059,0.04310,0.07106
1986,17-29 y.,West,Self-employed,0.02338,64,3039,0.01801,0.02875
1986,17-29 y.,West,Blue-collar worker,0.22613,802,3039,0.21126,0.24101
1986,17-29 y.,West,Civil servant,0.03966,92,3039,0.03272,0.04660
1986,17-29 y.,West,White-collar worker,0.21400,537,3039,0.19942,0.22859
1986,17-29 y.,West,Apprentice/ Trainee/ Intern,0.35296,1058,3039,0.33596,0.36995
