year,age_gr,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97686,183,183,0.95501,0.99870
1984,17-29 y.,Primary Level,Blue-collar worker,0.29898,70,172,0.23036,0.36759
1984,17-29 y.,Primary Level,Apprentice/ Trainee/ Intern,0.24353,36,172,0.17920,0.30787
1984,17-29 y.,Primary Level,Not employed: no further information,0.24068,66,172,0.17660,0.30475
1984,17-29 y.,Lower Secondary Level,Blue-collar worker,0.16100,247,1020,0.13844,0.18357
1984,17-29 y.,Lower Secondary Level,White-collar worker,0.06050,56,1020,0.04586,0.07514
1984,17-29 y.,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.60432,520,1020,0.57430,0.63434
1984,17-29 y.,Lower Secondary Level,Not employed: registered unemployed,0.05047,52,1020,0.03703,0.06391
1984,17-29 y.,Lower Secondary Level,Not employed: no further information,0.09575,145,1020,0.07768,0.11381
1984,17-29 y.,Upper Secondary Level,Self-employed,0.01967,34,1570,0.01279,0.02654
1984,17-29 y.,Upper Secondary Level,Blue-collar worker,0.28778,489,1570,0.26537,0.31018
1984,17-29 y.,Upper Secondary Level,Civil servant,0.04478,64,1570,0.03455,0.05501
1984,17-29 y.,Upper Secondary Level,White-collar worker,0.26871,387,1570,0.24678,0.29065
1984,17-29 y.,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.18756,301,1570,0.16824,0.20688
1984,17-29 y.,Upper Secondary Level,Not employed: registered unemployed,0.06569,108,1570,0.05343,0.07794
1984,17-29 y.,Upper Secondary Level,Not employed: no further information,0.10188,187,1570,0.08691,0.11684
1984,17-29 y.,Post-secondary Non-tertiary Level,White-collar worker,0.42522,45,77,0.31407,0.53637
1984,17-29 y.,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.26167,32,77,0.16285,0.36050
1984,17-29 y.,First Stage of Tertiary Education,White-collar worker,0.43195,57,57,0.30221,0.56169
1984,17-29 y.,Second Stage of Tertiary Education,White-collar worker,0.41921,52,52,0.28379,0.55463
1984,30-45 y.,Primary Level,Blue-collar worker,0.58159,241,368,0.53112,0.63206
1984,30-45 y.,Primary Level,Not employed: no further information,0.33821,127,368,0.28981,0.38662
1984,30-45 y.,Lower Secondary Level,Self-employed,0.04463,32,764,0.02998,0.05929
1984,30-45 y.,Lower Secondary Level,Blue-collar worker,0.43340,430,764,0.39824,0.46856
1984,30-45 y.,Lower Secondary Level,White-collar worker,0.09038,49,764,0.07003,0.11072
1984,30-45 y.,Lower Secondary Level,Not employed: no further information,0.37048,253,764,0.33622,0.40475
1984,30-45 y.,Upper Secondary Level,Self-employed,0.07324,138,1910,0.06155,0.08492
1984,30-45 y.,Upper Secondary Level,Blue-collar worker,0.27283,633,1910,0.25284,0.29281
1984,30-45 y.,Upper Secondary Level,Civil servant,0.05794,93,1910,0.04746,0.06842
1984,30-45 y.,Upper Secondary Level,White-collar worker,0.35014,606,1910,0.32874,0.37154
1984,30-45 y.,Upper Secondary Level,Not employed: registered unemployed,0.03248,67,1910,0.02453,0.04043
1984,30-45 y.,Upper Secondary Level,Not employed: no further information,0.19410,373,1910,0.17636,0.21184
1984,30-45 y.,Post-secondary Non-tertiary Level,Blue-collar worker,0.23192,42,76,0.13640,0.32745
1984,30-45 y.,Post-secondary Non-tertiary Level,White-collar worker,0.50146,34,76,0.38830,0.61462
1984,30-45 y.,First Stage of Tertiary Education,Self-employed,0.12729,33,193,0.08015,0.17444
1984,30-45 y.,First Stage of Tertiary Education,White-collar worker,0.50073,124,193,0.43001,0.57146
1984,30-45 y.,First Stage of Tertiary Education,Not employed: no further information,0.14097,36,193,0.09174,0.19019
1984,30-45 y.,Second Stage of Tertiary Education,Self-employed,0.11240,48,332,0.07837,0.14643
1984,30-45 y.,Second Stage of Tertiary Education,Civil servant,0.35826,133,332,0.30660,0.40992
1984,30-45 y.,Second Stage of Tertiary Education,White-collar worker,0.42145,151,332,0.36825,0.47464
1984,46-65 y.,Primary Level,Blue-collar worker,0.53487,228,322,0.48031,0.58944
1984,46-65 y.,Primary Level,Not employed: no further information,0.27998,94,322,0.23086,0.32909
1984,46-65 y.,Lower Secondary Level,Self-employed,0.04763,51,1076,0.03490,0.06037
1984,46-65 y.,Lower Secondary Level,Blue-collar worker,0.25552,347,1076,0.22945,0.28159
1984,46-65 y.,Lower Secondary Level,White-collar worker,0.07992,76,1076,0.06371,0.09613
1984,46-65 y.,Lower Secondary Level,Not employed: Pensioner,0.23808,213,1076,0.21262,0.26355
1984,46-65 y.,Lower Secondary Level,Not employed: registered unemployed,0.02488,32,1076,0.01557,0.03419
1984,46-65 y.,Lower Secondary Level,Not employed: no further information,0.34582,357,1076,0.31739,0.37425
1984,46-65 y.,Upper Secondary Level,Self-employed,0.06703,100,1577,0.05468,0.07937
1984,46-65 y.,Upper Secondary Level,Blue-collar worker,0.25360,483,1577,0.23212,0.27508
1984,46-65 y.,Upper Secondary Level,Civil servant,0.04281,65,1577,0.03282,0.05281
1984,46-65 y.,Upper Secondary Level,White-collar worker,0.22649,337,1577,0.20583,0.24716
1984,46-65 y.,Upper Secondary Level,Not employed: Pensioner,0.22708,309,1577,0.20640,0.24776
1984,46-65 y.,Upper Secondary Level,Not employed: registered unemployed,0.02020,39,1577,0.01326,0.02715
1984,46-65 y.,Upper Secondary Level,Not employed: no further information,0.15887,244,1577,0.14082,0.17692
1984,46-65 y.,First Stage of Tertiary Education,Self-employed,0.15876,32,153,0.10066,0.21686
1984,46-65 y.,First Stage of Tertiary Education,White-collar worker,0.37384,80,153,0.29693,0.45076
1984,46-65 y.,First Stage of Tertiary Education,Not employed: Pensioner,0.22805,41,153,0.16135,0.29475
1984,46-65 y.,Second Stage of Tertiary Education,Self-employed,0.13978,31,174,0.08810,0.19145
1984,46-65 y.,Second Stage of Tertiary Education,Civil servant,0.25468,55,174,0.18975,0.31960
1984,46-65 y.,Second Stage of Tertiary Education,White-collar worker,0.39925,88,174,0.32627,0.47223
1984,66 and older,Lower Secondary Level,Not employed: Pensioner,0.86848,439,501,0.83885,0.89810
1984,66 and older,Lower Secondary Level,Not employed: no further information,0.10796,62,501,0.08076,0.13516
1984,66 and older,Upper Secondary Level,Not employed: Pensioner,0.90946,515,550,0.88546,0.93347
1984,66 and older,Upper Secondary Level,Not employed: no further information,0.05555,35,550,0.03639,0.07471
1984,66 and older,First Stage of Tertiary Education,Not employed: Pensioner,0.88308,72,72,0.80833,0.95782
1984,66 and older,Second Stage of Tertiary Education,Not employed: Pensioner,0.91280,54,54,0.83685,0.98876
1985,17-29 y.,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97210,182,182,0.94810,0.99609
1985,17-29 y.,Primary Level,Blue-collar worker,0.31591,55,110,0.22863,0.40318
1985,17-29 y.,Primary Level,Not employed: no further information,0.23285,55,110,0.15350,0.31219
1985,17-29 y.,Lower Secondary Level,Blue-collar worker,0.16709,232,933,0.14314,0.19104
1985,17-29 y.,Lower Secondary Level,White-collar worker,0.07506,59,933,0.05814,0.09198
1985,17-29 y.,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.59945,482,933,0.56799,0.63091
1985,17-29 y.,Lower Secondary Level,Not employed: registered unemployed,0.05348,62,933,0.03904,0.06793
1985,17-29 y.,Lower Secondary Level,Not employed: no further information,0.07299,98,933,0.05629,0.08969
1985,17-29 y.,Upper Secondary Level,Self-employed,0.02404,36,1402,0.01602,0.03206
1985,17-29 y.,Upper Secondary Level,Blue-collar worker,0.29552,448,1402,0.27162,0.31941
1985,17-29 y.,Upper Secondary Level,Civil servant,0.04691,62,1402,0.03583,0.05798
1985,17-29 y.,Upper Secondary Level,White-collar worker,0.27364,342,1402,0.25030,0.29699
1985,17-29 y.,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.19731,295,1402,0.17647,0.21815
1985,17-29 y.,Upper Secondary Level,Not employed: registered unemployed,0.06279,91,1402,0.05009,0.07549
1985,17-29 y.,Upper Secondary Level,Not employed: no further information,0.07705,128,1402,0.06309,0.09102
1985,17-29 y.,Post-secondary Non-tertiary Level,White-collar worker,0.39029,36,67,0.27260,0.50798
1985,17-29 y.,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.28166,31,67,0.17314,0.39018
1985,17-29 y.,First Stage of Tertiary Education,White-collar worker,0.35248,40,40,0.20254,0.50242
1985,17-29 y.,Second Stage of Tertiary Education,White-collar worker,0.50157,56,56,0.36942,0.63371
1985,30-45 y.,Primary Level,Blue-collar worker,0.47528,172,280,0.41668,0.53388
1985,30-45 y.,Primary Level,Not employed: no further information,0.36320,108,280,0.30677,0.41963
1985,30-45 y.,Lower Secondary Level,Blue-collar worker,0.43510,361,648,0.39690,0.47330
1985,30-45 y.,Lower Secondary Level,White-collar worker,0.11908,59,648,0.09412,0.14404
1985,30-45 y.,Lower Secondary Level,Not employed: registered unemployed,0.06748,38,648,0.04815,0.08681
1985,30-45 y.,Lower Secondary Level,Not employed: no further information,0.31631,190,648,0.28048,0.35215
1985,30-45 y.,Upper Secondary Level,Self-employed,0.07107,118,1732,0.05897,0.08318
1985,30-45 y.,Upper Secondary Level,Blue-collar worker,0.26740,558,1732,0.24655,0.28825
1985,30-45 y.,Upper Secondary Level,Civil servant,0.06087,93,1732,0.04961,0.07213
1985,30-45 y.,Upper Secondary Level,White-collar worker,0.36160,564,1732,0.33897,0.38424
1985,30-45 y.,Upper Secondary Level,Not employed: registered unemployed,0.05030,85,1732,0.04000,0.06059
1985,30-45 y.,Upper Secondary Level,Not employed: no further information,0.17257,314,1732,0.15477,0.19037
1985,30-45 y.,Post-secondary Non-tertiary Level,Blue-collar worker,0.23470,34,34,0.09010,0.37931
1985,30-45 y.,First Stage of Tertiary Education,White-collar worker,0.53805,122,154,0.45905,0.61705
1985,30-45 y.,First Stage of Tertiary Education,Not employed: no further information,0.13174,32,154,0.07815,0.18533
1985,30-45 y.,Second Stage of Tertiary Education,Self-employed,0.11430,43,313,0.07899,0.14960
1985,30-45 y.,Second Stage of Tertiary Education,Civil servant,0.32168,116,313,0.26985,0.37351
1985,30-45 y.,Second Stage of Tertiary Education,White-collar worker,0.42952,154,313,0.37459,0.48444
1985,46-65 y.,Primary Level,Blue-collar worker,0.54376,199,272,0.48446,0.60307
1985,46-65 y.,Primary Level,Not employed: no further information,0.19842,73,272,0.15094,0.24590
1985,46-65 y.,Lower Secondary Level,Self-employed,0.04596,46,991,0.03291,0.05900
1985,46-65 y.,Lower Secondary Level,Blue-collar worker,0.26480,322,991,0.23732,0.29229
1985,46-65 y.,Lower Secondary Level,White-collar worker,0.07947,78,991,0.06262,0.09632
1985,46-65 y.,Lower Secondary Level,Not employed: Pensioner,0.24973,203,991,0.22277,0.27670
1985,46-65 y.,Lower Secondary Level,Not employed: registered unemployed,0.03420,37,991,0.02288,0.04553
