year,age_gr,bula_h,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Schleswig-Holstein,Apprentice/ Trainee/ Intern,0.34483,33,33,0.18014,0.50951
1984,17-29 y.,Lower Saxony,Blue-collar worker,0.16244,61,288,0.11976,0.20511
1984,17-29 y.,Lower Saxony,White-collar worker,0.13485,42,288,0.09533,0.17437
1984,17-29 y.,Lower Saxony,Apprentice/ Trainee/ Intern,0.46427,148,288,0.40657,0.52197
1984,17-29 y.,Lower Saxony,Not employed: no further information,0.08794,37,288,0.05518,0.12071
1984,17-29 y.,North Rhine-Westphalia,Blue-collar worker,0.19706,217,906,0.17115,0.22298
1984,17-29 y.,North Rhine-Westphalia,White-collar worker,0.20134,160,906,0.17521,0.22747
1984,17-29 y.,North Rhine-Westphalia,Apprentice/ Trainee/ Intern,0.36564,336,906,0.33426,0.39702
1984,17-29 y.,North Rhine-Westphalia,Not employed: registered unemployed,0.06209,63,906,0.04637,0.07781
1984,17-29 y.,North Rhine-Westphalia,Not employed: no further information,0.09914,130,906,0.07967,0.11862
1984,17-29 y.,Hesse,Blue-collar worker,0.17812,91,323,0.13633,0.21991
1984,17-29 y.,Hesse,White-collar worker,0.21521,68,323,0.17033,0.26010
1984,17-29 y.,Hesse,Apprentice/ Trainee/ Intern,0.34231,107,323,0.29048,0.39413
1984,17-29 y.,Hesse,Not employed: no further information,0.11506,57,323,0.08021,0.14992
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.26134,68,182,0.19733,0.32535
1984,17-29 y.,"Rhineland-Palatinate, Saarland",White-collar worker,0.16323,37,182,0.10939,0.21707
1984,17-29 y.,"Rhineland-Palatinate, Saarland",Apprentice/ Trainee/ Intern,0.31660,77,182,0.24883,0.38436
1984,17-29 y.,Baden-Wuerttemberg,Blue-collar worker,0.28744,223,598,0.25113,0.32374
1984,17-29 y.,Baden-Wuerttemberg,White-collar worker,0.20376,103,598,0.17145,0.23607
1984,17-29 y.,Baden-Wuerttemberg,Apprentice/ Trainee/ Intern,0.32026,175,598,0.28283,0.35769
1984,17-29 y.,Baden-Wuerttemberg,Not employed: no further information,0.10579,97,598,0.08111,0.13046
1984,17-29 y.,Bavaria,Blue-collar worker,0.23554,138,526,0.19924,0.27184
1984,17-29 y.,Bavaria,White-collar worker,0.24148,125,526,0.20487,0.27809
1984,17-29 y.,Bavaria,Apprentice/ Trainee/ Intern,0.30092,172,526,0.26169,0.34016
1984,17-29 y.,Bavaria,Not employed: registered unemployed,0.06370,37,526,0.04281,0.08459
1984,17-29 y.,Bavaria,Not employed: no further information,0.07737,54,526,0.05451,0.10022
1984,30-45 y.,Schleswig-Holstein,Blue-collar worker,0.20069,33,84,0.11453,0.28686
1984,30-45 y.,Schleswig-Holstein,White-collar worker,0.37722,51,84,0.27295,0.48150
1984,30-45 y.,Hamburg,Blue-collar worker,0.19385,39,85,0.10931,0.27839
1984,30-45 y.,Hamburg,White-collar worker,0.52255,46,85,0.41573,0.62937
1984,30-45 y.,Lower Saxony,Self-employed,0.11701,42,342,0.08289,0.15113
1984,30-45 y.,Lower Saxony,Blue-collar worker,0.23891,111,342,0.19365,0.28417
1984,30-45 y.,Lower Saxony,White-collar worker,0.32144,108,342,0.27187,0.37101
1984,30-45 y.,Lower Saxony,Not employed: no further information,0.19477,81,342,0.15273,0.23680
1984,30-45 y.,North Rhine-Westphalia,Self-employed,0.05342,59,1078,0.03999,0.06684
1984,30-45 y.,North Rhine-Westphalia,Blue-collar worker,0.24868,356,1078,0.22287,0.27450
1984,30-45 y.,North Rhine-Westphalia,Civil servant,0.09269,79,1078,0.07537,0.11001
1984,30-45 y.,North Rhine-Westphalia,White-collar worker,0.31225,264,1078,0.28458,0.33993
1984,30-45 y.,North Rhine-Westphalia,Not employed: registered unemployed,0.03888,44,1078,0.02734,0.05043
1984,30-45 y.,North Rhine-Westphalia,Not employed: no further information,0.23692,276,1078,0.21152,0.26231
1984,30-45 y.,Hesse,Blue-collar worker,0.31923,151,305,0.26683,0.37164
1984,30-45 y.,Hesse,White-collar worker,0.33115,90,305,0.27825,0.38406
1984,30-45 y.,Hesse,Not employed: no further information,0.14756,64,305,0.10769,0.18743
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.28232,73,175,0.21543,0.34920
1984,30-45 y.,"Rhineland-Palatinate, Saarland",White-collar worker,0.27034,47,175,0.20434,0.33633
1984,30-45 y.,"Rhineland-Palatinate, Saarland",Not employed: no further information,0.26455,55,175,0.19901,0.33009
1984,30-45 y.,Baden-Wuerttemberg,Self-employed,0.05933,40,713,0.04197,0.07668
1984,30-45 y.,Baden-Wuerttemberg,Blue-collar worker,0.31157,336,713,0.27755,0.34559
1984,30-45 y.,Baden-Wuerttemberg,Civil servant,0.09508,47,713,0.07353,0.11662
1984,30-45 y.,Baden-Wuerttemberg,White-collar worker,0.28862,143,713,0.25533,0.32190
1984,30-45 y.,Baden-Wuerttemberg,Not employed: no further information,0.20564,147,713,0.17595,0.23532
1984,30-45 y.,Bavaria,Self-employed,0.09709,53,649,0.07430,0.11989
1984,30-45 y.,Bavaria,Blue-collar worker,0.24933,230,649,0.21602,0.28264
1984,30-45 y.,Bavaria,Civil servant,0.08145,43,649,0.06039,0.10251
1984,30-45 y.,Bavaria,White-collar worker,0.32098,180,649,0.28504,0.35693
1984,30-45 y.,Bavaria,Not employed: no further information,0.21715,143,649,0.18541,0.24890
1984,30-45 y.,Berlin,Blue-collar worker,0.32137,58,93,0.22594,0.41680
1984,30-45 y.,Berlin,White-collar worker,0.32521,35,93,0.22949,0.42094
1984,46-65 y.,Lower Saxony,Blue-collar worker,0.23565,95,300,0.18754,0.28376
1984,46-65 y.,Lower Saxony,White-collar worker,0.17719,61,300,0.13391,0.22047
1984,46-65 y.,Lower Saxony,Not employed: Pensioner,0.23236,70,300,0.18449,0.28023
1984,46-65 y.,Lower Saxony,Not employed: no further information,0.20523,74,300,0.15945,0.25101
1984,46-65 y.,North Rhine-Westphalia,Self-employed,0.07356,64,854,0.05604,0.09108
1984,46-65 y.,North Rhine-Westphalia,Blue-collar worker,0.22204,279,854,0.19415,0.24993
1984,46-65 y.,North Rhine-Westphalia,White-collar worker,0.17745,139,854,0.15181,0.20309
1984,46-65 y.,North Rhine-Westphalia,Not employed: Pensioner,0.23114,160,854,0.20285,0.25943
1984,46-65 y.,North Rhine-Westphalia,Not employed: no further information,0.23093,212,854,0.20265,0.25921
1984,46-65 y.,Hesse,Blue-collar worker,0.21167,122,346,0.16856,0.25477
1984,46-65 y.,Hesse,White-collar worker,0.22698,75,346,0.18278,0.27118
1984,46-65 y.,Hesse,Not employed: Pensioner,0.25063,78,346,0.20490,0.29636
1984,46-65 y.,Hesse,Not employed: no further information,0.17115,71,346,0.13140,0.21089
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Blue-collar worker,0.21769,78,245,0.16591,0.26947
1984,46-65 y.,"Rhineland-Palatinate, Saarland",White-collar worker,0.14524,37,245,0.10103,0.18945
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Not employed: Pensioner,0.21073,54,245,0.15956,0.26191
1984,46-65 y.,"Rhineland-Palatinate, Saarland",Not employed: no further information,0.27608,76,245,0.21999,0.33218
