year,sex,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,male,Self-employed,0.06009,407,5941,0.05404,0.06613
1984,male,Blue-collar worker,0.24679,2372,5941,0.23583,0.25776
1984,male,Civil servant,0.06287,386,5941,0.05670,0.06904
1984,male,White-collar worker,0.16133,1011,5941,0.15198,0.17068
1984,male,Apprentice/ Trainee/ Intern,0.08454,643,5941,0.07746,0.09161
1984,male,Not employed: Pensioner,0.15183,744,5941,0.14271,0.16096
1984,male,Not employed: Military/Community Service,0.00578,34,5941,0.00385,0.00771
1984,male,Not employed: registered unemployed,0.02916,248,5941,0.02488,0.03344
1984,male,Not employed: no further information,0.00913,96,5941,0.00671,0.01155
1984,female,Self-employed,0.02546,195,6200,0.02154,0.02938
1984,female,Blue-collar worker,0.08462,997,6200,0.07769,0.09154
1984,female,Civil servant,0.01513,106,6200,0.01210,0.01817
1984,female,White-collar worker,0.16910,1182,6200,0.15977,0.17844
1984,female,Apprentice/ Trainee/ Intern,0.06561,503,6200,0.05945,0.07178
1984,female,Not employed: Pensioner,0.21875,1021,6200,0.20846,0.22904
1984,female,Not employed: registered unemployed,0.02009,186,6200,0.01660,0.02359
1984,female,Not employed: no further information,0.23878,2010,6200,0.22816,0.24939
1985,male,Self-employed,0.05957,358,5404,0.05326,0.06588
1985,male,Blue-collar worker,0.23547,2043,5404,0.22416,0.24678
1985,male,Civil servant,0.06573,370,5404,0.05913,0.07234
1985,male,White-collar worker,0.16555,959,5404,0.15564,0.17546
1985,male,Apprentice/ Trainee/ Intern,0.09339,629,5404,0.08563,0.10115
1985,male,Not employed: Pensioner,0.15414,663,5404,0.14451,0.16377
1985,male,Not employed: Military/Community Service,0.00654,39,5404,0.00439,0.00869
1985,male,Not employed: registered unemployed,0.03905,280,5404,0.03388,0.04421
1985,male,Not employed: no further information,0.00658,63,5404,0.00443,0.00874
1985,female,Self-employed,0.02899,198,5601,0.02460,0.03339
1985,female,Blue-collar worker,0.08948,898,5601,0.08200,0.09696
1985,female,Civil servant,0.01538,97,5601,0.01215,0.01860
1985,female,White-collar worker,0.17834,1126,5601,0.16831,0.18836
1985,female,Apprentice/ Trainee/ Intern,0.06782,468,5601,0.06123,0.07440
1985,female,Not employed: Pensioner,0.23031,940,5601,0.21928,0.24134
1985,female,Not employed: registered unemployed,0.02731,223,5601,0.02304,0.03158
1985,female,Not employed: no further information,0.20987,1651,5601,0.19921,0.22054
1986,male,Self-employed,0.05897,341,5220,0.05258,0.06536
1986,male,Blue-collar worker,0.23976,1993,5220,0.22818,0.25134
1986,male,Civil servant,0.06482,355,5220,0.05814,0.07150
1986,male,White-collar worker,0.16364,899,5220,0.15360,0.17367
1986,male,Apprentice/ Trainee/ Intern,0.09288,628,5220,0.08501,0.10076
1986,male,Not employed: Pensioner,0.15769,655,5220,0.14781,0.16758
1986,male,Not employed: Military/Community Service,0.00909,49,5220,0.00651,0.01166
1986,male,Not employed: registered unemployed,0.03191,230,5220,0.02714,0.03668
1986,male,Not employed: no further information,0.00814,70,5220,0.00570,0.01058
1986,female,Self-employed,0.02965,192,5345,0.02510,0.03420
1986,female,Blue-collar worker,0.08842,855,5345,0.08081,0.09603
1986,female,Civil servant,0.01518,92,5345,0.01191,0.01846
1986,female,White-collar worker,0.18108,1098,5345,0.17075,0.19140
1986,female,Apprentice/ Trainee/ Intern,0.06338,466,5345,0.05685,0.06991
1986,female,Not employed: Pensioner,0.22970,868,5345,0.21842,0.24098
1986,female,Not employed: registered unemployed,0.02954,231,5345,0.02500,0.03408
1986,female,Not employed: no further information,0.20774,1543,5345,0.19686,0.21862
1987,male,Self-employed,0.05798,331,5164,0.05160,0.06435
1987,male,Blue-collar worker,0.24457,1965,5164,0.23284,0.25629
1987,male,Civil servant,0.06477,351,5164,0.05806,0.07148
1987,male,White-collar worker,0.16811,908,5164,0.15791,0.17831
1987,male,Apprentice/ Trainee/ Intern,0.08005,606,5164,0.07265,0.08745
1987,male,Not employed: Pensioner,0.15555,637,5164,0.14566,0.16544
1987,male,Not employed: Military/Community Service,0.01023,53,5164,0.00748,0.01297
1987,male,Not employed: registered unemployed,0.03325,249,5164,0.02836,0.03815
1987,male,Not employed: no further information,0.00762,64,5164,0.00524,0.00999
1987,female,Self-employed,0.03145,201,5266,0.02673,0.03616
1987,female,Blue-collar worker,0.09478,865,5266,0.08687,0.10269
1987,female,Civil servant,0.01580,92,5266,0.01243,0.01917
1987,female,White-collar worker,0.18232,1083,5266,0.17189,0.19275
1987,female,Apprentice/ Trainee/ Intern,0.06149,477,5266,0.05500,0.06798
1987,female,Not employed: Pensioner,0.22728,858,5266,0.21596,0.23860
1987,female,Not employed: registered unemployed,0.02862,222,5266,0.02412,0.03312
1987,female,Not employed: no further information,0.20226,1468,5266,0.19141,0.21311
1988,male,Self-employed,0.05663,313,4922,0.05017,0.06308
1988,male,Blue-collar worker,0.23635,1831,4922,0.22448,0.24822
1988,male,Civil servant,0.06322,323,4922,0.05642,0.07002
1988,male,White-collar worker,0.17675,899,4922,0.16609,0.18741
1988,male,Apprentice/ Trainee/ Intern,0.08009,550,4922,0.07251,0.08767
1988,male,Not employed: Pensioner,0.15677,631,4922,0.14661,0.16693
1988,male,Not employed: Military/Community Service,0.01035,54,4922,0.00752,0.01318
1988,male,Not employed: registered unemployed,0.03443,246,4922,0.02933,0.03952
1988,male,Not employed: no further information,0.00920,75,4922,0.00654,0.01187
1988,female,Self-employed,0.03134,188,5029,0.02652,0.03615
1988,female,Blue-collar worker,0.09117,824,5029,0.08321,0.09913
1988,female,Civil servant,0.01685,87,5029,0.01329,0.02040
1988,female,White-collar worker,0.19007,1050,5029,0.17922,0.20091
1988,female,Apprentice/ Trainee/ Intern,0.05865,443,5029,0.05215,0.06514
1988,female,Not employed: Pensioner,0.22883,826,5029,0.21722,0.24044
1988,female,Not employed: registered unemployed,0.02976,211,5029,0.02506,0.03445
1988,female,Not employed: no further information,0.19577,1400,5029,0.18480,0.20674
1989,male,Self-employed,0.05328,284,4751,0.04689,0.05967
1989,male,Blue-collar worker,0.23544,1784,4751,0.22338,0.24751
1989,male,Civil servant,0.06069,301,4751,0.05390,0.06748
1989,male,White-collar worker,0.18664,927,4751,0.17556,0.19772
1989,male,Apprentice/ Trainee/ Intern,0.08516,522,4751,0.07723,0.09310
1989,male,Not employed: Pensioner,0.15577,608,4751,0.14546,0.16608
1989,male,Not employed: Military/Community Service,0.00804,47,4751,0.00550,0.01058
1989,male,Not employed: registered unemployed,0.02527,172,4751,0.02080,0.02973
1989,male,Not employed: no further information,0.01379,106,4751,0.01048,0.01711
1989,female,Self-employed,0.02899,175,4891,0.02429,0.03369
1989,female,Blue-collar worker,0.09117,809,4891,0.08310,0.09924
1989,female,Civil servant,0.01705,83,4891,0.01342,0.02068
1989,female,White-collar worker,0.20196,1093,4891,0.19070,0.21321
1989,female,Apprentice/ Trainee/ Intern,0.05555,404,4891,0.04913,0.06197
1989,female,Not employed: Pensioner,0.23434,834,4891,0.22247,0.24622
1989,female,Not employed: registered unemployed,0.02318,152,4891,0.01896,0.02739
1989,female,Not employed: no further information,0.19240,1341,4891,0.18135,0.20345
1990,male,Self-employed,0.05022,363,6745,0.04500,0.05543
1990,male,Blue-collar worker,0.26484,2806,6745,0.25431,0.27537
1990,male,Civil servant,0.04855,289,6745,0.04342,0.05368
1990,male,White-collar worker,0.18737,1463,6745,0.17806,0.19668
1990,male,Apprentice/ Trainee/ Intern,0.07432,628,6745,0.06806,0.08058
1990,male,Not employed: Pensioner,0.14264,830,6745,0.13429,0.15099
1990,male,Not employed: Military/Community Service,0.00935,77,6745,0.00705,0.01164
1990,male,Not employed: registered unemployed,0.02026,173,6745,0.01690,0.02363
1990,male,Not employed: no further information,0.01239,116,6745,0.00975,0.01503
1990,female,Self-employed,0.02426,203,7092,0.02068,0.02784
1990,female,Blue-collar worker,0.10695,1295,7092,0.09976,0.11414
1990,female,Civil servant,0.01461,88,7092,0.01182,0.01740
1990,female,White-collar worker,0.23078,2133,7092,0.22098,0.24059
1990,female,Apprentice/ Trainee/ Intern,0.05075,507,7092,0.04564,0.05586
1990,female,Not employed: Pensioner,0.22676,1284,7092,0.21702,0.23651
1990,female,Not employed: registered unemployed,0.01649,143,7092,0.01352,0.01945
1990,female,Not employed: no further information,0.15934,1439,7092,0.15082,0.16786
1991,male,Self-employed,0.05336,401,6619,0.04794,0.05877
1991,male,Blue-collar worker,0.25406,2611,6619,0.24357,0.26455
1991,male,Civil servant,0.04971,315,6619,0.04447,0.05495
1991,male,White-collar worker,0.18440,1362,6619,0.17506,0.19375
