year,migback,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Self-employed,0.04394,476,8655,0.03962,0.04826
1984,No migration background,Blue-collar worker,0.14569,1570,8655,0.13826,0.15312
1984,No migration background,Civil servant,0.04138,463,8655,0.03718,0.04558
1984,No migration background,White-collar worker,0.17569,1961,8655,0.16767,0.18371
1984,No migration background,Apprentice/ Trainee/ Intern,0.07749,858,8655,0.07185,0.08312
1984,No migration background,Not employed: Pensioner,0.20257,1652,8655,0.19410,0.21103
1984,No migration background,Not employed: Military/Community Service,0.00297,31,8655,0.00183,0.00412
1984,No migration background,Not employed: registered unemployed,0.02233,234,8655,0.01922,0.02544
1984,No migration background,Not employed: no further information,0.12843,1410,8655,0.12138,0.13548
1984,Direct migration background,Self-employed,0.03229,118,3330,0.02628,0.03829
1984,Direct migration background,Blue-collar worker,0.36969,1780,3330,0.35329,0.38608
1984,Direct migration background,White-collar worker,0.10603,217,3330,0.09557,0.11649
1984,Direct migration background,Apprentice/ Trainee/ Intern,0.05901,233,3330,0.05101,0.06702
1984,Direct migration background,Not employed: Pensioner,0.07813,108,3330,0.06901,0.08725
1984,Direct migration background,Not employed: registered unemployed,0.05233,195,3330,0.04476,0.05989
1984,Direct migration background,Not employed: no further information,0.17049,679,3330,0.15771,0.18326
1984,Indirect migration background,Apprentice/ Trainee/ Intern,0.03160,55,55,-0.01506,0.07825
1985,No migration background,Self-employed,0.04590,456,7965,0.04130,0.05050
1985,No migration background,Blue-collar worker,0.14352,1416,7965,0.13582,0.15122
1985,No migration background,Civil servant,0.04318,446,7965,0.03872,0.04765
1985,No migration background,White-collar worker,0.18220,1847,7965,0.17372,0.19067
1985,No migration background,Apprentice/ Trainee/ Intern,0.08324,837,7965,0.07717,0.08931
1985,No migration background,Not employed: Pensioner,0.20808,1478,7965,0.19917,0.21700
1985,No migration background,Not employed: Military/Community Service,0.00350,37,7965,0.00220,0.00480
1985,No migration background,Not employed: registered unemployed,0.03125,296,7965,0.02743,0.03507
1985,No migration background,Not employed: no further information,0.11180,1152,7965,0.10488,0.11872
1985,Direct migration background,Self-employed,0.03307,96,2879,0.02654,0.03960
1985,Direct migration background,Blue-collar worker,0.36612,1503,2879,0.34852,0.38372
1985,Direct migration background,White-collar worker,0.11447,221,2879,0.10284,0.12610
1985,Direct migration background,Apprentice/ Trainee/ Intern,0.06111,195,2879,0.05236,0.06986
1985,Direct migration background,Not employed: Pensioner,0.10691,121,2879,0.09562,0.11820
1985,Direct migration background,Not employed: registered unemployed,0.05844,200,2879,0.04987,0.06701
1985,Direct migration background,Not employed: no further information,0.15725,543,2879,0.14395,0.17055
1985,Indirect migration background,Apprentice/ Trainee/ Intern,0.03744,65,65,-0.00907,0.08396
1986,No migration background,Self-employed,0.04514,430,7592,0.04047,0.04981
1986,No migration background,Blue-collar worker,0.14537,1376,7592,0.13744,0.15330
1986,No migration background,Civil servant,0.04277,422,7592,0.03822,0.04732
1986,No migration background,White-collar worker,0.18391,1765,7592,0.17520,0.19263
1986,No migration background,Apprentice/ Trainee/ Intern,0.08087,815,7592,0.07474,0.08701
1986,No migration background,Not employed: Pensioner,0.20903,1382,7592,0.19988,0.21818
1986,No migration background,Not employed: Military/Community Service,0.00492,47,7592,0.00335,0.00649
1986,No migration background,Not employed: registered unemployed,0.02908,266,7592,0.02530,0.03286
1986,No migration background,Not employed: no further information,0.11139,1089,7592,0.10431,0.11846
1986,Direct migration background,Self-employed,0.04040,98,2797,0.03310,0.04769
1986,Direct migration background,Blue-collar worker,0.35803,1446,2797,0.34025,0.37580
1986,Direct migration background,White-collar worker,0.11311,209,2797,0.10137,0.12484
1986,Direct migration background,Apprentice/ Trainee/ Intern,0.05784,207,2797,0.04919,0.06649
1986,Direct migration background,Not employed: Pensioner,0.12287,137,2797,0.11071,0.13504
1986,Direct migration background,Not employed: registered unemployed,0.05512,191,2797,0.04666,0.06358
1986,Direct migration background,Not employed: no further information,0.15683,509,2797,0.14335,0.17031
1986,Indirect migration background,Apprentice/ Trainee/ Intern,0.03887,72,72,-0.00609,0.08384
1987,No migration background,Self-employed,0.04569,425,7452,0.04095,0.05044
1987,No migration background,Blue-collar worker,0.15080,1389,7452,0.14267,0.15893
1987,No migration background,Civil servant,0.04361,420,7452,0.03898,0.04825
1987,No migration background,White-collar worker,0.18801,1748,7452,0.17914,0.19688
1987,No migration background,Apprentice/ Trainee/ Intern,0.07297,792,7452,0.06707,0.07888
1987,No migration background,Not employed: Pensioner,0.20725,1343,7452,0.19804,0.21645
1987,No migration background,Not employed: Military/Community Service,0.00549,50,7452,0.00381,0.00717
1987,No migration background,Not employed: registered unemployed,0.02903,261,7452,0.02522,0.03284
1987,No migration background,Not employed: no further information,0.10754,1024,7452,0.10050,0.11457
1987,Direct migration background,Self-employed,0.04174,102,2782,0.03431,0.04918
1987,Direct migration background,Blue-collar worker,0.36788,1410,2782,0.34996,0.38580
1987,Direct migration background,White-collar worker,0.11375,219,2782,0.10195,0.12555
1987,Direct migration background,Apprentice/ Trainee/ Intern,0.06058,215,2782,0.05171,0.06945
1987,Direct migration background,Not employed: Pensioner,0.12264,148,2782,0.11045,0.13484
1987,Direct migration background,Not employed: registered unemployed,0.05592,201,2782,0.04738,0.06446
1987,Direct migration background,Not employed: no further information,0.15413,487,2782,0.14071,0.16755
1987,Indirect migration background,Blue-collar worker,0.02549,31,107,-0.00451,0.05550
1987,Indirect migration background,Apprentice/ Trainee/ Intern,0.03131,76,107,-0.00184,0.06446
1988,No migration background,Self-employed,0.04552,403,7067,0.04066,0.05038
1988,No migration background,Blue-collar worker,0.14591,1282,7067,0.13768,0.15414
1988,No migration background,Civil servant,0.04355,397,7067,0.03879,0.04831
1988,No migration background,White-collar worker,0.19654,1710,7067,0.18727,0.20580
1988,No migration background,Apprentice/ Trainee/ Intern,0.07106,716,7067,0.06507,0.07705
1988,No migration background,Not employed: Pensioner,0.20752,1292,7067,0.19807,0.21698
1988,No migration background,Not employed: Military/Community Service,0.00555,50,7067,0.00382,0.00729
1988,No migration background,Not employed: registered unemployed,0.03008,249,7067,0.02610,0.03406
1988,No migration background,Not employed: no further information,0.10440,968,7067,0.09727,0.11153
1988,Direct migration background,Self-employed,0.03710,91,2649,0.02990,0.04430
1988,Direct migration background,Blue-collar worker,0.35681,1318,2649,0.33857,0.37506
1988,Direct migration background,White-collar worker,0.12091,215,2649,0.10849,0.13333
1988,Direct migration background,Apprentice/ Trainee/ Intern,0.05710,181,2649,0.04826,0.06594
1988,Direct migration background,Not employed: Pensioner,0.13418,161,2649,0.12120,0.14716
1988,Direct migration background,Not employed: registered unemployed,0.05983,201,2649,0.05079,0.06886
1988,Direct migration background,Not employed: no further information,0.15478,482,2649,0.14100,0.16856
1988,Indirect migration background,Blue-collar worker,0.03863,55,151,0.00779,0.06948
1988,Indirect migration background,Apprentice/ Trainee/ Intern,0.04803,96,151,0.01381,0.08225
1989,No migration background,Self-employed,0.04317,379,6803,0.03834,0.04800
1989,No migration background,Blue-collar worker,0.14388,1228,6803,0.13554,0.15222
1989,No migration background,Civil servant,0.04288,374,6803,0.03806,0.04769
1989,No migration background,White-collar worker,0.20989,1762,6803,0.20021,0.21957
1989,No migration background,Apprentice/ Trainee/ Intern,0.07247,665,6803,0.06631,0.07863
1989,No migration background,Not employed: Pensioner,0.20925,1256,6803,0.19958,0.21892
1989,No migration background,Not employed: Military/Community Service,0.00433,46,6803,0.00277,0.00589
1989,No migration background,Not employed: registered unemployed,0.02257,190,6803,0.01904,0.02610
1989,No migration background,Not employed: no further information,0.10314,903,6803,0.09591,0.11036
1989,Direct migration background,Self-employed,0.02868,72,2573,0.02223,0.03513
1989,Direct migration background,Blue-collar worker,0.36437,1308,2573,0.34577,0.38297
