year,regtyp,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Self-employed,0.03908,393,8614,0.03498,0.04317
1985,Urban regions,Blue-collar worker,0.16237,2391,8614,0.15459,0.17016
1985,Urban regions,Civil servant,0.03832,343,8614,0.03427,0.04238
1985,Urban regions,White-collar worker,0.18390,1686,8614,0.17572,0.19208
1985,Urban regions,Apprentice/ Trainee/ Intern,0.08015,867,8614,0.07441,0.08588
1985,Urban regions,Not employed: Pensioner,0.18997,1196,8614,0.18169,0.19826
1985,Urban regions,Not employed: registered unemployed,0.03084,380,8614,0.02719,0.03449
1985,Urban regions,Not employed: no further information,0.11324,1358,8614,0.10654,0.11993
1985,Rural regions,Self-employed,0.05709,163,2352,0.04771,0.06646
1985,Rural regions,Blue-collar worker,0.14931,550,2352,0.13490,0.16372
1985,Rural regions,Civil servant,0.04261,124,2352,0.03444,0.05077
1985,Rural regions,White-collar worker,0.13725,399,2352,0.12334,0.15116
1985,Rural regions,Apprentice/ Trainee/ Intern,0.07962,230,2352,0.06868,0.09056
1985,Rural regions,Not employed: Pensioner,0.20601,407,2352,0.18966,0.22236
1985,Rural regions,Not employed: registered unemployed,0.03911,123,2352,0.03128,0.04695
1985,Rural regions,Not employed: no further information,0.11195,356,2352,0.09921,0.12470
1986,Urban regions,Self-employed,0.03854,375,8313,0.03440,0.04268
1986,Urban regions,Blue-collar worker,0.16385,2315,8313,0.15589,0.17180
1986,Urban regions,Civil servant,0.03752,326,8313,0.03343,0.04160
1986,Urban regions,White-collar worker,0.18340,1611,8313,0.17508,0.19172
1986,Urban regions,Apprentice/ Trainee/ Intern,0.07871,876,8313,0.07292,0.08450
1986,Urban regions,Not employed: Pensioner,0.19352,1151,8313,0.18503,0.20202
1986,Urban regions,Not employed: Military/Community Service,0.00392,33,8313,0.00257,0.00526
1986,Urban regions,Not employed: registered unemployed,0.02813,349,8313,0.02457,0.03168
1986,Urban regions,Not employed: no further information,0.11302,1277,8313,0.10621,0.11982
1986,Rural regions,Self-employed,0.05922,158,2236,0.04944,0.06901
1986,Rural regions,Blue-collar worker,0.15131,533,2236,0.13645,0.16617
1986,Rural regions,Civil servant,0.04313,121,2236,0.03470,0.05155
1986,Rural regions,White-collar worker,0.14035,386,2236,0.12595,0.15475
1986,Rural regions,Apprentice/ Trainee/ Intern,0.07373,218,2236,0.06289,0.08456
1986,Rural regions,Not employed: Pensioner,0.20066,372,2236,0.18406,0.21726
1986,Rural regions,Not employed: registered unemployed,0.03840,112,2236,0.03043,0.04636
1986,Rural regions,Not employed: no further information,0.11036,336,2236,0.09737,0.12335
1987,Urban regions,Self-employed,0.03876,372,8210,0.03458,0.04293
1987,Urban regions,Blue-collar worker,0.16907,2283,8210,0.16096,0.17717
1987,Urban regions,Civil servant,0.03789,327,8210,0.03376,0.04202
1987,Urban regions,White-collar worker,0.18428,1588,8210,0.17589,0.19267
1987,Urban regions,Apprentice/ Trainee/ Intern,0.07203,868,8210,0.06643,0.07762
1987,Urban regions,Not employed: Pensioner,0.19110,1134,8210,0.18259,0.19960
1987,Urban regions,Not employed: Military/Community Service,0.00523,42,8210,0.00367,0.00679
1987,Urban regions,Not employed: registered unemployed,0.03029,366,8210,0.02658,0.03400
1987,Urban regions,Not employed: no further information,0.11076,1230,8210,0.10397,0.11755
1987,Rural regions,Self-employed,0.06083,160,2209,0.05086,0.07080
1987,Rural regions,Blue-collar worker,0.15917,547,2209,0.14391,0.17443
1987,Rural regions,Civil servant,0.04359,116,2209,0.03508,0.05211
1987,Rural regions,White-collar worker,0.14854,403,2209,0.13370,0.16337
1987,Rural regions,Apprentice/ Trainee/ Intern,0.06537,215,2209,0.05506,0.07568
1987,Rural regions,Not employed: Pensioner,0.19833,361,2209,0.18170,0.21496
1987,Rural regions,Not employed: registered unemployed,0.03255,105,2209,0.02515,0.03995
1987,Rural regions,Not employed: no further information,0.10313,302,2209,0.09044,0.11582
1988,Urban regions,Self-employed,0.03769,350,7875,0.03349,0.04190
1988,Urban regions,Blue-collar worker,0.16200,2134,7875,0.15386,0.17014
1988,Urban regions,Civil servant,0.03868,307,7875,0.03442,0.04294
1988,Urban regions,White-collar worker,0.19762,1595,7875,0.18882,0.20642
1988,Urban regions,Apprentice/ Trainee/ Intern,0.07148,806,7875,0.06579,0.07717
1988,Urban regions,Not employed: Pensioner,0.19142,1110,7875,0.18273,0.20011
1988,Urban regions,Not employed: Military/Community Service,0.00462,40,7875,0.00312,0.00612
1988,Urban regions,Not employed: registered unemployed,0.02923,344,7875,0.02551,0.03295
1988,Urban regions,Not employed: no further information,0.10687,1189,7875,0.10004,0.11369
1988,Rural regions,Self-employed,0.06175,151,2062,0.05135,0.07214
1988,Rural regions,Blue-collar worker,0.15833,521,2062,0.14257,0.17409
1988,Rural regions,Civil servant,0.04077,103,2062,0.03223,0.04931
1988,Rural regions,White-collar worker,0.13996,354,2062,0.12498,0.15494
1988,Rural regions,Apprentice/ Trainee/ Intern,0.06116,187,2062,0.05081,0.07150
1988,Rural regions,Not employed: Pensioner,0.20255,347,2062,0.18520,0.21990
1988,Rural regions,Not employed: registered unemployed,0.04067,113,2062,0.03214,0.04920
1988,Rural regions,Not employed: no further information,0.10286,286,2062,0.08975,0.11598
1989,Urban regions,Self-employed,0.03667,329,7671,0.03247,0.04088
1989,Urban regions,Blue-collar worker,0.16095,2093,7671,0.15273,0.16918
1989,Urban regions,Civil servant,0.03640,283,7671,0.03221,0.04060
1989,Urban regions,White-collar worker,0.20813,1653,7671,0.19905,0.21722
1989,Urban regions,Apprentice/ Trainee/ Intern,0.07219,750,7671,0.06639,0.07798
1989,Urban regions,Not employed: Pensioner,0.19371,1109,7671,0.18486,0.20255
1989,Urban regions,Not employed: Military/Community Service,0.00372,37,7671,0.00236,0.00508
1989,Urban regions,Not employed: registered unemployed,0.02229,246,7671,0.01898,0.02559
1989,Urban regions,Not employed: no further information,0.10663,1171,7671,0.09972,0.11354
1989,Rural regions,Self-employed,0.05374,130,1961,0.04376,0.06372
1989,Rural regions,Blue-collar worker,0.16023,500,1961,0.14399,0.17647
1989,Rural regions,Civil servant,0.04359,101,1961,0.03455,0.05263
1989,Rural regions,White-collar worker,0.15078,367,1961,0.13494,0.16663
1989,Rural regions,Apprentice/ Trainee/ Intern,0.06226,176,1961,0.05156,0.07295
1989,Rural regions,Not employed: Pensioner,0.20523,333,1961,0.18735,0.22311
1989,Rural regions,Not employed: registered unemployed,0.03031,78,1961,0.02272,0.03789
1989,Rural regions,Not employed: no further information,0.10491,276,1961,0.09134,0.11847
1990,Urban regions,Self-employed,0.03662,371,8927,0.03273,0.04052
1990,Urban regions,Blue-collar worker,0.16885,2487,8927,0.16108,0.17662
1990,Urban regions,Civil servant,0.03410,282,8927,0.03034,0.03787
1990,Urban regions,White-collar worker,0.21590,2210,8927,0.20736,0.22443
1990,Urban regions,Apprentice/ Trainee/ Intern,0.06651,783,8927,0.06134,0.07168
1990,Urban regions,Not employed: Pensioner,0.18546,1338,8927,0.17740,0.19353
1990,Urban regions,Not employed: Military/Community Service,0.00428,48,8927,0.00292,0.00563
1990,Urban regions,Not employed: registered unemployed,0.01935,247,8927,0.01650,0.02221
1990,Urban regions,Not employed: no further information,0.09610,1161,8927,0.08998,0.10221
1990,Rural regions,Self-employed,0.03735,192,4794,0.03198,0.04272
1990,Rural regions,Blue-collar worker,0.21399,1587,4794,0.20238,0.22561
1990,Rural regions,Civil servant,0.02482,95,4794,0.02042,0.02923
1990,Rural regions,White-collar worker,0.19569,1350,4794,0.18446,0.20692
1990,Rural regions,Apprentice/ Trainee/ Intern,0.05316,347,4794,0.04681,0.05951
1990,Rural regions,Not employed: Pensioner,0.18775,764,4794,0.17670,0.19881
1990,Rural regions,Not employed: registered unemployed,0.01630,69,4794,0.01271,0.01988
1990,Rural regions,Not employed: no further information,0.07185,390,4794,0.06454,0.07916
1991,Urban regions,Self-employed,0.03744,376,8738,0.03346,0.04142
1991,Urban regions,Blue-collar worker,0.16603,2382,8738,0.15822,0.17383
1991,Urban regions,Civil servant,0.03444,295,8738,0.03061,0.03826
1991,Urban regions,White-collar worker,0.21750,2157,8738,0.20885,0.22615
1991,Urban regions,Apprentice/ Trainee/ Intern,0.06203,768,8738,0.05697,0.06709
