year,quintil_oecd,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Self-employed,0.02142,59,2459,0.01569,0.02714
1984,1st Quintile,Blue-collar worker,0.12089,621,2459,0.10800,0.13378
1984,1st Quintile,White-collar worker,0.05243,148,2459,0.04362,0.06124
1984,1st Quintile,Apprentice/ Trainee/ Intern,0.08914,298,2459,0.07788,0.10041
1984,1st Quintile,Not employed: Pensioner,0.25021,444,2459,0.23308,0.26733
1984,1st Quintile,Not employed: registered unemployed,0.04717,178,2459,0.03879,0.05555
1984,1st Quintile,Not employed: no further information,0.17714,711,2459,0.16204,0.19223
1984,2nd Quintile,Self-employed,0.02148,67,2374,0.01565,0.02732
1984,2nd Quintile,Blue-collar worker,0.18001,733,2374,0.16455,0.19547
1984,2nd Quintile,Civil servant,0.01650,44,2374,0.01137,0.02162
1984,2nd Quintile,White-collar worker,0.10941,289,2374,0.09685,0.12197
1984,2nd Quintile,Apprentice/ Trainee/ Intern,0.08216,261,2374,0.07111,0.09321
1984,2nd Quintile,Not employed: Pensioner,0.20571,381,2374,0.18944,0.22197
1984,2nd Quintile,Not employed: registered unemployed,0.02519,94,2374,0.01888,0.03149
1984,2nd Quintile,Not employed: no further information,0.14870,505,2374,0.13438,0.16301
1984,3rd Quintile,Self-employed,0.02303,67,2352,0.01697,0.02910
1984,3rd Quintile,Blue-collar worker,0.19785,772,2352,0.18174,0.21395
1984,3rd Quintile,Civil servant,0.03232,85,2352,0.02517,0.03947
1984,3rd Quintile,White-collar worker,0.15196,401,2352,0.13745,0.16648
1984,3rd Quintile,Apprentice/ Trainee/ Intern,0.07840,232,2352,0.06753,0.08926
1984,3rd Quintile,Not employed: Pensioner,0.17942,352,2352,0.16391,0.19493
1984,3rd Quintile,Not employed: registered unemployed,0.02155,69,2352,0.01568,0.02742
1984,3rd Quintile,Not employed: no further information,0.13189,374,2352,0.11821,0.14557
1984,4th Quintile,Self-employed,0.04290,125,2484,0.03493,0.05087
1984,4th Quintile,Blue-collar worker,0.19090,781,2484,0.17544,0.20636
1984,4th Quintile,Civil servant,0.04934,129,2484,0.04082,0.05785
1984,4th Quintile,White-collar worker,0.21512,577,2484,0.19896,0.23128
1984,4th Quintile,Apprentice/ Trainee/ Intern,0.07130,216,2484,0.06118,0.08142
1984,4th Quintile,Not employed: Pensioner,0.15641,305,2484,0.14212,0.17070
1984,4th Quintile,Not employed: registered unemployed,0.01975,66,2484,0.01428,0.02523
1984,4th Quintile,Not employed: no further information,0.10177,285,2484,0.08988,0.11366
1984,5th Quintile,Self-employed,0.10167,284,2373,0.08951,0.11383
1984,5th Quintile,Blue-collar worker,0.12201,460,2373,0.10884,0.13519
1984,5th Quintile,Civil servant,0.08652,219,2373,0.07520,0.09783
1984,5th Quintile,White-collar worker,0.29915,776,2373,0.28073,0.31758
1984,5th Quintile,Apprentice/ Trainee/ Intern,0.05005,132,2373,0.04128,0.05883
1984,5th Quintile,Not employed: Pensioner,0.14150,279,2373,0.12748,0.15553
1984,5th Quintile,Not employed: no further information,0.08343,223,2373,0.07230,0.09456
1985,1st Quintile,Self-employed,0.02417,62,2222,0.01778,0.03055
1985,1st Quintile,Blue-collar worker,0.12563,569,2222,0.11185,0.13942
1985,1st Quintile,White-collar worker,0.06659,169,2222,0.05622,0.07696
1985,1st Quintile,Apprentice/ Trainee/ Intern,0.09537,283,2222,0.08315,0.10759
1985,1st Quintile,Not employed: Pensioner,0.23790,366,2222,0.22019,0.25561
1985,1st Quintile,Not employed: registered unemployed,0.07052,218,2222,0.05988,0.08117
1985,1st Quintile,Not employed: no further information,0.14516,555,2222,0.13051,0.15981
1985,2nd Quintile,Self-employed,0.02879,73,2141,0.02171,0.03588
1985,2nd Quintile,Blue-collar worker,0.16897,639,2141,0.15309,0.18484
1985,2nd Quintile,Civil servant,0.01907,45,2141,0.01328,0.02487
1985,2nd Quintile,White-collar worker,0.10050,250,2141,0.08776,0.11324
1985,2nd Quintile,Apprentice/ Trainee/ Intern,0.07442,221,2141,0.06330,0.08554
1985,2nd Quintile,Not employed: Pensioner,0.22801,368,2141,0.21023,0.24578
1985,2nd Quintile,Not employed: registered unemployed,0.03474,111,2141,0.02698,0.04250
1985,2nd Quintile,Not employed: no further information,0.13656,434,2141,0.12201,0.15111
1985,3rd Quintile,Self-employed,0.02960,76,2194,0.02251,0.03670
1985,3rd Quintile,Blue-collar worker,0.18727,700,2194,0.17095,0.20360
1985,3rd Quintile,Civil servant,0.03330,80,2194,0.02579,0.04081
1985,3rd Quintile,White-collar worker,0.15684,380,2194,0.14162,0.17206
