year,age_gr,migback,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Self-employed,0.01831,46,2337,0.01287,0.02374
1984,17-29 y.,No migration background,Blue-collar worker,0.20033,462,2337,0.18410,0.21656
1984,17-29 y.,No migration background,Civil servant,0.04005,99,2337,0.03210,0.04801
1984,17-29 y.,No migration background,White-collar worker,0.22002,529,2337,0.20322,0.23682
1984,17-29 y.,No migration background,Apprentice/ Trainee/ Intern,0.36034,830,2337,0.34087,0.37980
1984,17-29 y.,No migration background,Not employed: Military/Community Service,0.01429,31,2337,0.00948,0.01911
1984,17-29 y.,No migration background,Not employed: registered unemployed,0.05596,123,2337,0.04664,0.06528
1984,17-29 y.,No migration background,Not employed: no further information,0.08587,217,2337,0.07451,0.09724
1984,17-29 y.,Direct migration background,Blue-collar worker,0.36026,389,959,0.32986,0.39066
1984,17-29 y.,Direct migration background,White-collar worker,0.08799,65,959,0.07005,0.10593
1984,17-29 y.,Direct migration background,Apprentice/ Trainee/ Intern,0.22934,220,959,0.20272,0.25596
1984,17-29 y.,Direct migration background,Not employed: registered unemployed,0.07572,72,959,0.05896,0.09247
1984,17-29 y.,Direct migration background,Not employed: no further information,0.19523,213,959,0.17013,0.22033
1984,17-29 y.,Indirect migration background,Apprentice/ Trainee/ Intern,0.51927,55,55,0.38601,0.65253
1984,30-45 y.,No migration background,Self-employed,0.07959,200,2448,0.06887,0.09031
1984,30-45 y.,No migration background,Blue-collar worker,0.22542,543,2448,0.20886,0.24198
1984,30-45 y.,No migration background,Civil servant,0.09418,231,2448,0.08261,0.10576
1984,30-45 y.,No migration background,White-collar worker,0.34923,873,2448,0.33034,0.36811
1984,30-45 y.,No migration background,Not employed: registered unemployed,0.02667,65,2448,0.02028,0.03305
1984,30-45 y.,No migration background,Not employed: no further information,0.20519,536,2448,0.18919,0.22119
1984,30-45 y.,Direct migration background,Self-employed,0.04990,63,1355,0.03830,0.06150
1984,30-45 y.,Direct migration background,Blue-collar worker,0.50813,849,1355,0.48150,0.53476
1984,30-45 y.,Direct migration background,White-collar worker,0.13433,92,1355,0.11616,0.15249
1984,30-45 y.,Direct migration background,Not employed: registered unemployed,0.05889,61,1355,0.04635,0.07143
1984,30-45 y.,Direct migration background,Not employed: no further information,0.20831,290,1355,0.18668,0.22995
1984,46-65 y.,No migration background,Self-employed,0.07863,205,2589,0.06826,0.08900
1984,46-65 y.,No migration background,Blue-collar worker,0.20735,553,2589,0.19173,0.22297
1984,46-65 y.,No migration background,Civil servant,0.04919,133,2589,0.04085,0.05752
1984,46-65 y.,No migration background,White-collar worker,0.20597,550,2589,0.19039,0.22155
1984,46-65 y.,No migration background,Not employed: Pensioner,0.22535,542,2589,0.20925,0.24145
1984,46-65 y.,No migration background,Not employed: registered unemployed,0.01903,46,2589,0.01377,0.02430
1984,46-65 y.,No migration background,Not employed: no further information,0.21170,560,2589,0.19596,0.22744
1984,46-65 y.,Direct migration background,Blue-collar worker,0.40704,542,908,0.37507,0.43901
1984,46-65 y.,Direct migration background,White-collar worker,0.14240,60,908,0.11966,0.16514
1984,46-65 y.,Direct migration background,Not employed: Pensioner,0.17060,77,908,0.14612,0.19508
1984,46-65 y.,Direct migration background,Not employed: registered unemployed,0.05253,61,908,0.03801,0.06705
1984,46-65 y.,Direct migration background,Not employed: no further information,0.17316,168,908,0.14853,0.19778
1984,66 and older,No migration background,Not employed: Pensioner,0.89211,1083,1180,0.87440,0.90982
1984,66 and older,No migration background,Not employed: no further information,0.07170,97,1180,0.05698,0.08643
1985,17-29 y.,No migration background,Self-employed,0.02260,52,2200,0.01639,0.02881
1985,17-29 y.,No migration background,Blue-collar worker,0.20573,449,2200,0.18884,0.22263
1985,17-29 y.,No migration background,Civil servant,0.03968,90,2200,0.03152,0.04784
1985,17-29 y.,No migration background,White-collar worker,0.21319,468,2200,0.19607,0.23030
1985,17-29 y.,No migration background,Apprentice/ Trainee/ Intern,0.37750,820,2200,0.35723,0.39776
1985,17-29 y.,No migration background,Not employed: Military/Community Service,0.01620,37,2200,0.01092,0.02147
1985,17-29 y.,No migration background,Not employed: registered unemployed,0.05655,118,2200,0.04689,0.06620
1985,17-29 y.,No migration background,Not employed: no further information,0.06682,166,2200,0.05639,0.07726
1985,17-29 y.,Direct migration background,Blue-collar worker,0.37392,334,798,0.34032,0.40751
1985,17-29 y.,Direct migration background,White-collar worker,0.11480,60,798,0.09267,0.13693
1985,17-29 y.,Direct migration background,Apprentice/ Trainee/ Intern,0.25971,186,798,0.22927,0.29016
1985,17-29 y.,Direct migration background,Not employed: registered unemployed,0.07620,71,798,0.05778,0.09462
1985,17-29 y.,Direct migration background,Not employed: no further information,0.14545,147,798,0.12098,0.16993
1985,17-29 y.,Indirect migration background,Apprentice/ Trainee/ Intern,0.43295,65,65,0.31156,0.55434
1985,30-45 y.,No migration background,Self-employed,0.07711,178,2235,0.06604,0.08817
1985,30-45 y.,No migration background,Blue-collar worker,0.21369,473,2235,0.19669,0.23069
1985,30-45 y.,No migration background,Civil servant,0.09466,216,2235,0.08252,0.10679
