year,pgisced97,occpos,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,Apprentice/ Trainee/ Intern,0.94203,183,183,0.90808,0.97598
1984,Primary Level,Blue-collar worker,0.44249,539,966,0.41115,0.47383
1984,Primary Level,Apprentice/ Trainee/ Intern,0.08214,37,966,0.06482,0.09947
1984,Primary Level,Not employed: Pensioner,0.07935,33,966,0.06229,0.09640
1984,Primary Level,Not employed: registered unemployed,0.08517,66,966,0.06755,0.10278
1984,Primary Level,Not employed: no further information,0.28239,291,966,0.25399,0.31079
1984,Lower Secondary Level,Self-employed,0.02802,99,3424,0.02249,0.03355
1984,Lower Secondary Level,Blue-collar worker,0.19896,1031,3424,0.18559,0.21234
1984,Lower Secondary Level,White-collar worker,0.05763,183,3424,0.04982,0.06544
1984,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.14460,524,3424,0.13282,0.15638
1984,Lower Secondary Level,Not employed: Pensioner,0.30785,662,3424,0.29238,0.32331
1984,Lower Secondary Level,Not employed: registered unemployed,0.02521,108,3424,0.01996,0.03046
1984,Lower Secondary Level,Not employed: no further information,0.22945,817,3424,0.21536,0.24353
1984,Upper Secondary Level,Self-employed,0.04879,280,5667,0.04318,0.05439
1984,Upper Secondary Level,Blue-collar worker,0.23042,1610,5667,0.21945,0.24138
1984,Upper Secondary Level,Civil servant,0.04127,222,5667,0.03609,0.04645
1984,Upper Secondary Level,White-collar worker,0.24101,1336,5667,0.22987,0.25214
1984,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.05028,324,5667,0.04459,0.05597
1984,Upper Secondary Level,Not employed: Pensioner,0.21014,842,5667,0.19954,0.22075
1984,Upper Secondary Level,Not employed: registered unemployed,0.03205,214,5667,0.02746,0.03664
1984,Upper Secondary Level,Not employed: no further information,0.13947,839,5667,0.13045,0.14849
1984,Post-secondary Non-tertiary Level,Blue-collar worker,0.13097,75,212,0.08545,0.17649
1984,Post-secondary Non-tertiary Level,White-collar worker,0.38151,102,212,0.31597,0.44705
1984,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.11710,35,212,0.07371,0.16048
1984,First Stage of Tertiary Education,Self-employed,0.11852,80,632,0.09330,0.14374
1984,First Stage of Tertiary Education,Blue-collar worker,0.09181,65,632,0.06928,0.11434
1984,First Stage of Tertiary Education,Civil servant,0.06143,42,632,0.04269,0.08016
1984,First Stage of Tertiary Education,White-collar worker,0.36912,262,632,0.33147,0.40677
1984,First Stage of Tertiary Education,Not employed: Pensioner,0.21667,113,632,0.18452,0.24881
1984,First Stage of Tertiary Education,Not employed: no further information,0.09996,70,632,0.07656,0.12337
1984,Second Stage of Tertiary Education,Self-employed,0.10632,93,723,0.08383,0.12880
1984,Second Stage of Tertiary Education,Civil servant,0.25887,207,723,0.22692,0.29082
1984,Second Stage of Tertiary Education,White-collar worker,0.36615,291,723,0.33101,0.40129
1984,Second Stage of Tertiary Education,Not employed: Pensioner,0.14416,81,723,0.11854,0.16979
1984,Second Stage of Tertiary Education,Not employed: no further information,0.05755,51,723,0.04056,0.07454
1985,Pre-primary Level,Apprentice/ Trainee/ Intern,0.97013,182,182,0.94533,0.99493
1985,Primary Level,Blue-collar worker,0.40964,426,780,0.37511,0.44417
1985,Primary Level,Not employed: Pensioner,0.09589,39,780,0.07522,0.11657
1985,Primary Level,Not employed: registered unemployed,0.12280,75,780,0.09975,0.14585
1985,Primary Level,Not employed: no further information,0.26307,240,780,0.23215,0.29399
1985,Lower Secondary Level,Self-employed,0.02904,88,3042,0.02308,0.03501
1985,Lower Secondary Level,Blue-collar worker,0.20061,919,3042,0.18638,0.21485
1985,Lower Secondary Level,White-collar worker,0.06500,197,3042,0.05624,0.07377
1985,Lower Secondary Level,Apprentice/ Trainee/ Intern,0.15260,484,3042,0.13982,0.16538
1985,Lower Secondary Level,Not employed: Pensioner,0.31371,584,3042,0.29722,0.33020
1985,Lower Secondary Level,Not employed: registered unemployed,0.03534,137,3042,0.02877,0.04190
1985,Lower Secondary Level,Not employed: no further information,0.19638,633,3042,0.18227,0.21050
1985,Upper Secondary Level,Self-employed,0.05104,265,5145,0.04503,0.05706
1985,Upper Secondary Level,Blue-collar worker,0.21993,1410,5145,0.20862,0.23125
1985,Upper Secondary Level,Civil servant,0.04317,220,5145,0.03761,0.04872
1985,Upper Secondary Level,White-collar worker,0.24652,1247,5145,0.23474,0.25830
1985,Upper Secondary Level,Apprentice/ Trainee/ Intern,0.04908,304,5145,0.04318,0.05499
1985,Upper Secondary Level,Not employed: Pensioner,0.21942,771,5145,0.20811,0.23073
1985,Upper Secondary Level,Not employed: registered unemployed,0.04227,237,5145,0.03677,0.04777
1985,Upper Secondary Level,Not employed: no further information,0.12193,691,5145,0.11299,0.13087
1985,Post-secondary Non-tertiary Level,Blue-collar worker,0.15325,73,191,0.10203,0.20447
1985,Post-secondary Non-tertiary Level,White-collar worker,0.34647,82,191,0.27881,0.41413
1985,Post-secondary Non-tertiary Level,Apprentice/ Trainee/ Intern,0.13842,36,191,0.08932,0.18753
1985,First Stage of Tertiary Education,Self-employed,0.12377,79,585,0.09706,0.15048
1985,First Stage of Tertiary Education,Blue-collar worker,0.08484,58,585,0.06224,0.10744
1985,First Stage of Tertiary Education,Civil servant,0.07298,44,585,0.05188,0.09407
1985,First Stage of Tertiary Education,White-collar worker,0.35912,239,585,0.32021,0.39803
1985,First Stage of Tertiary Education,Not employed: Pensioner,0.22053,105,585,0.18690,0.25415
1985,First Stage of Tertiary Education,Not employed: no further information,0.08489,60,585,0.06229,0.10750
1985,Second Stage of Tertiary Education,Self-employed,0.09739,78,682,0.07512,0.11965
1985,Second Stage of Tertiary Education,Civil servant,0.24129,185,682,0.20915,0.27342
1985,Second Stage of Tertiary Education,White-collar worker,0.38145,297,682,0.34496,0.41793
1985,Second Stage of Tertiary Education,Not employed: Pensioner,0.15101,77,682,0.12412,0.17791
1985,Second Stage of Tertiary Education,Not employed: no further information,0.04966,45,682,0.03334,0.06597
1986,Pre-primary Level,Apprentice/ Trainee/ Intern,0.96268,182,182,0.93506,0.99029
