"hlf0071_h","year","bula_h","quintil","n","percent","lower_confidence","upper_confidence"
"Viel zu klein","1984","Schleswig-Holstein","1","","","",""
"Viel zu klein","1984","Schleswig-Holstein","2","","","",""
"Viel zu klein","1984","Schleswig-Holstein","3","","","",""
"Viel zu klein","1984","Schleswig-Holstein","4","","","",""
"Viel zu klein","1984","Schleswig-Holstein","5","","","",""
"Viel zu klein","1984","Hamburg","1","","","",""
"Viel zu klein","1984","Hamburg","2","","","",""
"Viel zu klein","1984","Hamburg","3","","","",""
"Viel zu klein","1984","Hamburg","4","","","",""
"Viel zu klein","1984","Hamburg","5","","","",""
"Viel zu klein","1984","Niedersachsen","1","","","",""
"Viel zu klein","1984","Niedersachsen","2","34","0.0900266601583633","0.0641229737760393","0.115930346540687"
"Viel zu klein","1984","Niedersachsen","3","","","",""
"Viel zu klein","1984","Niedersachsen","4","","","",""
"Viel zu klein","1984","Niedersachsen","5","","","",""
"Viel zu klein","1984","Bremen","1","","","",""
"Viel zu klein","1984","Bremen","2","","","",""
"Viel zu klein","1984","Bremen","3","","","",""
"Viel zu klein","1984","Bremen","4","","","",""
"Viel zu klein","1984","Bremen","5","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","1","104","0.0183308504428176","0.0134983031376428","0.0231633977479925"
"Viel zu klein","1984","Nordrhein-Westfalen","2","128","0.0813822260114286","0.0672306203018649","0.0955338317209922"
"Viel zu klein","1984","Nordrhein-Westfalen","3","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","4","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","5","","","",""
"Viel zu klein","1984","Hessen","1","53","0.0221486369539002","0.0134714915105854","0.030825782397215"
"Viel zu klein","1984","Hessen","2","40","0.0252809535136182","0.0117887504008529","0.0387731566263835"
"Viel zu klein","1984","Hessen","3","","","",""
"Viel zu klein","1984","Hessen","4","","","",""
"Viel zu klein","1984","Hessen","5","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","1","37","0.0257969354847648","0.0144589231016039","0.0371349478679257"
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","2","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","3","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","4","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","5","","","",""
"Viel zu klein","1984","Baden-Württemberg","1","71","0.0277806587023425","0.0205545821970888","0.0350067352075962"
"Viel zu klein","1984","Baden-Württemberg","2","86","0.03726897620932","0.0261854519176243","0.0483525005010156"
"Viel zu klein","1984","Baden-Württemberg","3","","","",""
"Viel zu klein","1984","Baden-Württemberg","4","","","",""
"Viel zu klein","1984","Baden-Württemberg","5","","","",""
"Viel zu klein","1984","Bayern","1","63","0.0190827181104752","0.0129453603882864","0.025220075832664"
"Viel zu klein","1984","Bayern","2","39","0.0484601731606546","0.0337804404394776","0.0631399058818316"
"Viel zu klein","1984","Bayern","3","","","",""
"Viel zu klein","1984","Bayern","4","","","",""
"Viel zu klein","1984","Bayern","5","","","",""
"Viel zu klein","1984","Saarland","1","","","",""
"Viel zu klein","1984","Saarland","2","","","",""
"Viel zu klein","1984","Saarland","3","","","",""
"Viel zu klein","1984","Saarland","4","","","",""
"Viel zu klein","1984","Saarland","5","","","",""
"Viel zu klein","1984","Berlin","1","","","",""
"Viel zu klein","1984","Berlin","2","","","",""
"Viel zu klein","1984","Berlin","3","","","",""
"Viel zu klein","1984","Berlin","4","","","",""
"Viel zu klein","1984","Berlin","5","","","",""
"Viel zu klein","1984","Brandenburg","1","","","",""
"Viel zu klein","1984","Brandenburg","2","","","",""
"Viel zu klein","1984","Brandenburg","3","","","",""
"Viel zu klein","1984","Brandenburg","4","","","",""
"Viel zu klein","1984","Brandenburg","5","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","1","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","2","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","3","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","4","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","5","","","",""
"Viel zu klein","1984","Sachsen","1","","","",""
