"hlf0071_h","year","bula_h","hhtyp","n","percent","lower_confidence","upper_confidence"
"Viel zu klein","1984","Schleswig-Holstein","1-Pers.-HH","","","",""
"Viel zu klein","1984","Schleswig-Holstein","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Schleswig-Holstein","Alleinerziehende","","","",""
"Viel zu klein","1984","Schleswig-Holstein","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Schleswig-Holstein","Sonstige","","","",""
"Viel zu klein","1984","Hamburg","1-Pers.-HH","","","",""
"Viel zu klein","1984","Hamburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Hamburg","Alleinerziehende","","","",""
"Viel zu klein","1984","Hamburg","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Hamburg","Sonstige","","","",""
"Viel zu klein","1984","Niedersachsen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Niedersachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Niedersachsen","Alleinerziehende","","","",""
"Viel zu klein","1984","Niedersachsen","Paar mit Kind(ern)","31","0.036842544841352","0.0250666264367267","0.0486184632459772"
"Viel zu klein","1984","Niedersachsen","Sonstige","","","",""
"Viel zu klein","1984","Bremen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Bremen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Bremen","Alleinerziehende","","","",""
"Viel zu klein","1984","Bremen","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Bremen","Sonstige","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","Alleinerziehende","","","",""
"Viel zu klein","1984","Nordrhein-Westfalen","Paar mit Kind(ern)","200","0.0507332183735013","0.0427364554147461","0.0587299813322565"
"Viel zu klein","1984","Nordrhein-Westfalen","Sonstige","","","",""
"Viel zu klein","1984","Hessen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Hessen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Hessen","Alleinerziehende","","","",""
"Viel zu klein","1984","Hessen","Paar mit Kind(ern)","64","0.0249757669078127","0.0153849690918124","0.034566564723813"
"Viel zu klein","1984","Hessen","Sonstige","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","1-Pers.-HH","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","Alleinerziehende","","","",""
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","Paar mit Kind(ern)","50","0.0524751322527495","0.0352800637100228","0.0696702007954762"
"Viel zu klein","1984","Rheinland-Pfalz,Saarland","Sonstige","","","",""
"Viel zu klein","1984","Baden-Württemberg","1-Pers.-HH","","","",""
"Viel zu klein","1984","Baden-Württemberg","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Baden-Württemberg","Alleinerziehende","","","",""
"Viel zu klein","1984","Baden-Württemberg","Paar mit Kind(ern)","129","0.046046328205959","0.0371913376599234","0.0549013187519946"
"Viel zu klein","1984","Baden-Württemberg","Sonstige","","","",""
"Viel zu klein","1984","Bayern","1-Pers.-HH","","","",""
"Viel zu klein","1984","Bayern","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Bayern","Alleinerziehende","","","",""
"Viel zu klein","1984","Bayern","Paar mit Kind(ern)","91","0.0396462381837277","0.0305942163122268","0.0486982600552286"
"Viel zu klein","1984","Bayern","Sonstige","","","",""
"Viel zu klein","1984","Saarland","1-Pers.-HH","","","",""
"Viel zu klein","1984","Saarland","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Saarland","Alleinerziehende","","","",""
"Viel zu klein","1984","Saarland","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Saarland","Sonstige","","","",""
"Viel zu klein","1984","Berlin","1-Pers.-HH","","","",""
"Viel zu klein","1984","Berlin","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Berlin","Alleinerziehende","","","",""
"Viel zu klein","1984","Berlin","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Berlin","Sonstige","","","",""
"Viel zu klein","1984","Brandenburg","1-Pers.-HH","","","",""
"Viel zu klein","1984","Brandenburg","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Brandenburg","Alleinerziehende","","","",""
"Viel zu klein","1984","Brandenburg","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Brandenburg","Sonstige","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","1-Pers.-HH","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","Alleinerziehende","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Mecklenburg-Vorpommern","Sonstige","","","",""
"Viel zu klein","1984","Sachsen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Sachsen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Sachsen","Alleinerziehende","","","",""
"Viel zu klein","1984","Sachsen","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Sachsen","Sonstige","","","",""
"Viel zu klein","1984","Sachsen-Anhalt","1-Pers.-HH","","","",""
"Viel zu klein","1984","Sachsen-Anhalt","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Sachsen-Anhalt","Alleinerziehende","","","",""
"Viel zu klein","1984","Sachsen-Anhalt","Paar mit Kind(ern)","","","",""
"Viel zu klein","1984","Sachsen-Anhalt","Sonstige","","","",""
"Viel zu klein","1984","Thüringen","1-Pers.-HH","","","",""
"Viel zu klein","1984","Thüringen","(Ehe-)Paar ohne Kind(er)","","","",""
"Viel zu klein","1984","Thüringen","Alleinerziehende","","","",""
"Viel zu klein","1984","Thüringen","Paar mit Kind(ern)","","","",""
