"hlf0071_h","year","quintil","sampreg","n","percent","lower_confidence","upper_confidence"
"Viel zu klein","1995","1","Westdeutschland","356","0.052816616289592","0.04640785801692","0.059225374562264"
"Viel zu klein","1995","1","Ostdeutschland","111","0.0453512944198624","0.0368899353810886","0.0538126534586362"
"Viel zu klein","1995","2","Westdeutschland","134","0.0215414026468747","0.0166368516880988","0.0264459536056506"
"Viel zu klein","1995","2","Ostdeutschland","45","0.0241302614918359","0.0164259728188021","0.0318345501648696"
"Viel zu klein","1995","3","Westdeutschland","64","0.0239686990113193","0.0177028590475641","0.0302345389750744"
"Viel zu klein","1995","3","Ostdeutschland","","","",""
"Viel zu klein","1995","4","Westdeutschland","","","",""
"Viel zu klein","1995","4","Ostdeutschland","","","",""
"Viel zu klein","1995","5","Westdeutschland","","","",""
"Viel zu klein","1995","5","Ostdeutschland","","","",""
"Etwas zu klein","1995","1","Westdeutschland","1164","0.219127819408194","0.207275310173436","0.230980328642953"
"Etwas zu klein","1995","1","Ostdeutschland","532","0.221180614629694","0.204302831861091","0.238058397398297"
"Etwas zu klein","1995","2","Westdeutschland","678","0.181219051013396","0.16820606911455","0.194232032912242"
"Etwas zu klein","1995","2","Ostdeutschland","315","0.201850217427506","0.181698483602444","0.222001951252567"
"Etwas zu klein","1995","3","Westdeutschland","386","0.156485678808134","0.14160205364599","0.171369303970279"
"Etwas zu klein","1995","3","Ostdeutschland","141","0.200022037439708","0.170196587614062","0.229847487265353"
"Etwas zu klein","1995","4","Westdeutschland","192","0.106680630527735","0.0911867810860835","0.122174479969386"
"Etwas zu klein","1995","4","Ostdeutschland","60","0.24982528322467","0.19616196882956","0.30348859761978"
"Etwas zu klein","1995","5","Westdeutschland","93","0.111105317615772","0.0889799845838743","0.13323065064767"
"Etwas zu klein","1995","5","Ostdeutschland","","","",""
"Gerade richtig","1995","1","Westdeutschland","2951","0.662632737108468","0.649085227073818","0.676180247143119"
"Gerade richtig","1995","1","Ostdeutschland","1558","0.667823255735419","0.64867016493968","0.686976346531158"
"Gerade richtig","1995","2","Westdeutschland","2363","0.717444696755256","0.70223442471832","0.732654968792191"
"Gerade richtig","1995","2","Ostdeutschland","1041","0.682792351332446","0.659427030077673","0.706157672587219"
"Gerade richtig","1995","3","Westdeutschland","1664","0.730817663400815","0.712647744381831","0.748987582419799"
"Gerade richtig","1995","3","Ostdeutschland","455","0.6722468114611","0.637248515007001","0.707245107915199"
"Gerade richtig","1995","4","Westdeutschland","1151","0.751950031560401","0.730274126099086","0.773625937021715"
"Gerade richtig","1995","4","Ostdeutschland","152","0.62665893710289","0.566701013373461","0.68661686083232"
"Gerade richtig","1995","5","Westdeutschland","541","0.66725476181494","0.634080672832555","0.700428850797325"
"Gerade richtig","1995","5","Ostdeutschland","33","0.611757952272608","0.478004777523015","0.7455111270222"
"Etwas zu gross","1995","1","Westdeutschland","190","0.0605341550524189","0.0537011410824426","0.0673671690223953"
