"hlf0071_h","year","hhtyp","sampreg","n","percent","lower_confidence","upper_confidence"
"Viel zu klein","1984","1-Pers.-HH","West","38","0.0189065860661285","0.0114657702288626","0.0263474019033943"
"Viel zu klein","1984","1-Pers.-HH","Ost","","","",""
"Viel zu klein","1984","(Ehe-)Paar ohne Kind(er)","West","34","0.007497065304555","0.00424095061313355","0.0107531799959764"
"Viel zu klein","1984","(Ehe-)Paar ohne Kind(er)","Ost","","","",""
"Viel zu klein","1984","Alleinerziehende","West","40","0.0357965030934295","0.0231422191456608","0.0484507870411983"
"Viel zu klein","1984","Alleinerziehende","Ost","","","",""
"Viel zu klein","1984","Paar mit Kind(ern)","West","611","0.0438915669593013","0.0399455486023833","0.0478375853162193"
"Viel zu klein","1984","Paar mit Kind(ern)","Ost","","","",""
"Viel zu klein","1984","Sonstige","West","46","0.0267842329328448","0.0167674792321621","0.0368009866335275"
"Viel zu klein","1984","Sonstige","Ost","","","",""
"Etwas zu klein","1984","1-Pers.-HH","West","137","0.0912033831987829","0.0754745088597403","0.106932257537826"
"Etwas zu klein","1984","1-Pers.-HH","Ost","","","",""
"Etwas zu klein","1984","(Ehe-)Paar ohne Kind(er)","West","314","0.103998134028498","0.0924754042393407","0.115520863817656"
"Etwas zu klein","1984","(Ehe-)Paar ohne Kind(er)","Ost","","","",""
"Etwas zu klein","1984","Alleinerziehende","West","127","0.138149336070465","0.114646334265539","0.161652337875391"
"Etwas zu klein","1984","Alleinerziehende","Ost","","","",""
"Etwas zu klein","1984","Paar mit Kind(ern)","West","2117","0.175538892014797","0.168210870305903","0.18286691372369"
"Etwas zu klein","1984","Paar mit Kind(ern)","Ost","","","",""
"Etwas zu klein","1984","Sonstige","West","211","0.173540560665206","0.150044552165167","0.197036569165246"
"Etwas zu klein","1984","Sonstige","Ost","","","",""
"Gerade richtig","1984","1-Pers.-HH","West","956","0.754139513633603","0.730614546029422","0.777664481237785"
"Gerade richtig","1984","1-Pers.-HH","Ost","","","",""
"Gerade richtig","1984","(Ehe-)Paar ohne Kind(er)","West","2138","0.800937874092068","0.785865492478523","0.816010255705612"
"Gerade richtig","1984","(Ehe-)Paar ohne Kind(er)","Ost","","","",""
"Gerade richtig","1984","Alleinerziehende","West","604","0.754156243195177","0.72482751843357","0.783484967956783"
"Gerade richtig","1984","Alleinerziehende","Ost","","","",""
"Gerade richtig","1984","Paar mit Kind(ern)","West","7219","0.730374556868984","0.721826483563707","0.738922630174262"
"Gerade richtig","1984","Paar mit Kind(ern)","Ost","","","",""
"Gerade richtig","1984","Sonstige","West","670","0.710702099069815","0.682570186390029","0.738834011749602"
