year,migback,pgisced97,pli0082,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,No answer / don't know,Seldom,0.48365,36,36,0.31809,0.64921
1990,No migration background,Pre-primary Level,Seldom,0.63339,65,65,0.51533,0.75145
1990,No migration background,Lower Secondary Level,At least once per week,0.05599,89,1486,0.04430,0.06769
1990,No migration background,Lower Secondary Level,At least once per month,0.26146,406,1486,0.23911,0.28381
1990,No migration background,Lower Secondary Level,Seldom,0.50263,758,1486,0.47720,0.52806
1990,No migration background,Lower Secondary Level,Never,0.17521,233,1486,0.15588,0.19455
1990,No migration background,Upper Secondary Level,At least once per week,0.09008,312,3622,0.08075,0.09940
1990,No migration background,Upper Secondary Level,At least once per month,0.33383,1214,3622,0.31847,0.34919
1990,No migration background,Upper Secondary Level,Seldom,0.49829,1861,3622,0.48201,0.51458
1990,No migration background,Upper Secondary Level,Never,0.07569,235,3622,0.06707,0.08430
1990,No migration background,Post-secondary Non-tertiary Level,At least once per month,0.46851,88,167,0.39260,0.54442
1990,No migration background,Post-secondary Non-tertiary Level,Seldom,0.40149,79,167,0.32691,0.47606
1990,No migration background,First Stage of Tertiary Education,At least once per week,0.10397,42,439,0.07539,0.13256
1990,No migration background,First Stage of Tertiary Education,At least once per month,0.39793,185,439,0.35209,0.44377
1990,No migration background,First Stage of Tertiary Education,Seldom,0.44938,212,439,0.40280,0.49597
1990,No migration background,Second Stage of Tertiary Education,At least once per week,0.13488,75,592,0.10734,0.16242
1990,No migration background,Second Stage of Tertiary Education,At least once per month,0.45264,289,592,0.41251,0.49277
1990,No migration background,Second Stage of Tertiary Education,Seldom,0.39506,228,592,0.35565,0.43448
1990,Direct migration background,Primary Level,At least once per month,0.16320,75,513,0.13119,0.19521
1990,Direct migration background,Primary Level,Seldom,0.45308,262,513,0.40997,0.49620
1990,Direct migration background,Primary Level,Never,0.33254,176,513,0.29173,0.37335
1990,Direct migration background,Lower Secondary Level,At least once per week,0.06282,44,835,0.04636,0.07929
1990,Direct migration background,Lower Secondary Level,At least once per month,0.21281,178,835,0.18503,0.24059
1990,Direct migration background,Lower Secondary Level,Seldom,0.51591,404,835,0.48199,0.54982
1990,Direct migration background,Lower Secondary Level,Never,0.20072,209,835,0.17353,0.22790
1990,Direct migration background,Upper Secondary Level,At least once per week,0.07429,50,797,0.05607,0.09250
1990,Direct migration background,Upper Secondary Level,At least once per month,0.31725,226,797,0.28492,0.34958
1990,Direct migration background,Upper Secondary Level,Seldom,0.47403,371,797,0.43934,0.50872
1990,Direct migration background,Upper Secondary Level,Never,0.13425,150,797,0.11057,0.15793
1990,Direct migration background,Post-secondary Non-tertiary Level,Seldom,0.47184,42,42,0.31903,0.62464
1990,Direct migration background,Second Stage of Tertiary Education,At least once per month,0.56693,41,73,0.45248,0.68139
1990,Direct migration background,Second Stage of Tertiary Education,Seldom,0.28587,32,73,0.18150,0.39023
1990,Indirect migration background,Lower Secondary Level,At least once per month,0.27850,33,91,0.18588,0.37111
1990,Indirect migration background,Lower Secondary Level,Seldom,0.51875,58,91,0.41552,0.62198
1990,Indirect migration background,Upper Secondary Level,At least once per month,0.39780,40,82,0.29121,0.50439
1990,Indirect migration background,Upper Secondary Level,Seldom,0.42589,42,82,0.31821,0.53358
1995,No migration background,No answer / don't know,Seldom,0.56692,50,50,0.42818,0.70566
1995,No migration background,Pre-primary Level,At least once per month,0.20585,45,171,0.14507,0.26663
1995,No migration background,Pre-primary Level,Seldom,0.66961,126,171,0.59890,0.74031
1995,No migration background,Lower Secondary Level,At least once per week,0.04085,71,1533,0.03093,0.05076
1995,No migration background,Lower Secondary Level,At least once per month,0.21710,344,1533,0.19645,0.23774
